
[00:00:00.000 --> 00:00:05.000]  能夠在此與大家分享神的話,
[00:00:05.000 --> 00:00:09.000]  其實都是神的恩典。
[00:00:09.000 --> 00:00:15.000]  一方面,因為昨天仍然掛著八號風球,
[00:00:15.000 --> 00:00:19.000]  但今天已經一號風球都沒有了,
[00:00:19.000 --> 00:00:24.000]  讓我們可以實體一起參與祖堂的崇拜。
[00:00:24.000 --> 00:00:27.000]  另一方面,我要感恩的是什麼呢?
[00:00:27.000 --> 00:00:34.000]  原本在去年十月中已經退休了。
[00:00:34.000 --> 00:00:41.000]  在退休之前,我一直在周六晚堂講道,
[00:00:41.000 --> 00:00:50.000]  因此一直沒有在祖堂與大家分享神的話。
[00:00:50.000 --> 00:00:58.000]  但因為我現在服侍的長者團契是彌西團契,
[00:00:58.000 --> 00:01:05.000]  因為他們有需要,所以我回來參與服侍。
[00:01:05.000 --> 00:01:11.000]  亦被安排到在祖堂崇拜當值,
[00:01:11.000 --> 00:01:13.000]  所以實在要感謝上帝,
[00:01:13.000 --> 00:01:19.000]  我們能夠在大家當中分享神的話。
[00:01:19.000 --> 00:01:26.000]  在未講到這一點之前,我們一起同心祈禱吧!
[00:01:26.000 --> 00:01:29.000]  親愛的上帝,我們感謝祢,
[00:01:29.000 --> 00:01:34.000]  因為我們知道我們所作的一切都不是必然的,
[00:01:34.000 --> 00:01:37.000]  就好像我們崇拜一樣,
[00:01:37.000 --> 00:01:41.000]  我們知道如果不是祢的旨意,我們就不能崇拜,
[00:01:41.000 --> 00:01:45.000]  所以我們獻上滿心的感謝和讚美,
[00:01:45.000 --> 00:01:50.000]  亦很恭敬將孩子要分享的信息交上,
[00:01:50.000 --> 00:01:55.000]  求主親自使用,能夠讓弟兄姊妹得著造就。
[00:01:55.000 --> 00:01:58.000]  我們這樣祈禱,奉主耶穌基督的聖名。
[00:01:58.000 --> 00:01:59.000]  阿門。
[00:02:14.000 --> 00:02:18.000]  主日祖堂崇拜給我的印象,
[00:02:18.000 --> 00:02:22.000]  與周六晚堂崇拜有什麼不同呢?
[00:02:22.000 --> 00:02:27.000]  我剛開始當值時,特別留意到,
[00:02:27.000 --> 00:02:30.000]  在出席祖堂崇拜的弟兄姊妹,
[00:02:30.000 --> 00:02:34.000]  都是比較多長者的,
[00:02:34.000 --> 00:02:40.000]  當中有些都是我在尼西團契中所熟悉的徒友記,
[00:02:40.000 --> 00:02:45.000]  當中亦有較多弟兄姊妹,
[00:02:45.000 --> 00:02:50.000]  是陪著坐輪椅回來的父母出席崇拜。
[00:02:50.000 --> 00:02:53.000]  今天有沒有?
[00:02:53.000 --> 00:02:55.000]  今天少了一點,是吧?
[00:02:55.000 --> 00:02:58.000]  看到這個景況時,
[00:02:58.000 --> 00:03:03.000]  令我感覺到祖堂是更有家的味道,
[00:03:03.000 --> 00:03:05.000]  我今天也看到在祖堂裏面,
[00:03:05.000 --> 00:03:07.000]  也有些年輕的,
[00:03:07.000 --> 00:03:12.000]  如果在祖堂裏面,或將來我們有機會在崇拜裏面,
[00:03:12.000 --> 00:03:15.000]  能夠有年長的,有成年人的,
[00:03:15.000 --> 00:03:20.000]  還有年青的,還有一班年幼的一起,
[00:03:20.000 --> 00:03:24.000]  我想在崇拜裏面更有家的感覺。
[00:03:24.000 --> 00:03:27.000]  今天我們所學習的一段經文,
[00:03:27.000 --> 00:03:32.000]  正好是使徒保羅所說的教會就是神的家,
[00:03:32.000 --> 00:03:38.000]  在這個家裏,信徒有著不同的背景,
[00:03:38.000 --> 00:03:42.000]  信徒應該如何彼此相待呢?
[00:03:42.000 --> 00:03:46.000]  讓我們一起透過我們要讀的經文,
[00:03:46.000 --> 00:03:52.000]  學習我們如何彼此相待。
[00:03:52.000 --> 00:03:59.000]  我們有四節經文,
[00:03:59.000 --> 00:04:05.000]  我們第一頭兩節先請弟兄讀,
[00:04:05.000 --> 00:04:08.000]  然後第二節請姐妹讀,
[00:04:08.000 --> 00:04:10.000]  我們請弟兄先讀。
[00:04:10.000 --> 00:04:15.000]  不單如此,身上的肢體,
[00:04:15.000 --> 00:04:20.000]  人以為軟弱的,更是不可缺少的。
[00:04:20.000 --> 00:04:25.000]  身上的肢體,我們認為不體面的,
[00:04:25.000 --> 00:04:30.000]  越發給他加上體面,我們不雅觀的,
[00:04:30.000 --> 00:04:35.000]  越發裝飾得雅觀。
[00:04:35.000 --> 00:04:42.000]  觀的肢體,但神配搭者身子,
[00:04:42.000 --> 00:04:47.000]  把加倍的體面,給那有缺陷的肢體,
[00:04:47.000 --> 00:04:50.000]  免得肢體不潔調,
[00:04:50.000 --> 00:04:57.000]  總要肢體彼此照顧。
[00:04:57.000 --> 00:05:00.000]  哥林多這個地方,
[00:05:00.000 --> 00:05:06.000]  位於希臘雅典西邊的一個大城市,
[00:05:06.000 --> 00:05:10.000]  史陀保羅在他第二次宣教旅程,
[00:05:10.000 --> 00:05:13.000]  來到這個地方傳福音,
[00:05:13.000 --> 00:05:16.000]  並建立了哥林多的教會。
[00:05:16.000 --> 00:05:21.000]  他在這裡逗留了大約一年半的時間,
[00:05:21.000 --> 00:05:25.000]  然後離開了這個地方。
[00:05:25.000 --> 00:05:28.000]  後來因為這間教會出現了一些
[00:05:28.000 --> 00:05:30.000]  關乎到教會的分裂問題,
[00:05:30.000 --> 00:05:32.000]  以及道德的問題,
[00:05:32.000 --> 00:05:36.000]  保羅寫信給哥林多教會,
[00:05:36.000 --> 00:05:42.000]  教他們如何處理有關的問題。
[00:05:42.000 --> 00:05:44.000]  關乎到教會分裂的問題,
[00:05:44.000 --> 00:05:47.000]  可以提及其中的兩方面。
[00:05:47.000 --> 00:05:51.000]  第一方面,在哥林多教會裡,
[00:05:51.000 --> 00:05:53.000]  他們有很多屬靈的恩賜,
[00:05:53.000 --> 00:05:58.000]  他們特別高舉講方言的恩賜,
[00:05:58.000 --> 00:06:01.000]  而比較輕視其他屬靈的恩賜,
[00:06:01.000 --> 00:06:04.000]  這是保羅需要教導他們的。
[00:06:04.000 --> 00:06:09.000]  第二方面,他們有分黨分派,
[00:06:09.000 --> 00:06:13.000]  其中一個情況是,
[00:06:13.000 --> 00:06:17.000]  他們當中因為貧富懸殊的情況,
[00:06:17.000 --> 00:06:21.000]  造成他們之間的分裂。
[00:06:21.000 --> 00:06:25.000]  就好像我們今天有聖餐,
[00:06:25.000 --> 00:06:26.000]  在當時來說,
[00:06:26.000 --> 00:06:29.000]  哥林多教會有聖餐,
[00:06:29.000 --> 00:06:31.000]  在他們聖餐之前,
[00:06:31.000 --> 00:06:33.000]  他們會有聚餐,
[00:06:33.000 --> 00:06:35.000]  我們一般叫做外宴,
[00:06:35.000 --> 00:06:36.000]  就是一些弟兄姊妹,
[00:06:36.000 --> 00:06:40.000]  他們會將他們的食物帶到教會裡,
[00:06:40.000 --> 00:06:44.000]  跟其他弟兄姊妹分享。
[00:06:44.000 --> 00:06:49.000]  但因為有些比較能帶食物的弟兄姊妹,
[00:06:49.000 --> 00:06:51.000]  他們帶回來的時候,
[00:06:51.000 --> 00:06:55.000]  他們就不等其他弟兄姊妹,
[00:06:55.000 --> 00:06:58.000]  他們就先飲飽食醉,
[00:06:58.000 --> 00:07:01.000]  以致後來那些來到的弟兄姊妹,
[00:07:01.000 --> 00:07:05.000]  他們比較貧窮,
[00:07:05.000 --> 00:07:07.000]  他們沒有帶食物,
[00:07:07.000 --> 00:07:09.000]  結果他們來到的時候,
[00:07:09.000 --> 00:07:10.000]  一點食物都沒有,
[00:07:10.000 --> 00:07:13.000]  結果他們就要捱飢抵餓,
[00:07:13.000 --> 00:07:17.000]  結果他們的首主餐的情況,
[00:07:17.000 --> 00:07:19.000]  是很不理想的。
[00:07:19.000 --> 00:07:21.000]  保祿也因為這個緣故,
[00:07:21.000 --> 00:07:22.000]  去教訓他們。
[00:07:22.000 --> 00:07:28.000]  我們再回到哥林多前書,
[00:07:28.000 --> 00:07:32.000]  保祿在十二章十二到二十一節,
[00:07:32.000 --> 00:07:35.000]  他借用身體作一個比喻,
[00:07:35.000 --> 00:07:39.000]  去解釋教會其實是一個整體,
[00:07:39.000 --> 00:07:43.000]  但它卻有很多不同的肢體,
[00:07:43.000 --> 00:07:47.000]  肢體的意思就是身體不同的部份,
[00:07:47.000 --> 00:07:49.000]  而每一個部份,
[00:07:49.000 --> 00:07:51.000]  都是各自有它的功能,
[00:07:51.000 --> 00:07:53.000]  都不能夠缺少的。
[00:07:53.000 --> 00:08:00.000]  接著保祿在十二章的二十二到二十五節,
[00:08:00.000 --> 00:08:03.000]  我們今天要分享的經文,
[00:08:03.000 --> 00:08:05.000]  在這段經文裏,
[00:08:05.000 --> 00:08:10.000]  保祿指出身體的各個部份,
[00:08:10.000 --> 00:08:12.000]  雖然是有差別,
[00:08:12.000 --> 00:08:15.000]  但同樣都是很重要。
[00:08:15.000 --> 00:08:18.000]  保祿在這段經文裏,
[00:08:18.000 --> 00:08:22.000]  舉出了身體有兩方面的差別的地方,
[00:08:22.000 --> 00:08:25.000]  我們來看看,
[00:08:25.000 --> 00:08:30.000]  第一方面有差別的部份是甚麼呢?
[00:08:30.000 --> 00:08:38.000]  身體可以分成強壯和軟弱的部份,
[00:08:38.000 --> 00:08:43.000]  我們甚麼是強壯的部份,
[00:08:43.000 --> 00:08:46.000]  或者軟弱的部份呢?
[00:08:46.000 --> 00:08:50.000]  強壯的部份,
[00:08:50.000 --> 00:08:53.000]  或者我們叫做堅硬的部份,
[00:08:53.000 --> 00:08:55.000]  它們是比較強壯,
[00:08:55.000 --> 00:08:57.000]  或者堅硬一些。
[00:08:57.000 --> 00:09:01.000]  我們身體有甚麼地方是比較堅硬或強壯的呢?
[00:09:01.000 --> 00:09:05.000]  有頭蓋骨,
[00:09:05.000 --> 00:09:08.000]  有牙齒,
[00:09:08.000 --> 00:09:12.000]  有膝蓋骨,
[00:09:12.000 --> 00:09:14.000]  有手肘,
[00:09:14.000 --> 00:09:17.000]  有胸骨和肋骨,
[00:09:17.000 --> 00:09:23.000]  這些都是我們身體比較強壯和堅硬的部份。
[00:09:23.000 --> 00:09:27.000]  但另一方面,身體也有些軟弱的地方,
[00:09:27.000 --> 00:09:30.000]  大家會感覺到軟弱的地方是甚麼呢?
[00:09:30.000 --> 00:09:32.000]  就是我們的眼睛,
[00:09:32.000 --> 00:09:36.000]  也包括我們的腦部,
[00:09:36.000 --> 00:09:39.000]  我經常用腦想想事,
[00:09:39.000 --> 00:09:41.000]  但其實它們都是很軟弱的,
[00:09:41.000 --> 00:09:43.000]  包括我們內臟,
[00:09:43.000 --> 00:09:47.000]  就是心肝脾肺腎的內臟,
[00:09:47.000 --> 00:09:49.000]  都是軟弱的。
[00:09:49.000 --> 00:09:51.000]  這些軟弱的部份,
[00:09:51.000 --> 00:09:53.000]  或者器官,
[00:09:53.000 --> 00:09:55.000]  都是不可以缺少的。
[00:09:55.000 --> 00:09:59.000]  還有它們是,
[00:09:59.000 --> 00:10:05.000]  還有它們是,
[00:10:05.000 --> 00:10:09.000]  都需要一些堅硬的部份去保護它們。
[00:10:09.000 --> 00:10:11.000]  例如眼睛,
