
[00:00:00.000 --> 00:00:04.120]  感謝勁敗隊帶領我們一起有勁敗的時間
[00:00:04.120 --> 00:00:05.720]  不知道大家是否留意到
[00:00:05.720 --> 00:00:08.640]  剛才在勁敗裡面有兩首歌的歌詞
[00:00:08.640 --> 00:00:11.080]  當中出現了一個元素
[00:00:11.080 --> 00:00:13.640]  我覺得對我來說是很大的觸動
[00:00:13.640 --> 00:00:16.520]  就是「財寶」這個字
[00:00:16.520 --> 00:00:18.040]  第二首歌裡說到
[00:00:18.040 --> 00:00:21.960]  Above all worth and treasures
[00:00:21.960 --> 00:00:25.920]  即是神是超越這個世界所有的財寶一切
[00:00:25.920 --> 00:00:27.200]  而到最後那首歌
[00:00:27.200 --> 00:00:30.320]  就說到我們可以獻上甚麼給神
[00:00:30.320 --> 00:00:32.920]  我們金銀財寶都沒有
[00:00:32.920 --> 00:00:35.120]  我們獻得甚麼給神呢
[00:00:35.120 --> 00:00:38.280]  其實對我來說是一個很大的提醒
[00:00:38.280 --> 00:00:41.400]  究竟我是誰呢?我是甚麼人呢?
[00:00:41.400 --> 00:00:43.320]  我回到來就記得聽第四首歌
[00:00:43.320 --> 00:00:45.600]  在青少部的時候
[00:00:45.600 --> 00:00:48.160]  聽著這首歌去勁敗
[00:00:48.160 --> 00:00:49.960]  那天哭得像菲利佛一樣
[00:00:49.960 --> 00:00:51.480]  真的完全聽不到
[00:00:51.480 --> 00:00:53.320]  很大的觸動、很大的體會
[00:00:53.320 --> 00:00:57.160]  我是誰呢?我有甚麼資格去服侍
[00:00:57.160 --> 00:00:59.400]  創造我的主呢?
[00:00:59.400 --> 00:01:01.560]  那一刻我都很大提醒
[00:01:01.560 --> 00:01:02.640]  很感動
[00:01:02.640 --> 00:01:04.000]  一件事就是
[00:01:04.000 --> 00:01:06.320]  既然神呼召我
[00:01:06.320 --> 00:01:08.640]  或者呼召我們勁敗隊
[00:01:08.640 --> 00:01:09.680]  C視、AV Team
[00:01:09.680 --> 00:01:11.520]  我們一起去服侍的裡面
[00:01:11.520 --> 00:01:13.640]  我們真的不要再看自己
[00:01:13.640 --> 00:01:16.720]  有多大能力或者多小能力也好
[00:01:16.720 --> 00:01:20.280]  其實服侍已經是一件很幸福的事
[00:01:20.280 --> 00:01:22.400]  是神完全的恩典給到我們
[00:01:22.400 --> 00:01:23.680]  那麼盼望弟兄姊妹
[00:01:23.680 --> 00:01:28.880]  在裡面也可以體會到神的恩典和祂的愛
[00:01:28.880 --> 00:01:31.280]  我們開始講道之前
[00:01:31.280 --> 00:01:32.880]  我們一起祈禱好嗎?
[00:01:32.880 --> 00:01:36.960]  撐起天父我們真的很感謝祢
[00:01:36.960 --> 00:01:38.280]  感謝祢愛我們
[00:01:38.280 --> 00:01:39.360]  愛我們到底
[00:01:39.360 --> 00:01:42.920]  並且祢不單止拯救了我們
[00:01:42.920 --> 00:01:44.720]  賜下獨生子主耶穌基督
[00:01:44.720 --> 00:01:46.800]  更加賜下你的華語
[00:01:46.800 --> 00:01:48.480]  賜下你的聖靈和我們同在
[00:01:48.480 --> 00:01:49.400]  求祢帶領我們
[00:01:49.400 --> 00:01:50.800]  讓我們欣著你的華語
[00:01:50.800 --> 00:01:52.120]  欣著聖靈的提醒
[00:01:52.120 --> 00:01:54.800]  我們生命裡面可以心意更新而變化
[00:01:54.800 --> 00:01:56.800]  在生命裡面可以流露出
[00:01:56.800 --> 00:01:59.600]  你所賜給我們的特質
[00:01:59.600 --> 00:02:01.000]  你本身創造我們
[00:02:01.000 --> 00:02:03.600]  按著你的形象裡面的特質
[00:02:03.600 --> 00:02:05.600]  讓我們可以流露出來
[00:02:05.600 --> 00:02:07.640]  以至這個世界可以看得見
[00:02:07.640 --> 00:02:11.880]  那份盼望和看得見你的榮耀
[00:02:11.880 --> 00:02:14.120]  看得見你的榮耀在這個世界上彰顯
[00:02:14.120 --> 00:02:14.840]  我們感謝你
[00:02:14.840 --> 00:02:15.400]  祈禱交堂
[00:02:15.400 --> 00:02:16.880]  奉主耶穌基督的名義而祈求
[00:02:16.880 --> 00:02:17.680]  阿門
[00:02:17.680 --> 00:02:19.320]  在幾年之前
[00:02:19.320 --> 00:02:21.080]  在YouTube界那裡
[00:02:21.080 --> 00:02:23.080]  就有一個很大的討論
[00:02:23.080 --> 00:02:25.080]  那時候的討論是這樣說的
[00:02:25.080 --> 00:02:28.400]  小提琴厲害一點還是低音結他厲害一點
[00:02:28.400 --> 00:02:30.600]  我那時候很有興趣
[00:02:30.600 --> 00:02:31.880]  作為低音結他手
[00:02:31.880 --> 00:02:32.920]  不過暗地裡心想
[00:02:32.920 --> 00:02:34.720]  小提琴真的難很多
[00:02:34.720 --> 00:02:37.560]  但是我也很想去趁熱鬧
[00:02:37.560 --> 00:02:41.360]  那時候就去看YouTube的評論
[00:02:41.360 --> 00:02:43.280]  兩段影片不斷在吵架
[00:02:43.280 --> 00:02:44.160]  我去看看
[00:02:44.160 --> 00:02:45.760]  吃一下花生
[00:02:45.760 --> 00:02:47.640]  然後一邊去看
[00:02:47.640 --> 00:02:48.560]  然後就說
[00:02:48.800 --> 00:02:52.240]  小提琴的理論也挺特別
[00:02:52.240 --> 00:02:54.320]  我先去看看YouTube頻道
[00:02:54.320 --> 00:02:56.320]  有一個小提琴的YouTube頻道
[00:02:56.320 --> 00:02:58.080]  不知道大家可不可以展示出來
[00:02:58.080 --> 00:03:00.080]  第二個PowerPoint
[00:03:00.080 --> 00:03:02.800]  我看到這個YouTube頻道叫做
[00:03:02.800 --> 00:03:03.920]  TwoSet Violin
[00:03:03.920 --> 00:03:05.520]  進去看
[00:03:05.520 --> 00:03:07.720]  然後我說說小提琴是什麼
[00:03:07.720 --> 00:03:09.080]  我看看是什麼
[00:03:09.080 --> 00:03:12.320]  怎知道看到三百萬的訂閱
[00:03:12.320 --> 00:03:14.600]  他的影片被人看過十億次
[00:03:14.600 --> 00:03:15.480]  很誇張
[00:03:15.480 --> 00:03:17.040]  我說你還是說說小提琴
[00:03:17.040 --> 00:03:19.760]  說一下你的喜好
[00:03:19.760 --> 00:03:22.280]  說一下你的喜好就有十億人按過
[00:03:22.280 --> 00:03:23.280]  很誇張
[00:03:23.280 --> 00:03:25.240]  然後我就說為什麼可以這麼厲害
[00:03:25.240 --> 00:03:26.680]  這個YouTube頻道
[00:03:26.680 --> 00:03:27.800]  不是賣廣告
[00:03:27.800 --> 00:03:31.240]  不過開場白而已
[00:03:31.240 --> 00:03:34.560]  按進去看看
[00:03:34.560 --> 00:03:36.960]  究竟這個是什麼來頭
[00:03:36.960 --> 00:03:39.080]  看了影片也覺得挺搞笑
[00:03:39.080 --> 00:03:42.760]  但是我去到下面的留言區
[00:03:42.760 --> 00:03:45.000]  我又嚇倒了一次
[00:03:45.000 --> 00:03:48.520]  為什麼一個留言區這麼多人留言
[00:03:48.520 --> 00:03:51.240]  而且每個人都在說同一樣東西
[00:03:51.240 --> 00:03:53.440]  就是一個人叫做Ling Ling
[00:03:53.440 --> 00:03:56.200]  傳說中的Ling Ling
[00:03:56.200 --> 00:03:59.920]  大家都在說Ling Ling有多厲害
[00:03:59.920 --> 00:04:02.160]  Ling Ling是一個
[00:04:02.160 --> 00:04:04.480]  留言區說是一個傳說中
[00:04:04.480 --> 00:04:06.640]  地上最強的小提琴手
[00:04:06.640 --> 00:04:12.240]  傳說中最強的小提琴手有多厲害
[00:04:12.240 --> 00:04:15.320]  就是他每天可以練40小時小提琴
[00:04:15.320 --> 00:04:17.560]  哇 什麼事啊
[00:04:17.560 --> 00:04:19.320]  吹到啊
