
[00:00:00.000 --> 00:00:06.000]  大家有沒有試過對一些事情很有熱情
[00:00:06.000 --> 00:00:12.000]  以至因此用很多的時間、精神、心機
[00:00:12.000 --> 00:00:14.000]  我看見有姐妹額頭了
[00:00:14.000 --> 00:00:15.000]  有
[00:00:15.000 --> 00:00:19.000]  我讀中學的時候很喜歡打排球
[00:00:19.000 --> 00:00:20.000]  當然不是我一個人
[00:00:20.000 --> 00:00:23.000]  有幾個同學和我一起
[00:00:23.000 --> 00:00:25.000]  那時候無論小學還是大學
[00:00:25.000 --> 00:00:30.000]  放學之後我們都會去操場打排球
[00:00:30.000 --> 00:00:33.000]  直至升到中五
[00:00:33.000 --> 00:00:37.000]  其中有一位同學因為要專心讀書
[00:00:37.000 --> 00:00:38.000]  要考會考
[00:00:38.000 --> 00:00:39.000]  那時候我們考會考
[00:00:39.000 --> 00:00:41.000]  現在考DSE
[00:00:41.000 --> 00:00:42.000]  他要專心讀書
[00:00:42.000 --> 00:00:44.000]  所以就退出了
[00:00:44.000 --> 00:00:45.000]  剩下我們幾個
[00:00:45.000 --> 00:00:48.000]  我們都是繼續打的
[00:00:48.000 --> 00:00:50.000]  那時候老師很好
[00:00:50.000 --> 00:00:51.000]  因為她很厲害
[00:00:51.000 --> 00:00:53.000]  她會教我們打排球
[00:00:53.000 --> 00:00:55.000]  那時候老師很好
[00:00:55.000 --> 00:00:57.000]  因為要考公開試
[00:00:57.000 --> 00:01:01.000]  那時候看到老師在教員室出來
[00:01:01.000 --> 00:01:02.000]  走去搭升降機
[00:01:02.000 --> 00:01:07.000]  我們就立刻衝上去五樓
[00:01:07.000 --> 00:01:08.000]  那時候年輕
[00:01:08.000 --> 00:01:12.000]  還可以的
[00:01:12.000 --> 00:01:15.000]  所以那時候我對打排球充滿了熱情
[00:01:15.000 --> 00:01:18.000]  我們幾個同學都是
[00:01:18.000 --> 00:01:21.000]  不過相對於這位姐妹
[00:01:21.000 --> 00:01:24.000]  我們的熱情又差很遠
[00:01:24.000 --> 00:01:26.000]  大家認識她嗎
[00:01:26.000 --> 00:01:29.000]  好像這個星期也有賽事
[00:01:29.000 --> 00:01:33.000]  是 綽號牛下女車神的李慧思
[00:01:33.000 --> 00:01:35.000]  中三那年她被挑選
[00:01:35.000 --> 00:01:37.000]  加入了香港單車會
