
[00:00:00.000 --> 00:00:02.680]  今天所說的經文都說得很光亮
[00:00:02.680 --> 00:00:04.240]  不過這是火
[00:00:04.240 --> 00:00:05.840]  甚至今時今日
[00:00:05.840 --> 00:00:09.400]  事實上這些火都成為一個很溫暖的真光
[00:00:09.400 --> 00:00:11.480]  首先我也很想代表教會
[00:00:11.480 --> 00:00:13.120]  邀請第一次來到我們
[00:00:13.120 --> 00:00:16.360]  因福加參與崇拜的新朋友
[00:00:16.360 --> 00:00:17.080]  或者弟兄姊妹
[00:00:17.080 --> 00:00:18.560]  如果第一次來到的話
[00:00:18.560 --> 00:00:21.960]  你可否站起來讓我們用掌聲歡迎你們
[00:00:21.960 --> 00:00:23.240]  後面那邊有
[00:00:23.240 --> 00:00:24.160]  是的
[00:00:24.160 --> 00:00:24.960]  歡迎你
[00:00:24.960 --> 00:00:26.240]  前面也有
[00:00:26.240 --> 00:00:26.840]  是的
[00:00:26.840 --> 00:00:28.640]  不知道上面有沒有
[00:00:28.640 --> 00:00:29.280]  是的
[00:00:29.280 --> 00:00:33.120]  麻煩詩詩給你們一個禮物包
[00:00:33.120 --> 00:00:34.160]  可以請坐了
[00:00:34.160 --> 00:00:34.800]  是的
[00:00:34.800 --> 00:00:38.480]  你們可以填一填禮物包裡面的資料
[00:00:38.480 --> 00:00:41.080]  甚至乎如果你想更加認識教會的話
[00:00:41.080 --> 00:00:45.120]  我們也會有弟兄姊妹聯絡你們
[00:00:45.120 --> 00:00:45.600]  好了
[00:00:45.600 --> 00:00:48.640]  很想跟大家做一個民意調查
[00:00:48.640 --> 00:00:52.400]  問一下大家通常坐什麼交通工具呢?
[00:00:52.400 --> 00:00:54.400]  有多少人坐地鐵?
[00:00:54.400 --> 00:00:56.440]  很多
[00:00:56.440 --> 00:01:00.040]  在地鐵裡面通常看到很多人身八態
[00:01:00.040 --> 00:01:02.120]  不知道大家在地鐵裡面
[00:01:02.120 --> 00:01:03.760]  通常看到什麼乘客
[00:01:03.760 --> 00:01:05.720]  你覺得很討厭
[00:01:05.720 --> 00:01:07.640]  覺得很煩擾的
[00:01:07.640 --> 00:01:09.920]  會不會是剪指甲那些呢?
