
[00:00:00.000 --> 00:00:03.880]  感恩今天能夠在十八樓副堂中堂
[00:00:03.880 --> 00:00:06.520]  跟大家一起分享今天的訊息
[00:00:06.520 --> 00:00:09.240]  「混合失真的信仰」
[00:00:09.240 --> 00:00:11.480]  繼續是我們國同崇拜關於
[00:00:11.480 --> 00:00:15.480]  以西傑書的系列轉變中的盼望
[00:00:15.480 --> 00:00:18.400]  相信大家從五月開始
[00:00:18.400 --> 00:00:22.200]  其實我們國同崇拜都已經開始說關於以西傑書
[00:00:22.200 --> 00:00:23.640]  可能你對以西傑
[00:00:23.640 --> 00:00:27.400]  特別是這本書的背景都有一定的認識
[00:00:27.400 --> 00:00:31.040]  當時以西傑壯年
[00:00:31.040 --> 00:00:35.200]  他和約瓦根王一同被擄到巴比倫
[00:00:35.200 --> 00:00:36.680]  以西傑身為祭司
[00:00:36.680 --> 00:00:38.960]  他很熟悉聖殿等候服侍
[00:00:38.960 --> 00:00:43.200]  但政治形勢改變了他的人生
[00:00:43.200 --> 00:00:46.560]  而神卻在巴比倫興起他成為先知
[00:00:46.560 --> 00:00:48.800]  在很困難的時刻
[00:00:48.800 --> 00:00:54.360]  他教導猶大和以色列民要認知罪行
[00:00:54.360 --> 00:00:56.440]  然後他向被擄人宣講
[00:00:56.440 --> 00:00:59.640]  神日後必定會重建他的子民
[00:00:59.640 --> 00:01:02.520]  令他們一起回到耶路撒冷
[00:01:02.520 --> 00:01:04.720]  以西傑和當時的以色列人
[00:01:04.720 --> 00:01:08.560]  可以說是經歷人生極大的轉變
[00:01:08.560 --> 00:01:11.880]  環境由耶路撒冷轉變到巴比倫
[00:01:11.880 --> 00:01:15.320]  不像今天的移民是被擄
[00:01:15.320 --> 00:01:19.000]  所以他們要經歷在文化上、信仰上、生活上
[00:01:19.000 --> 00:01:20.960]  不同的轉變
[00:01:20.960 --> 00:01:23.520]  但其實真正的影響
[00:01:23.520 --> 00:01:25.680]  不是在外在的環境
[00:01:25.680 --> 00:01:28.360]  而是在內心的轉化
[00:01:28.360 --> 00:01:30.720]  今天我們會看以西傑書13章
[00:01:30.720 --> 00:01:33.040]  先頭和灣賴牧師帶我們安靜的時候
[00:01:33.040 --> 00:01:35.760]  若你感受到那份轉化
[00:01:35.760 --> 00:01:37.080]  他們的呼求
[00:01:37.080 --> 00:01:39.920]  神一定的審判是什麼
[00:01:39.920 --> 00:01:42.840]  對象是由以色列可以說
[00:01:42.840 --> 00:01:45.640]  由他們的領袖、先知、長老
[00:01:45.640 --> 00:01:48.680]  到每一個原本屬於神的子民
[00:01:48.680 --> 00:01:50.880]  今天我們兩年來經歷疫情
[00:01:50.880 --> 00:01:52.480]  都有很多的轉變
[00:01:52.480 --> 00:01:53.880]  但香港人很厲害
[00:01:53.880 --> 00:01:56.960]  外在環境的轉變是沒有問題的
[00:01:56.960 --> 00:02:01.160]  戴口罩、吃外賣、網上開組、網上崇拜
[00:02:01.160 --> 00:02:02.520]  當然也不容易
[00:02:02.520 --> 00:02:04.400]  最近這個星期又有疫情
[00:02:04.400 --> 00:02:06.680]  我們又要不斷的適應
[00:02:06.680 --> 00:02:09.920]  但最重要的是什麼
[00:02:09.920 --> 00:02:13.080]  我們外在行為可能有很多的適應
[00:02:13.080 --> 00:02:14.760]  但不知道大家有沒有發覺
[00:02:14.760 --> 00:02:18.880]  你的內心也會被疫情慢慢轉變
[00:02:18.880 --> 00:02:20.600]  轉化了也不知道
[00:02:20.600 --> 00:02:22.920]  這就是當時的以色列人
[00:02:22.920 --> 00:02:24.160]  去到巴比倫
[00:02:24.160 --> 00:02:26.960]  原來他們的心不斷的轉化
[00:02:26.960 --> 00:02:28.240]  他們也不知道
[00:02:28.240 --> 00:02:29.560]  對於希伯來人來說
[00:02:29.560 --> 00:02:31.000]  心是很重要的
[00:02:31.000 --> 00:02:33.000]  不單止代表一些心思或意念
[00:02:33.000 --> 00:02:35.000]  是整個人的生命
[00:02:35.000 --> 00:02:36.320]  所以你很熟悉的
[00:02:36.320 --> 00:02:38.000]  經文《針研》四章二十三字
[00:02:38.000 --> 00:02:39.720]  你要保守你心
[00:02:39.720 --> 00:02:41.360]  勝過保守一切
[00:02:41.360 --> 00:02:46.040]  因為一生的果效是由心發出
[00:02:46.040 --> 00:02:47.760]  魏諾德·戴拉斯·威勒
[00:02:47.760 --> 00:02:49.720]  他有一本書叫做
[00:02:49.720 --> 00:02:51.160]  《Renovation of the Heart》
[00:02:51.160 --> 00:02:52.800]  《心靈的重塑》
[00:02:52.800 --> 00:02:53.760]  裡面這樣說
[00:02:53.760 --> 00:02:56.000]  我們的生命以及我們現在
[00:02:56.000 --> 00:02:57.760]  和將來的世界觀
[00:02:57.760 --> 00:03:00.280]  我們怎樣看待這個世界
[00:03:00.280 --> 00:03:03.720]  全部都是內心深處產生的結果
[00:03:03.720 --> 00:03:06.360]  就是說在我們內心心裡面的
[00:03:06.360 --> 00:03:08.240]  心靈、意志
[00:03:08.240 --> 00:03:10.800]  我們對這個世界的認知
[00:03:10.800 --> 00:03:12.240]  現實的作出詮釋
[00:03:12.240 --> 00:03:14.360]  由心慢慢地
[00:03:14.360 --> 00:03:18.040]  你會被世界的互動影響
[00:03:18.040 --> 00:03:19.040]  魏諾德是這樣說
[00:03:19.040 --> 00:03:22.720]  所以你和我和全人類最需要的是什麼呢
[00:03:22.720 --> 00:03:24.720]  是心靈的重塑
[00:03:24.720 --> 00:03:25.880]  《Renovation of the Heart》
[00:03:25.880 --> 00:03:27.520]  就是書名所說的
[00:03:27.520 --> 00:03:30.960]  他說在我們裡頭有一個靈性的深處
[00:03:30.960 --> 00:03:32.920]  一切的觀點選擇行動
[00:03:32.920 --> 00:03:33.800]  今天你為什麼這麼做
[00:03:33.800 --> 00:03:35.120]  為什麼你回來崇拜
[00:03:35.120 --> 00:03:37.000]  為什麼你決定先前去吃什麼早餐
[00:03:37.000 --> 00:03:39.360]  所有都是由你的心發出
[00:03:39.360 --> 00:03:41.080]  但是
[00:03:41.080 --> 00:03:42.360]  今天我們的心
