
[00:00:00.000 --> 00:00:03.480]  今天很高興可以在此與大家靜悟
[00:00:03.480 --> 00:00:08.600]  在靜悟之先,讓我們同心一同讀出今日靜悟的經文
[00:00:08.600 --> 00:00:12.240]  記載在《馬太福音》第十章五至十五節
[00:00:12.240 --> 00:00:14.720]  大家可以看到投影片的
[00:00:14.720 --> 00:00:20.960]  如果不是的話,就讓我重讀吧
[00:00:20.960 --> 00:00:24.000]  好,請大家留心
[00:00:24.000 --> 00:00:28.240]  《馬太福音》第十章五節
[00:00:28.240 --> 00:00:32.520]  「耶穌差借十二個人去,吩咐他們說:
[00:00:32.520 --> 00:00:35.520]  『愛邦人的路,你們不要走;
[00:00:35.520 --> 00:00:39.040]  撒瑪利亞人的城,你們不要進;
[00:00:39.040 --> 00:00:42.840]  寧可往以色列迷失的羊那裡去;
[00:00:42.840 --> 00:00:48.800]  隨走隨存說:天國近了,醫治病人;
[00:00:48.800 --> 00:00:55.680]  叫死人復活,叫長大麻風的潔淨,把鬼趕出去。
[00:00:55.680 --> 00:00:59.440]  你們白白得來也要白白捨去;
[00:00:59.440 --> 00:01:02.960]  要袋裡不要帶金銀銅錢;
[00:01:02.960 --> 00:01:05.200]  行路不要帶口袋;
[00:01:05.200 --> 00:01:07.760]  不要帶兩件掛紙;
[00:01:07.760 --> 00:01:10.000]  也不要帶鞋和鬼杖;
[00:01:10.000 --> 00:01:13.200]  人為工人得飲食是應當的。
[00:01:13.200 --> 00:01:16.760]  你們無論進哪一城哪一村,
[00:01:16.760 --> 00:01:21.680]  要打聽那裡誰是好人,就住在他家;
[00:01:21.680 --> 00:01:27.680]  藉住到走的時候,進他家裡去,邀請他的安。
[00:01:27.680 --> 00:01:33.920]  那家若配得平安,你們祈求的平安就臨到那家;
[00:01:33.920 --> 00:01:38.680]  若不配得,你們所求的平安迎歸你們。
[00:01:38.680 --> 00:01:42.400]  凡不接待你們,不聽你們話的人,
[00:01:42.400 --> 00:01:49.480]  你們離開那家或那城的時候,就把腳上的塵土躲下去。
[00:01:49.480 --> 00:01:53.280]  我實在告訴你們,當審判的日子,
[00:01:53.280 --> 00:01:58.680]  所多馬禍,而摩拉所受的,比那城還容易受呢?
[00:01:58.680 --> 00:02:00.680]  我們同心低頭禱告。
[00:02:00.680 --> 00:02:06.760]  神啊!我們感謝讚美祢,感謝祢賜下寶貴的話語,
[00:02:06.760 --> 00:02:11.080]  求主使用孩子的口,說得清楚明白,
[00:02:11.080 --> 00:02:14.360]  讓聽的都可以領受祢的恩典,
[00:02:14.360 --> 00:02:18.360]  可以走出這個會堂的時候,他們應用在生命上面。
[00:02:18.360 --> 00:02:20.360]  主啊!我們感謝祢,讚美祢,
[00:02:20.360 --> 00:02:23.560]  完將一切,榮耀、重讚,歸到給祢,
[00:02:23.560 --> 00:02:26.560]  求祢與我們同在,開啟我們的心,
[00:02:26.560 --> 00:02:29.760]  聽我們的禱告,奉主耶穌基督,聖名祈求,
[00:02:29.760 --> 00:02:31.760]  阿們。
[00:02:31.760 --> 00:02:33.760]  讓我講一點背景,好嗎?
[00:02:33.760 --> 00:02:39.360]  耶穌在馬太福音第八章,說到自己來是承傳律法的,
[00:02:39.360 --> 00:02:42.960]  可以重新演繹律法的真言。
[00:02:42.960 --> 00:02:48.160]  在馬太福音第九章尾,當耶穌說出這個啞巴鬼之後,
[00:02:48.160 --> 00:02:53.360]  法利塞人竟然說耶穌是靠著鬼王來趕鬼,
[00:02:53.360 --> 00:02:57.960]  雖然耶穌對這一班法利塞人真的很失望,
[00:02:57.960 --> 00:03:01.560]  但耶穌仍然走遍各國的會堂,
[00:03:01.560 --> 00:03:07.360]  看見許多人困苦流離,如同羊一般沒有木人。
[00:03:07.360 --> 00:03:12.160]  於是,他在第七節的《綱藏》讀出的經文裏,
[00:03:12.160 --> 00:03:15.960]  他命令門徒一邊走一邊傳道,
[00:03:15.960 --> 00:03:21.160]  宣告天國近了,天國快實現了。
[00:03:21.160 --> 00:03:25.160]  天國快實現究竟是什麼意思呢?弟兄姊妹。
[00:03:25.160 --> 00:03:31.960]  在猶太人的觀念裏,天國是指神是王的王權,
