
[00:00:00.000 --> 00:00:04.280]  我會選擇最長的那條還是最短的那條呢?
[00:00:04.280 --> 00:00:10.520]  我小時候讀書的時候
[00:00:10.520 --> 00:00:12.520]  老師教我們幾何數學
[00:00:12.520 --> 00:00:17.120]  告訴我們如果要由A到B去選擇的話
[00:00:17.120 --> 00:00:19.120]  我們要選擇哪一條路線呢?
[00:00:19.120 --> 00:00:21.120]  我們會選擇A和B
[00:00:21.120 --> 00:00:23.120]  我們會選擇B和C
[00:00:23.120 --> 00:00:25.120]  我們會選擇C和D
[00:00:25.120 --> 00:00:27.120]  我們會選擇D和E
[00:00:27.120 --> 00:00:31.920]  老師告訴我們如果要由A到B
[00:00:31.920 --> 00:00:35.920]  最快的路線應該是一條直線
[00:00:35.920 --> 00:00:39.120]  這個理論很容易理解
[00:00:39.120 --> 00:00:42.720]  所以我們現在要去一個地方之前
[00:00:42.720 --> 00:00:44.720]  如果我不懂路
[00:00:44.720 --> 00:00:47.720]  我會先請教一下Google大神
[00:00:47.720 --> 00:00:50.720]  在電腦上規劃一下
[00:00:50.720 --> 00:00:53.720]  哪條路線或乘坐哪輛車
[00:00:53.720 --> 00:00:56.720]  才可以讓我最快去到目的地
[00:00:56.720 --> 00:00:58.720]  這樣我才會出發
[00:00:58.720 --> 00:01:03.520]  同樣地,當我們思考人生規劃的時候
[00:01:03.520 --> 00:01:05.520]  都會思前想後
[00:01:05.520 --> 00:01:11.320]  為自己設計一條最順利或最穩妥的階梯
[00:01:11.320 --> 00:01:14.320]  我相信大家都很同意
[00:01:14.320 --> 00:01:20.120]  所以現在坊間經常出現很多人生規劃課程
[00:01:20.120 --> 00:01:22.120]  目的就是要教我們
[00:01:22.120 --> 00:01:29.120]  可以很順利地去到一個成功的階段
[00:01:29.120 --> 00:01:33.120]  但是當你相信主一段時間之後
[00:01:33.120 --> 00:01:35.120]  你可能會發現
[00:01:35.120 --> 00:01:39.120]  神跟我們規劃的那條路線
[00:01:39.120 --> 00:01:43.120]  似乎跟我們想像的很大出入
[00:01:43.120 --> 00:01:47.120]  這些事與願違的差距
[00:01:47.120 --> 00:01:53.120]  久而久之會不會令到你對神的應許失去了信心呢?
[00:01:53.120 --> 00:01:57.120]  甚至令你開始懷疑神
[00:01:57.120 --> 00:02:00.120]  究竟是不是愛你的?
[00:02:00.120 --> 00:02:03.120]  今天我們很想透過《出拉及記》
[00:02:03.120 --> 00:02:07.120]  13章17至22節的經文
[00:02:07.120 --> 00:02:10.120]  來一起思考一下這個課題
[00:02:10.120 --> 00:02:15.120]  我們先一起重讀《出拉及記》13章17至22節
[00:02:15.120 --> 00:02:17.120]  我們準備了
[00:02:18.120 --> 00:02:21.120]  法老讓人民離開的時候
[00:02:21.120 --> 00:02:24.120]  雖然非利士的路很近
[00:02:24.120 --> 00:02:28.120]  神卻不領他們從那裡走
[00:02:28.120 --> 00:02:33.120]  因為神說恐怕百姓看見征戰而後悔
[00:02:33.120 --> 00:02:36.120]  就回埃及去
[00:02:36.120 --> 00:02:39.120]  所以神領人民繞道而行
[00:02:39.120 --> 00:02:43.120]  走曠野的路到紅海去
[00:02:43.120 --> 00:02:46.120]  以色列人從埃及地上來的時候
[00:02:46.120 --> 00:02:49.120]  都帶著兵器
[00:02:49.120 --> 00:02:53.120]  摩西帶了約瑟的骸骨同去
[00:02:53.120 --> 00:02:58.120]  因為約瑟曾經叫以色列人嚴肅地起誓說
[00:02:58.120 --> 00:03:01.120]  神必定眷顧你們
[00:03:01.120 --> 00:03:06.120]  你們要把我的骸骨從這裡也一同帶去
[00:03:06.120 --> 00:03:09.120]  他們從疏國起行
[00:03:09.120 --> 00:03:13.120]  在曠野邊界的二唐安營
[00:03:13.120 --> 00:03:16.120]  耶和華在他們面前行
[00:03:16.120 --> 00:03:19.120]  日間用雲柱領他們的路
[00:03:19.120 --> 00:03:23.120]  夜間用火柱光照他們
[00:03:23.120 --> 00:03:26.120]  使他們日夜都可以行走
[00:03:26.120 --> 00:03:30.120]  日間雲柱 夜間火柱
[00:03:30.120 --> 00:03:33.120]  都不離開眾民的面前
[00:03:33.120 --> 00:03:35.120]  謝謝
[00:03:35.120 --> 00:03:38.120]  第一個令你懷疑人生的處境
[00:03:38.120 --> 00:03:45.120]  會不會出現在十七、十八和二十節當中呢?
[00:03:45.120 --> 00:03:48.120]  《春埃及記》第十二章就說到
