
[00:00:00.000 --> 00:00:02.720]  很開心能夠在18樓這裡
[00:00:02.720 --> 00:00:05.200]  可以跟大家分享神的話
[00:00:05.200 --> 00:00:08.920]  今天見到大家
[00:00:08.920 --> 00:00:11.280]  剛才像師哥所說
[00:00:11.280 --> 00:00:15.400]  我們在暴風雨之後見到有嬌陽
[00:00:15.400 --> 00:00:17.360]  很感恩能夠回來聚會
[00:00:17.360 --> 00:00:19.840]  因為昨晚在家裡不斷打電話
[00:00:19.840 --> 00:00:22.040]  萬一真的不行的時候
[00:00:22.040 --> 00:00:25.640]  我們有什麼第二…
[00:00:25.640 --> 00:00:27.520]  B plan 去預備
[00:00:27.520 --> 00:00:28.720]  怎樣做直播呢?
[00:00:28.720 --> 00:00:31.400]  同工也很好,馬上各自配搭
[00:00:31.400 --> 00:00:32.800]  我們也很感恩
[00:00:32.800 --> 00:00:36.200]  一直在大堂跟大家說加拉太書
[00:00:36.200 --> 00:00:37.680]  很想藉著加拉太書
[00:00:37.680 --> 00:00:40.720]  兼顧我們自己對神的信心
[00:00:40.720 --> 00:00:42.480]  在開宣的時候不如我們一起禱告
[00:00:42.480 --> 00:00:43.600]  然後我們才讀經
[00:00:43.600 --> 00:00:47.200]  主,我們感恩我們能夠在祢的面前
[00:00:47.200 --> 00:00:49.880]  讓祢自己的說話感動
[00:00:49.880 --> 00:00:51.840]  讓祢自己的說話激動
[00:00:51.840 --> 00:00:55.560]  求主祢自己親自祝福我們這個時間
[00:00:55.560 --> 00:00:59.200]  成為我們今週與祢相遇的一個空間
[00:00:59.200 --> 00:01:03.120]  以致我們今週每一個分鐘、每一個秒
[00:01:03.120 --> 00:01:04.920]  我們都能夠與主祢同行
[00:01:04.920 --> 00:01:06.760]  願主祢幫助帶領我們
[00:01:06.760 --> 00:01:09.120]  我們禱告奉主耶穌基督的名而求
[00:01:09.120 --> 00:01:09.760]  阿們
[00:01:09.760 --> 00:01:14.160]  我們首先想跟大家讀出經文
[00:01:14.160 --> 00:01:18.680]  我簡單地去分
[00:01:18.680 --> 00:01:22.880]  15節到20節請弟兄讀
[00:01:22.880 --> 00:01:25.400]  21到25節請姐妹讀
[00:01:25.400 --> 00:01:28.200]  然後我們26到29節一起讀
[00:01:28.200 --> 00:01:32.520]  可能大家一直不知道哪一節
[00:01:32.520 --> 00:01:35.960]  因為我已經剪掉了那些節數
[00:01:35.960 --> 00:01:37.240]  到時我再告訴大家
[00:01:37.240 --> 00:01:38.200]  我首先請弟兄
[00:01:38.200 --> 00:01:39.880]  15到20節
[00:01:39.880 --> 00:01:41.040]  1、2、3
[00:01:41.040 --> 00:01:45.160]  弟兄們,我照著人的觀點說
[00:01:45.160 --> 00:01:48.000]  人的遺囑一經確定
[00:01:48.000 --> 00:01:51.120]  沒有人能廢棄或加增
[00:01:51.120 --> 00:01:56.920]  那些認許原是向亞伯拉罕和他後裔說的
[00:01:56.920 --> 00:02:01.320]  並不是說和眾後裔指許多人
[00:02:01.320 --> 00:02:05.720]  而是說和你那個後裔指一個人
[00:02:05.720 --> 00:02:07.200]  就是基督
[00:02:07.200 --> 00:02:09.120]  我是這麼說
[00:02:09.120 --> 00:02:11.280]  神預先所立的約
[00:02:11.280 --> 00:02:16.480]  不能被430年以後的律法廢掉
[00:02:16.480 --> 00:02:18.640]  使認許失效
[00:02:18.640 --> 00:02:23.200]  因為承受產業者若是出於律法
[00:02:23.200 --> 00:02:25.920]  就不再是出於認許
[00:02:25.920 --> 00:02:31.760]  但神是憑著認許把產業賜給亞伯拉罕
[00:02:31.760 --> 00:02:33.520]  這樣說來
[00:02:33.520 --> 00:02:36.160]  為什麼要有律法呢?
[00:02:36.160 --> 00:02:40.560]  律法是為過犯的緣故而加上去的
[00:02:40.560 --> 00:02:45.360]  等候那蒙認許的子孫來到才結束
[00:02:45.360 --> 00:02:49.680]  是藉著天使經中保之手而設立的
[00:02:49.680 --> 00:02:53.920]  但中保本不是為單方設立的
[00:02:53.920 --> 00:02:55.600]  神卻是一位
[00:02:55.600 --> 00:02:58.480]  請姐妹讀21節到25節
[00:02:58.480 --> 00:02:59.480]  1、2、3
[00:02:59.480 --> 00:03:03.840]  這樣律法是與神的應許對立
[00:03:03.840 --> 00:03:05.280]  絕對不是
[00:03:05.280 --> 00:03:09.680]  如果律法的攀步能使人得生命
[00:03:09.680 --> 00:03:12.880]  亦就承言出於律法了
[00:03:12.880 --> 00:03:16.880]  但聖經把萬物都圈在罪裡
[00:03:16.880 --> 00:03:20.720]  為要使因信耶穌基督而來的
[00:03:20.720 --> 00:03:23.520]  認許歸給信的人
[00:03:23.520 --> 00:03:26.640]  但這信還未來以前
[00:03:26.640 --> 00:03:30.240]  我們被看守在律法之下
[00:03:30.240 --> 00:03:32.160]  將被圈住
