
[00:00:00.000 --> 00:00:04.480]  最近在地鐵上聽到一些人的對話
[00:00:04.480 --> 00:00:05.520]  有兩個人
[00:00:05.520 --> 00:00:08.480]  有一個人就跟他朋友說
[00:00:08.480 --> 00:00:11.600]  「我這輩子最信得過的是你」
[00:00:11.600 --> 00:00:13.120]  那朋友就很感動
[00:00:13.120 --> 00:00:15.960]  他說「真的嗎?為甚麼?」
[00:00:15.960 --> 00:00:17.840]  那個人就說
[00:00:17.840 --> 00:00:20.720]  「因為我甚麼秘密都告訴你」
[00:00:20.720 --> 00:00:23.120]  「但你又從來沒有洩漏出來」
[00:00:23.120 --> 00:00:24.520]  我聽到這裡
[00:00:24.520 --> 00:00:27.640]  我想他們真的是很好朋友
[00:00:27.640 --> 00:00:31.200]  但他那個朋友就說
[00:00:31.200 --> 00:00:33.600]  「你又告訴我秘密?」
[00:00:33.600 --> 00:00:36.000]  「我沒有聽過」
[00:00:36.000 --> 00:00:39.200]  原來你當他是好朋友
[00:00:39.200 --> 00:00:41.200]  不知道對方當你是甚麼
[00:00:41.200 --> 00:00:44.200]  找朋友原來都很重要
[00:00:44.200 --> 00:00:46.800]  我們原來在侍奉中
[00:00:46.800 --> 00:00:51.200]  找一個好的拍檔、夥伴都是很重要的
[00:00:51.200 --> 00:00:53.400]  今天是《雅各書》裡面
[00:00:53.400 --> 00:00:55.280]  講道系列的第七講
[00:00:55.280 --> 00:00:58.760]  我們從《雅各書》的四章四至十二節
[00:00:58.760 --> 00:01:01.520]  一起去學習神的心意
[00:01:01.520 --> 00:01:05.160]  進入社區的時候要注意甚麼
[00:01:05.160 --> 00:01:06.920]  讓我們很容易世俗化
[00:01:06.920 --> 00:01:09.320]  或者有甚麼出路呢
[00:01:09.320 --> 00:01:11.800]  《雅各書》裡面主題是
[00:01:11.800 --> 00:01:13.080]  「全民為主發光」
[00:01:13.080 --> 00:01:15.760]  我們走進社區
[00:01:15.760 --> 00:01:16.960]  我們一起讀經文
[00:01:16.960 --> 00:01:22.800]  在《雅各書》四章先讀四至六節
[00:01:22.800 --> 00:01:25.600]  「你們這些淫亂的人啊
[00:01:25.600 --> 00:01:28.200]  豈不知道與世俗為友
[00:01:28.200 --> 00:01:30.560]  就是與神為敵嗎?
[00:01:30.560 --> 00:01:34.000]  所以凡想要與世俗為友的
[00:01:34.000 --> 00:01:36.240]  就是與神為敵了
[00:01:36.240 --> 00:01:37.600]  經上說
[00:01:37.600 --> 00:01:40.640]  神愛安置在我們裡面的靈
[00:01:40.640 --> 00:01:43.120]  愛到道的地步
[00:01:43.120 --> 00:01:46.200]  你們以為這話是徒然的嗎?
[00:01:46.200 --> 00:01:49.040]  但是他設更多的恩典
[00:01:49.040 --> 00:01:50.760]  正如經上說
[00:01:50.760 --> 00:01:52.840]  神抵擋驕傲的人
[00:01:52.840 --> 00:01:56.480]  但賜恩給謙卑的人」
[00:01:56.480 --> 00:01:58.720]  今天經文在四至十二節
