
[00:00:00.000 --> 00:00:04.720]  好,今天我們會繼續五堂《士道行傳》系列的講道
[00:00:04.720 --> 00:00:07.120]  今天的講題是《再回首》
[00:00:07.120 --> 00:00:09.920]  大家看一看這幅PowerPoint的圖
[00:00:09.920 --> 00:00:12.320]  先幫大家驗一驗眼
[00:00:12.320 --> 00:00:16.320]  整幅圖裡面大家有沒有留意到有個人在裡面?
[00:00:16.320 --> 00:00:17.600]  有個人,對了
[00:00:17.600 --> 00:00:19.600]  其實這幅圖有一個意境
[00:00:19.600 --> 00:00:22.600]  就是靜下來去反思一下人生
[00:00:22.600 --> 00:00:28.000]  丁姐妹,我不知道你有沒有經常去回望你自己人生的習慣
[00:00:28.000 --> 00:00:32.000]  早前我們經歷過壽苦節、復活節
[00:00:32.000 --> 00:00:34.400]  我不知道大家會不會在那個節期裡面
[00:00:34.400 --> 00:00:38.400]  做一次思想你和耶穌基督的關係
[00:00:38.400 --> 00:00:43.400]  做一次思想信仰今天在你生命裡面有什麼意義
[00:00:43.400 --> 00:00:46.800]  耶穌基督是不是還是你生命的中心
[00:00:46.800 --> 00:00:50.400]  還是信仰已經成為了你的習慣
[00:00:50.400 --> 00:00:54.400]  你每個星期可能都回來教會崇拜、團契
[00:00:54.400 --> 00:00:57.400]  但是你都成為了習慣
[00:00:57.400 --> 00:01:02.000]  可能生活裡面不知道你有沒有將耶穌基督放在你心裡面
[00:01:02.000 --> 00:01:05.000]  還是已經可有可無
[00:01:05.000 --> 00:01:10.000]  可能你會說我在教會很多時侯經常都回來很多聚會
[00:01:10.000 --> 00:01:12.200]  但我們苦心自問來到今天
[00:01:12.200 --> 00:01:15.200]  這些時侯對我們每一個人
[00:01:15.200 --> 00:01:18.000]  我們生命裡面有什麼意義
[00:01:18.000 --> 00:01:20.600]  是交差、交功課
[00:01:20.600 --> 00:01:25.600]  成為習慣還是真的仍然在服侍主耶穌基督
[00:01:25.600 --> 00:01:29.800]  我們盼望今天藉著《士道行傳》第八章的片段
[00:01:29.800 --> 00:01:35.400]  我們回望初期教會一班信徒
[00:01:35.400 --> 00:01:38.200]  他們信仰的歷程
[00:01:38.200 --> 00:01:44.200]  藉此回望我們今天自己信仰的實踐
[00:01:44.200 --> 00:01:48.400]  我們會先讀《士道行傳》八章四到十三節
[00:01:48.400 --> 00:01:50.200]  大家看到我們一起讀出來
[00:01:50.200 --> 00:01:52.200]  預備 1、2、3
[00:01:52.200 --> 00:01:56.600]  那些分散的人往各處去傳福音的道
[00:01:56.600 --> 00:01:59.400]  肥利夏撒瑪利亞城去
[00:01:59.400 --> 00:02:02.000]  向當地人宣講基督
[00:02:02.000 --> 00:02:04.400]  眾人都聚精會神
[00:02:04.400 --> 00:02:07.800]  同心合二地聽肥利所說的話
[00:02:07.800 --> 00:02:09.600]  一邊聽他的話
[00:02:09.600 --> 00:02:12.200]  一邊看他所行的神蹟
[00:02:12.200 --> 00:02:15.600]  因為有許多人被污淩附著
[00:02:15.600 --> 00:02:18.200]  那些污淩大聲呼叫
[00:02:18.200 --> 00:02:20.200]  從他身上出來
[00:02:20.200 --> 00:02:22.400]  還有許多癱瘓的
[00:02:22.400 --> 00:02:25.600]  卻退的都得了醫治
[00:02:25.600 --> 00:02:28.800]  那城裡有極大的喜樂
[00:02:28.800 --> 00:02:31.000]  有一個人名叫西門
[00:02:31.000 --> 00:02:34.000]  向來在那城裡行邪術的
[00:02:34.000 --> 00:02:36.000]  自命偉大人物
[00:02:36.000 --> 00:02:39.000]  使撒瑪利亞的居民驚奇
[00:02:39.000 --> 00:02:43.200]  所有的人從小到大都聽從他說
[00:02:43.200 --> 00:02:45.800]  這個人就是神的能力
[00:02:45.800 --> 00:02:48.000]  那稱為大能者的
[00:02:48.000 --> 00:02:49.800]  他們聽從他
