
[00:00:00.000 --> 00:00:04.000]  首先做一個小小的問卷
[00:00:04.000 --> 00:00:06.000]  現在我和你說
[00:00:06.000 --> 00:00:10.000]  有兩個關於猜拳的事供在你面前
[00:00:10.000 --> 00:00:12.000]  一個我告訴你
[00:00:12.000 --> 00:00:17.000]  是會有100%成功的果效
[00:00:17.000 --> 00:00:19.000]  無論你做什麼崗位
[00:00:19.000 --> 00:00:21.000]  前線還是後線
[00:00:21.000 --> 00:00:24.000]  你都會收到很正面的回應
[00:00:24.000 --> 00:00:26.000]  100%成功 記住
[00:00:26.000 --> 00:00:31.000]  而另一個事供在你參與之前
[00:00:31.000 --> 00:00:33.000]  我已經和你說好
[00:00:33.000 --> 00:00:35.000]  很難做的
[00:00:35.000 --> 00:00:38.000]  而且做多久都不會有成果
[00:00:38.000 --> 00:00:40.000]  我想問一下
[00:00:40.000 --> 00:00:41.000]  真心地回應
[00:00:41.000 --> 00:00:42.000]  不用給面子誰
[00:00:42.000 --> 00:00:44.000]  也不用看旁邊那個
[00:00:44.000 --> 00:00:49.000]  如果會參與第一個事供的請舉手
[00:00:49.000 --> 00:00:55.000]  如果會參與第二個事供的請舉手
[00:00:55.000 --> 00:00:56.000]  都有人
[00:00:56.000 --> 00:00:58.000]  你們很勇敢
[00:00:58.000 --> 00:01:01.000]  其實會參與第一個事供
[00:01:01.000 --> 00:01:03.000]  是很正常的
[00:01:03.000 --> 00:01:04.000]  老實跟你說
[00:01:04.000 --> 00:01:06.000]  我都會參與第一個
[00:01:06.000 --> 00:01:08.000]  而且還會義無反顧
[00:01:08.000 --> 00:01:11.000]  長期毀身在第一個事供裡
[00:01:11.000 --> 00:01:13.000]  因為這個傾向
[00:01:13.000 --> 00:01:17.000]  都揭示了一件事給我們知道
[00:01:17.000 --> 00:01:21.000]  人都是偏向想做一些事
[00:01:21.000 --> 00:01:24.000]  有成果和容易做的事
[00:01:24.000 --> 00:01:25.000]  對不對?
[00:01:25.000 --> 00:01:26.000]  都沒有果效
[00:01:26.000 --> 00:01:29.000]  為什麼要投資時間和心力下去呢?
[00:01:29.000 --> 00:01:33.000]  所以我很欣賞剛才會舉手參與第二個事供
[00:01:33.000 --> 00:01:37.000]  你們真是很精銳的部隊
[00:01:37.000 --> 00:01:40.000]  不過我看到很多人沒有舉手
[00:01:40.000 --> 00:01:43.000]  你們心裡在想什麼?
[00:01:43.000 --> 00:01:44.000]  猜拳?
[00:01:44.000 --> 00:01:45.000]  不關我的事
[00:01:45.000 --> 00:01:46.000]  你們猜拳
[00:01:46.000 --> 00:01:47.000]  我猜拳
[00:01:47.000 --> 00:01:48.000]  我猜拳
[00:01:48.000 --> 00:01:49.000]  我猜拳
[00:01:49.000 --> 00:01:51.000]  不關我的事
[00:01:51.000 --> 00:01:52.000]  你們猜拳
[00:01:52.000 --> 00:01:53.000]  我猜拳
[00:01:53.000 --> 00:01:55.000]  多數都是這樣
[00:01:55.000 --> 00:01:57.000]  這個現況
[00:01:57.000 --> 00:02:01.000]  都是我在教會裡常見到的狀態
[00:02:01.000 --> 00:02:03.000]  不過老實跟你說
[00:02:03.000 --> 00:02:07.000]  一切關於猜拳的工作
[00:02:07.000 --> 00:02:11.000]  都是艱難而且不容易見到果效的
[00:02:11.000 --> 00:02:12.000]  不知道是不是因為這樣
[00:02:12.000 --> 00:02:13.000]  在教會裡
[00:02:13.000 --> 00:02:16.000]  會參與做猜拳工作的人
[00:02:16.000 --> 00:02:18.000]  其實是極少數
[00:02:18.000 --> 00:02:22.000]  你問我們每個月的猜拳祈禱會
[00:02:22.000 --> 00:02:24.000]  有多少人出席呢?
[00:02:24.000 --> 00:02:25.000]  平均來說
[00:02:25.000 --> 00:02:30.000]  每個月的祈禱會都不會超過50人出席
[00:02:30.000 --> 00:02:35.000]  還有一些聚會都不會
[00:02:35.000 --> 00:02:38.000]  記住我們的比例是幾千人教會
[00:02:38.000 --> 00:02:41.000]  如果只有幾十人去祈禱會或者參與這些事供
