
[00:00:00.000 --> 00:00:10.000]  鼎姐妹早晨!今早有無睇世界盃呀?
[00:00:10.000 --> 00:00:19.000]  我唔知今屆嘅世界盃對你嚟講有啲乜嘢係比較深刻嘅印象?
[00:00:19.000 --> 00:00:23.000]  挪威球迷嗰啲咁嘅打氣呀?
[00:00:23.000 --> 00:00:37.000]  或者你有唔同嘅一啲嘅片段呀, 還是係你發現原來總統都可以影響嗰個球證嘅罰則嘅結果嘅?
[00:00:37.000 --> 00:00:45.000]  今朝早上同大家去睇一個嘅題目, 就係叫做在不二世界中嘅自處呀。
[00:00:45.000 --> 00:00:53.000]  咁呀經文係嚟自呢個嘅傳道書, 我相信大家對傳道書或許都有些少嘅印象,
[00:00:53.000 --> 00:01:03.000]  係教導神嘅選民喺呢一個嘅日光之下, 或者係呢個現世嘅生活當中點樣能夠有智慧嘅生活。
[00:01:03.000 --> 00:01:13.000]  而經文第三章呢我哋知道呢有兩個嘅重點, 第一個重點呢就喺嗰個變幻不定嘅世界當中,
[00:01:13.000 --> 00:01:23.000]  我哋點樣將自己嚟到安放喺上帝嘅神呢個嘅生命當中。
[00:01:23.000 --> 00:01:28.000]  喺一個變幻嘅世界你點樣將自己嘅心安穩喺神嗰度。
[00:01:28.000 --> 00:01:41.000]  第二個重點呢就係特別講到一個不公不義嘅世界當中, 我哋點樣能夠享受神畀我哋嘅份呢?
[00:01:41.000 --> 00:01:52.000]  咁今日就會係思想第三章十六至到二十二節, 就係下半章嘅經文, 我哋一齊嚟到去重讀呢段經文。
[00:01:52.000 --> 00:02:01.000]  我又見日光之下, 在審判之處有奸惡, 在公義之處也有奸惡。
[00:02:01.000 --> 00:02:11.000]  我心裡說, 神必審判義人和惡人, 因為在那裡各樣事務, 一切工作都有定時。
[00:02:11.000 --> 00:02:22.000]  我心裡說, 這一人的緣故, 是神要試驗他們, 使他們覺得自己不過像獸一樣。
[00:02:22.000 --> 00:02:35.000]  因為世人遭遇的, 獸也遭遇, 所遭遇的都是一樣。 這個怎樣死, 那個也怎樣死, 氣息都是一樣。
[00:02:35.000 --> 00:02:45.000]  人不能強於獸, 都是出於獸肚, 也要歸於塵土。
[00:02:45.000 --> 00:02:57.000]  誰知道, 人的靈是往上升, 獸的魂是下入地。 故此, 我見人莫強於在他所經營的事上。
[00:02:57.000 --> 00:03:04.000]  因為這是他的份, 他善後的事, 誰能似他曉。
[00:03:04.000 --> 00:03:16.000]  好, 我們一起有個禱告吧。 親愛的天父, 我們仰望你, 求主透過《傳徒書》這一卷智慧的詩來幫助我們。
[00:03:16.000 --> 00:03:30.000]  讓我們能夠在很多變幻, 和很多我們不能理解的一些事情的時候, 我們的心仍然能夠在裡面找到那份平安和喜樂。
[00:03:30.000 --> 00:03:39.000]  我們求主帶領我們, 誰聽我們在你面前獻上我們的禱告, 交託奉耶穌基督的聖名。
[00:03:39.000 --> 00:03:56.000]  弟兄姊妹, 我不知道你覺不覺得, 我們好像生活在一個充滿了一些矛盾, 又或者有時候覺得很混亂, 和很無奈的一個世界。
[00:03:56.000 --> 00:04:08.000]  在新聞裡面, 我們經常聽到一些不法, 不公義, 又或者一些權力腐敗的一些事件。
[00:04:08.000 --> 00:04:30.000]  自從俄烏的戰爭開始, 好像世界那種秩序慢慢漸漸的瓦解, 並且走向所謂實力、權力和軍力為主導的一種國際新的秩序。
[00:04:30.000 --> 00:04:48.000]  美伊的戰爭更加是將這種狀況推到一個極致, 好像舊有國際社會的一些秩序, 組織、機構等等漸漸的瓦解。
[00:04:48.000 --> 00:05:00.000]  這些國際組織, 好像已經不復存在, 不能夠再正常的發揮他們的功能。
[00:05:00.000 --> 00:05:09.000]  世界的格局、利益、權力, 好像再一次重新的規劃。
[00:05:09.000 --> 00:05:18.000]  或許這只是在國際層面, 我們又回到近一點, 在我們香港的情況。
[00:05:18.000 --> 00:05:30.000]  早一段時間發生在大埔的災禍裡面, 我不知道大家有沒有留意, 一開始去聽那些聽證會的過程裡面,
[00:05:30.000 --> 00:05:39.000]  一邊聽的時候, 在你的心裡面, 你有什麼感受或者回應呢?
[00:05:39.000 --> 00:05:48.000]  我一邊聽的時候, 只有一個感覺就是, 這樣也行, 這樣也行, 這樣也行, 是不是?
[00:05:48.000 --> 00:06:01.000]  還是你覺得是這樣的呢? 好像有很多的事情, 都是出乎我們意料的裡面。
[00:06:01.000 --> 00:06:13.000]  大眾期望能夠了解那個真相, 可以杜絕, 或者在制度上的一些僵化和陋習。
[00:06:13.000 --> 00:06:18.000]  你覺得這個有問題嗎?
[00:06:18.000 --> 00:06:30.000]  如果監管的部門能夠各司其職, 不過很多時候我們說, 如果能夠做到這個就是奇蹟了。
[00:06:30.000 --> 00:06:37.000]  如果那個監管的部門, 他們真的能夠各司其職, 做好了自己的本份,
[00:06:37.000 --> 00:06:46.000]  其實其他前線的一些部門, 或者員工, 他們就不需要付出沉重的代價。
[00:06:46.000 --> 00:06:52.000]  當每一次有一些所謂人為, 或者是一些災禍的時候,
[00:06:52.000 --> 00:07:00.000]  人總是會有一句這樣的說話, 就是因為人性的疏忽而帶來的犧牲,
[00:07:00.000 --> 00:07:10.000]  就是一中都嫌多, 但現實又告訴我們, 在我們身邊的裡面,
[00:07:10.000 --> 00:07:20.000]  每一天就是發生著這些大大小小, 似乎荒誕匪夷所思的一些事情。
[00:07:20.000 --> 00:07:37.000]  傳道者他讓我們看見, 他沒有否定這個世界的敗壞事實, 他也沒有叫神的選民去逃避這個社會裡面的現實真實的情況。
[00:07:37.000 --> 00:07:52.000]  他將他觀察到的一個現實, 來展示在我們的面前, 為的是要提醒我們應該怎樣調整我們自己的心態。
