
[00:00:00.000 --> 00:00:03.040]  我們給掌聲今天的侍奉人員
[00:00:03.040 --> 00:00:06.880]  包括敬拜隊、詩詩隊、AV Team
[00:00:06.880 --> 00:00:09.880]  他們沒有他們的預備
[00:00:09.880 --> 00:00:13.120]  今天的崇拜真的會不知如何是好
[00:00:13.120 --> 00:00:14.760]  他們真的很努力
[00:00:14.760 --> 00:00:16.560]  他們八時便回來
[00:00:16.560 --> 00:00:18.560]  你們也很努力
[00:00:18.560 --> 00:00:21.560]  你們九時便回來
[00:00:21.560 --> 00:00:23.560]  也很欣賞你們
[00:00:23.560 --> 00:00:26.360]  你可否跟旁邊的人說
[00:00:26.360 --> 00:00:28.360]  我欣賞你
[00:00:28.360 --> 00:00:30.360]  也不容易的
[00:00:30.360 --> 00:00:32.360]  這樣便回來
[00:00:32.360 --> 00:00:36.360]  今天我講的題目是
[00:00:36.360 --> 00:00:39.360]  你是一個如何的存在
[00:00:39.360 --> 00:00:42.360]  我原本不是想這個題目
[00:00:42.360 --> 00:00:44.360]  原本是很老套的
[00:00:44.360 --> 00:00:46.360]  如何成為一個基督徒
[00:00:46.360 --> 00:00:47.360]  活出信仰
[00:00:47.360 --> 00:00:49.360]  這些老套的題目
[00:00:49.360 --> 00:00:52.360]  我想到因為我看韓劇
[00:00:52.360 --> 00:00:55.360]  基督徒也可以看韓劇
[00:00:55.360 --> 00:00:58.360]  女主角這樣形容自己
[00:00:58.360 --> 00:01:01.360]  她說自己是一個災難的存在
[00:01:01.360 --> 00:01:02.360]  為甚麼呢?
[00:01:02.360 --> 00:01:05.360]  因為她說她好像每天發生的事
[00:01:05.360 --> 00:01:07.360]  或她生命中發生的事
[00:01:07.360 --> 00:01:08.360]  都是災難
[00:01:08.360 --> 00:01:09.360]  有心惑
[00:01:09.360 --> 00:01:11.360]  甚至她覺得自己的出現就是災難
[00:01:11.360 --> 00:01:13.360]  因為很多時都有不幸的事
[00:01:13.360 --> 00:01:15.360]  在她的身上發生
[00:01:15.360 --> 00:01:19.360]  有時我們也會用周圍發生的事
[00:01:19.360 --> 00:01:21.360]  或我們見到的事
[00:01:21.360 --> 00:01:23.360]  去定義一個人是怎樣
[00:01:23.360 --> 00:01:24.360]  有時我們也會
[00:01:24.360 --> 00:01:27.360]  嘩!這個人怎麼搞事
[00:01:27.360 --> 00:01:29.360]  經常上學都會搗亂
[00:01:29.360 --> 00:01:31.360]  我們覺得這個人一定是同學
[00:01:31.360 --> 00:01:33.360]  搞事的存在
[00:01:33.360 --> 00:01:37.360]  我們也會用這些方式去定義一個人
