
[00:00:00.000 --> 00:00:04.960]  新外的天父,多謝祢從歲首到年終帶領我們
[00:00:04.960 --> 00:00:09.160]  今天是2022年最後的一天
[00:00:09.160 --> 00:00:12.320]  我們心靈裡面滿懷感恩
[00:00:12.320 --> 00:00:17.920]  因為過去的日子就是主祢的恩典與我們同行
[00:00:17.920 --> 00:00:22.120]  因著我們信靠祢,我們的信靠是沒有落空
[00:00:22.120 --> 00:00:26.640]  祢就是這樣扶持著我們,帶領我們走過了一年
[00:00:26.640 --> 00:00:28.920]  在今天我們來敬拜祢的時候
[00:00:28.920 --> 00:00:33.360]  願祢的話語繼續在我們心靈裡
[00:00:33.360 --> 00:00:37.360]  也求聖靈藉著祢的話語
[00:00:37.360 --> 00:00:41.040]  按照我們各人不同的情況
[00:00:41.040 --> 00:00:43.480]  對我們心靈來說話
[00:00:43.480 --> 00:00:46.760]  使我們得著祢的光照
[00:00:46.760 --> 00:00:50.520]  得著祢給我們的力量和新的方向
[00:00:50.520 --> 00:00:53.040]  我們將以下時間恭敬交托
[00:00:53.040 --> 00:00:56.120]  禱告奉靠耶穌基督的名求
[00:00:56.120 --> 00:00:59.120]  阿門
[00:00:59.840 --> 00:01:01.120]  弟兄姊妹好
[00:01:01.120 --> 00:01:04.080]  網上的弟兄姊妹你們好
[00:01:04.080 --> 00:01:10.960]  今天是2022年最後一天
[00:01:10.960 --> 00:01:17.280]  今天跟大家分享《費勒比書》四章十至十四節
[00:01:17.280 --> 00:01:21.120]  講題是知足常樂
[00:01:21.120 --> 00:01:26.920]  回顧2022年年頭一開始
[00:01:26.920 --> 00:01:28.720]  就是什麼呢?
[00:01:28.720 --> 00:01:30.720]  很深刻印象就是
[00:01:30.720 --> 00:01:33.080]  肺炎疫情的第五波
[00:01:33.080 --> 00:01:35.640]  洶湧而至
[00:01:35.640 --> 00:01:41.600]  教會所有團契的實體聚會再次被煞停
[00:01:41.600 --> 00:01:45.920]  大家都嚇得驚魂不定
[00:01:45.920 --> 00:01:48.680]  在年初的時候
[00:01:48.680 --> 00:01:51.680]  我就做了一個祈願
[00:01:51.680 --> 00:01:55.440]  就是無論晴天雨天
[00:01:55.440 --> 00:01:58.240]  我們同心與主同行
[00:01:58.240 --> 00:02:02.400]  在雨天裏面希望主恩足容
[00:02:02.400 --> 00:02:08.080]  晴天裏面希望主愛特盛
[00:02:08.080 --> 00:02:12.200]  接著今年三月份的疫情高峰
[00:02:12.200 --> 00:02:16.800]  電視新聞的畫面
[00:02:16.800 --> 00:02:18.960]  是慘不忍睹
[00:02:18.960 --> 00:02:23.000]  心裏面非常難過
[00:02:23.000 --> 00:02:29.280]  我聽到一位在護老院做藥劑的姑娘
[00:02:29.280 --> 00:02:32.600]  她也是主內的姊妹分享
[00:02:32.600 --> 00:02:35.680]  她說她經歷到前所未有的艱難
