
[00:00:00.000 --> 00:00:02.240]  先做個小小的問卷
[00:00:02.240 --> 00:00:08.120]  現在有兩個猜拳的事工在你面前
[00:00:08.120 --> 00:00:10.440]  第一個我跟你說
[00:00:10.440 --> 00:00:14.320]  有100%會成功的
[00:00:14.320 --> 00:00:16.600]  無論你做前線後線
[00:00:16.600 --> 00:00:18.200]  做什麼崗位
[00:00:18.200 --> 00:00:21.560]  都會收到100%的回應
[00:00:21.560 --> 00:00:22.560]  正面的
[00:00:22.560 --> 00:00:24.640]  第二個崗位
[00:00:24.640 --> 00:00:25.720]  我跟你說
[00:00:25.720 --> 00:00:28.120]  你未做之前或未回應之前
[00:00:28.120 --> 00:00:32.920]  這個事工一定失敗
[00:00:32.920 --> 00:00:34.920]  或者很艱難
[00:00:34.920 --> 00:00:38.120]  你做什麼都應該沒有回應
[00:00:38.120 --> 00:00:41.520]  我想問在座的頂姐妹
[00:00:41.520 --> 00:00:42.560]  不用給面子
[00:00:42.560 --> 00:00:44.240]  真心地回應
[00:00:44.240 --> 00:00:46.040]  也不要看旁邊的
[00:00:46.040 --> 00:00:50.040]  如果你會參與第一個事工的請舉手
[00:00:50.040 --> 00:00:55.920]  記不記得第一個是什麼
[00:00:55.920 --> 00:00:57.520]  100%成功
[00:00:57.520 --> 00:00:58.920]  這麼少
[00:00:58.920 --> 00:01:03.920]  第二個就是你做什麼都沒有效果
[00:01:03.920 --> 00:01:06.920]  你未做之前都一定會失敗
[00:01:06.920 --> 00:01:08.920]  如果你會做這個請舉手
[00:01:08.920 --> 00:01:11.440]  多謝你們
[00:01:11.440 --> 00:01:12.840]  你們很勇敢
[00:01:12.840 --> 00:01:16.120]  果然是出類拔萃
[00:01:16.120 --> 00:01:17.840]  我想說
[00:01:17.840 --> 00:01:18.720]  如果是我
[00:01:18.720 --> 00:01:21.640]  我自己也義無反顧地去做第一個
[00:01:21.640 --> 00:01:24.280]  所以你們真是好勇
[00:01:25.320 --> 00:01:28.160]  但這個傾向
[00:01:28.160 --> 00:01:30.640]  也告訴我自己
[00:01:30.640 --> 00:01:33.920]  人其實都偏向做一些容易做
[00:01:33.920 --> 00:01:37.320]  而且會看到成果的工作
[00:01:37.320 --> 00:01:39.520]  一開始都知道沒有果效
[00:01:39.520 --> 00:01:42.720]  你還投資時間和心力做什麼
[00:01:42.720 --> 00:01:44.720]  多數都是吃白果
[00:01:44.720 --> 00:01:46.320]  不過我相信
[00:01:46.320 --> 00:01:48.920]  都有一些喜歡挑戰難度的信徒
[00:01:48.920 --> 00:01:50.120]  就好像在座的你們
[00:01:50.120 --> 00:01:52.320]  不過我看到很多人不舉手
[00:01:52.320 --> 00:01:54.720]  是什麼意思
[00:01:54.720 --> 00:01:56.720]  什麼態度
[00:01:56.720 --> 00:01:57.720]  是不是
[00:01:57.720 --> 00:01:59.520]  「嗯,猜拳不關我事」
[00:01:59.520 --> 00:02:01.520]  「你去吧,猜拳暴動工」
[00:02:01.520 --> 00:02:02.720]  是不是這樣
[00:02:02.720 --> 00:02:04.120]  應該是這樣吧
[00:02:04.120 --> 00:02:08.120]  我多數看到這種狀況
[00:02:08.120 --> 00:02:12.520]  所以為什麼猜拳主日要來分享訊息
[00:02:12.520 --> 00:02:15.520]  就是大家給予刺激
[00:02:15.520 --> 00:02:18.720]  所以不知道是否因為難度高
[00:02:18.720 --> 00:02:21.120]  和不容易看到成果
[00:02:21.120 --> 00:02:23.120]  所以在教會裡
[00:02:23.120 --> 00:02:27.120]  做猜拳的人通常都是佔少數
[00:02:27.120 --> 00:02:28.320]  極少數
[00:02:28.320 --> 00:02:31.120]  以我們幾千人的教會
[00:02:31.120 --> 00:02:33.320]  祈禱會通常有多少人
[00:02:33.320 --> 00:02:34.920]  50個以下
[00:02:34.920 --> 00:02:38.120]  現在我們猜拳部支持的
[00:02:38.120 --> 00:02:40.120]  多少位宣教士
[00:02:40.120 --> 00:02:41.920]  20個都沒有
[00:02:41.920 --> 00:02:43.320]  所以你們想想
[00:02:43.320 --> 00:02:45.320]  幾千人教會
[00:02:45.320 --> 00:02:48.120]  上一年我的團契
[00:02:48.120 --> 00:02:50.120]  我定了一個目標給自己
[00:02:50.120 --> 00:02:53.120]  就是「從嚴猜關使命」
[00:02:53.120 --> 00:02:55.120]  不過很可惜失敗了
[00:02:55.120 --> 00:03:00.120]  我定了時間在每一個月
[00:03:00.120 --> 00:03:02.120]  的第一個星期
[00:03:02.120 --> 00:03:03.120]  叫弟兄姊妹
[00:03:03.120 --> 00:03:06.120]  回來我們一起為宣教的事祈禱
[00:03:06.120 --> 00:03:08.120]  只是祈禱
[00:03:08.120 --> 00:03:13.120]  每次只有我和另一個肢體
[00:03:13.120 --> 00:03:15.120]  全勤出席
[00:03:15.120 --> 00:03:19.120]  偶爾都會多一兩個參與
[00:03:19.120 --> 00:03:23.120]  另外我上年推動的三個短宣裡
[00:03:23.120 --> 00:03:25.120]  只有一個肯成團
[00:03:25.120 --> 00:03:27.120]  那個也沒什麼事做
[00:03:27.120 --> 00:03:30.120]  去探索 去玩耍
[00:03:30.120 --> 00:03:33.120]  才容易推動到
[00:03:33.120 --> 00:03:37.120]  所以這些情況
[00:03:37.120 --> 00:03:42.120]  令我很熱情去推動宣教的人
[00:03:42.120 --> 00:03:45.120]  遇上一些障礙
[00:03:45.120 --> 00:03:46.120]  所以老實跟你說
[00:03:46.120 --> 00:03:50.120]  其實我在寫這個講章之前
[00:03:50.120 --> 00:03:51.120]  其實我在想
[00:03:51.120 --> 00:03:53.120]  不如放棄吧
[00:03:53.120 --> 00:03:54.120]  不要做了
[00:03:54.120 --> 00:03:55.120]  浪費力氣了
[00:03:55.120 --> 00:03:56.120]  為了什麼呢
[00:03:56.120 --> 00:03:58.120]  我真的這樣跟自己說
[00:03:58.120 --> 00:04:01.120]  不過我又想起神
[00:04:01.120 --> 00:04:03.120]  放在我心裡的感動
[00:04:03.120 --> 00:04:05.120]  經常在滾動著我
