
[00:00:00.000 --> 00:00:02.000]  我們講道之先 一起低頭祈禱
[00:00:02.000 --> 00:00:05.340]  慈悲的天父 我們感恩
[00:00:05.340 --> 00:00:09.840]  祢讓我們在雨天裏仍然能夠敬拜主祢自己
[00:00:09.840 --> 00:00:13.540]  主我們都將今早要講的信息交上
[00:00:13.540 --> 00:00:17.740]  求主祢用祢自己的話語打開我們的心
[00:00:17.740 --> 00:00:22.220]  讓我們能夠可以離開我們的愚昧
[00:00:22.220 --> 00:00:26.540]  進到從主祢自己話語而來的智慧
[00:00:26.540 --> 00:00:30.560]  祢只是靈在我們當中來教導提醒
[00:00:30.560 --> 00:00:33.440]  祈禱奉耶穌基督得勝的名球
[00:00:33.440 --> 00:00:35.440]  阿們
[00:00:35.440 --> 00:00:39.440]  我想問有多少人是未做過快速測試的
[00:00:39.440 --> 00:00:41.440]  可不可以舉手
[00:00:41.440 --> 00:00:43.440]  沒有 有一個
[00:00:43.440 --> 00:00:49.440]  那你就是唯一一個沒有兩條線的了
[00:00:49.440 --> 00:00:56.440]  今天想跟大家做一個愚昧人的快速測試
[00:00:56.440 --> 00:01:00.440]  我不知道你記不記得你第一次兩條線的時候
[00:01:00.440 --> 00:01:02.440]  你的反應是怎樣
[00:01:02.440 --> 00:01:05.440]  我記得最開始的時候我們每個人都很害怕
[00:01:05.440 --> 00:01:10.440]  究竟要上報還是要隔離
[00:01:10.440 --> 00:01:15.440]  其實最重要是找藥物來幫助我們
[00:01:15.440 --> 00:01:19.440]  愚昧人的測試是有三方面的
[00:01:19.440 --> 00:01:23.440]  第一個測試就是驕傲
[00:01:23.440 --> 00:01:27.440]  你是驕傲至此還是敬畏神呢
[00:01:27.440 --> 00:01:31.440]  第二個測試就是你是很容易發怒
[00:01:31.440 --> 00:01:34.440]  還是能夠忍受羞辱呢
[00:01:34.440 --> 00:01:37.440]  第三個測試就是你不聽別人說
[00:01:37.440 --> 00:01:39.440]  不聽別人教導
[00:01:39.440 --> 00:01:42.440]  還是喜歡尋求知識呢
[00:01:42.440 --> 00:01:46.440]  我不知道你快速測試的結果是怎樣
[00:01:46.440 --> 00:01:49.440]  不過如果你三條線都不要緊的
[00:01:49.440 --> 00:01:53.440]  腐朽化神奇只有一個方法
[00:01:53.440 --> 00:01:56.440]  就是神的話語
[00:01:56.440 --> 00:02:00.440]  我們的起步點就是愚昧人的定義
[00:02:00.440 --> 00:02:03.440]  我嘗試在《針研》裏面找一節經文
[00:02:03.440 --> 00:02:07.440]  可不可以找到一節經文幫我定義什麼是愚昧人呢
[00:02:07.440 --> 00:02:10.440]  我發覺原來《針研》裏面說的愚昧人
[00:02:10.440 --> 00:02:13.440]  大部分時間是描述性的
[00:02:13.440 --> 00:02:16.440]  不過很辛苦我找到兩節經文
[00:02:16.440 --> 00:02:21.440]  因為這兩節經文不是描述愚昧人做的事
[00:02:21.440 --> 00:02:24.440]  而是描述愚昧人的本質
[00:02:24.440 --> 00:02:28.440]  第一節就是《針研》二十六章十一節
[00:02:28.440 --> 00:02:32.440]  整個《針研》二十六章就是愚昧篇
[00:02:32.440 --> 00:02:36.440]  所以如果你想做一個深層測試
[00:02:36.440 --> 00:02:39.440]  就要讀第二十六章
[00:02:39.440 --> 00:02:43.440]  愚昧人一再重複他的願望
[00:02:43.440 --> 00:02:46.440]  好像是糾轉過來,吃自己所吐出的
[00:02:46.440 --> 00:02:49.440]  即是說他重複又重複
[00:02:49.440 --> 00:02:53.440]  從來都不在他的錯誤裏面學習
[00:02:53.440 --> 00:02:55.440]  我讀這二十六章很奇怪
[00:02:55.440 --> 00:02:57.440]  怎麼會重複又重複
[00:02:57.440 --> 00:03:04.440]  我們最蠢的人都不會撞一次板又再撞板
[00:03:04.440 --> 00:03:06.440]  是不是有點奇怪呢
[00:03:06.440 --> 00:03:08.440]  第二節是輔助經文
[00:03:08.440 --> 00:03:10.440]  一章二十二節,一章是說什麼呢
[00:03:10.440 --> 00:03:13.440]  一章是智慧在街上呼喊
[00:03:13.440 --> 00:03:18.440]  叫愚昧人來得著智慧
[00:03:18.440 --> 00:03:22.440]  你們愚昧人喜愛愚昧
[00:03:22.440 --> 00:03:26.440]  為什麼會重複他的願望呢
