
[00:00:00.000 --> 00:00:05.000]  在我們講道之先,我們一起同心去禱告。
[00:00:05.000 --> 00:00:12.000]  七位天父,我們感謝你,讓我們可以一起來敬拜你。
[00:00:12.000 --> 00:00:17.000]  求主你打開我們的心,讓我們的心靈得到肅成,
[00:00:17.000 --> 00:00:22.000]  聆聽神理的話語,被神的話語提醒和幫助。
[00:00:22.000 --> 00:00:26.000]  奉主耶穌基督之名祈求,阿門。
[00:00:29.000 --> 00:00:33.000]  不知道大家有沒有試過追星?
[00:00:33.000 --> 00:00:41.000]  追星並不是這個年代才有的,其實每個年代都有的。
[00:00:41.000 --> 00:00:46.000]  好像五六十年代,不知道有沒有人追過方方和寶珠姐呢?
[00:00:46.000 --> 00:00:52.000]  有沒有這樣的朋友?沒有呀?
[00:00:52.000 --> 00:00:57.000]  七八十年代,大家有沒有追過譚詠麟和張國榮呢?
[00:00:58.000 --> 00:01:02.000]  有呀,暴露了大家年齡的秘密。
[00:01:02.000 --> 00:01:07.000]  再來,四大天王,大家還記不記得哪四個?
[00:01:07.000 --> 00:01:12.000]  誰記得?都差不多一年多了。
[00:01:12.000 --> 00:01:17.000]  到現在,有沒有人喜歡MIRROR的?
[00:01:17.000 --> 00:01:23.000]  聽過沒有?有照過的,OK。
[00:01:24.000 --> 00:01:30.000]  回憶都回來了。追星總會有瘋狂的粉絲,
[00:01:30.000 --> 00:01:33.000]  粉絲是什麼?粉絲不是吃得的那些,
[00:01:33.000 --> 00:01:38.000]  粉絲是一個英文的讀音,叫做Fans,
[00:01:38.000 --> 00:01:43.000]  翻譯出來叫做追星者,追星族。
[00:01:43.000 --> 00:01:48.000]  追星可以說是粉絲對偶像的崇拜,
[00:01:48.000 --> 00:01:53.000]  如果有些忠粉,忠忠誠的粉絲,
[00:01:53.000 --> 00:01:58.000]  他們會為了見偶像一面,通宵達旦,
[00:01:58.000 --> 00:02:03.000]  排隊等候,看他們的表演,買他們代言的產品,
[00:02:03.000 --> 00:02:10.000]  甚至會出錢幫他們辦生日,有沒有去過那個什麼灣?
[00:02:10.000 --> 00:02:17.000]  有呀,應該是。出錢出力,最重要是花心思。
[00:02:18.000 --> 00:02:25.000]  有些粉絲的心態是擔心一旦太投入就抽不到身,
[00:02:25.000 --> 00:02:32.000]  太認真就會傷身,最好點到跡子就不用怎麼犧牲。
[00:02:32.000 --> 00:02:40.000]  反觀我們今天的信仰,會不會也有些像粉絲一樣的心態?
[00:02:40.000 --> 00:02:45.000]  我們可能會出席所有的聚會崇拜,
