
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹早安
[00:00:02.000 --> 00:00:03.320]  早安
[00:00:03.320 --> 00:00:05.320]  我是Marcus,是一位台灣人
[00:00:05.320 --> 00:00:08.600]  很開心今天可以來到這裡跟大家分享聖的說話
[00:00:08.600 --> 00:00:15.000]  今天我的經文是提摩太后書第二章第一到第七節
[00:00:15.000 --> 00:00:17.000]  如果你有誠經的話可以打開
[00:00:17.000 --> 00:00:20.000]  或者你可以看我們的point point
[00:00:20.000 --> 00:00:26.600]  提摩太后書第二章第一到第七節
[00:00:26.600 --> 00:00:28.600]  請聽我讀聖的說話
[00:00:29.600 --> 00:00:30.600]  第一節
[00:00:30.600 --> 00:00:35.600]  我以你要在基督耶穌的恩典上攻強起來
[00:00:35.600 --> 00:00:39.600]  你在許多見證人面前聽見我所教導的
[00:00:39.600 --> 00:00:42.600]  也要交通那忠心義有能教導別人的人
[00:00:42.600 --> 00:00:47.600]  你要和我同受苦難做基督耶穌的徵兵
[00:00:47.600 --> 00:00:51.600]  凡東兵的不將不讓誓無殘生
[00:00:51.600 --> 00:00:54.600]  好使那諸他東兵的人喜悅
[00:00:54.600 --> 00:00:59.600]  運動員在比賽的時候不按規則就不能得冠冕
[00:00:59.600 --> 00:01:03.600]  勤勞的農夫你東先得糧食
[00:01:03.600 --> 00:01:05.600]  我所說的話你要考慮
[00:01:05.600 --> 00:01:09.600]  因為主迫在凡事上給你聰明
[00:01:09.600 --> 00:01:11.600]  我們有一個祈禱的時間
[00:01:11.600 --> 00:01:16.600]  參加我們很開心今天可以有聽你華語的機會
[00:01:16.600 --> 00:01:19.600]  希望你可以幫助我們在你的華語裡找到力量
[00:01:19.600 --> 00:01:22.600]  在這個疫情中可以堅持下去
[00:01:22.600 --> 00:01:24.600]  可以憑著純心去尋求你
[00:01:24.600 --> 00:01:26.600]  祝福我們以下的時間
[00:01:26.600 --> 00:01:28.600]  和主耶穌基督的名祈求
[00:01:28.600 --> 00:01:29.600]  阿們
[00:01:29.600 --> 00:01:30.600]  親愛的大兄姊妹
[00:01:30.600 --> 00:01:33.600]  在開始之前我想問大家一個問題
[00:01:33.600 --> 00:01:35.600]  幫助你去思考
[00:01:35.600 --> 00:01:36.600]  這個問題就是
[00:01:36.600 --> 00:01:42.600]  神的華語在我們生命中是否有最崇高的位置
[00:01:42.600 --> 00:01:44.600]  近來因為疫情的關係
[00:01:44.600 --> 00:01:46.600]  社會又再一次有很大的震動
[00:01:46.600 --> 00:01:49.600]  強減打亂了我們生活的步調
[00:01:49.600 --> 00:01:52.600]  現在菜價漲到兩倍之多
[00:01:52.600 --> 00:01:55.600]  甚至我們想剪下頭髮都不可以
[00:01:55.600 --> 00:01:59.600]  第五波的疫情再一次打破了我們新的常態
[00:01:59.600 --> 00:02:01.600]  疫情再一次打破了新的常態
[00:02:01.600 --> 00:02:05.600]  逼到我們再一次在網路上聚會
