
[00:00:00.000 --> 00:00:02.000]  感謝施班帶領我們
[00:00:02.000 --> 00:00:06.600]  透過施哥讓我們的焦點放在三一的真神身上
[00:00:06.600 --> 00:00:10.200]  崇拜就是三一真神的臨在
[00:00:10.200 --> 00:00:12.200]  好像先頭施哥所說
[00:00:12.200 --> 00:00:14.700]  神的名是極其尊貴
[00:00:14.700 --> 00:00:16.200]  我們要去讚美祂
[00:00:16.200 --> 00:00:20.400]  但同樣聖靈好像保衛師一樣引領我們
[00:00:20.400 --> 00:00:23.200]  而主耶穌基督就是那位道成肉身的主
[00:00:23.200 --> 00:00:24.900]  我不知道你回到崇拜當中
[00:00:24.900 --> 00:00:27.600]  你敢不敢受到神的同在
[00:00:27.600 --> 00:00:29.600]  三一真神的同在
[00:00:29.600 --> 00:00:31.600]  今天我們會繼續
[00:00:31.600 --> 00:00:35.200]  恩福崇拜的已忽所書講道系列
[00:00:35.200 --> 00:00:38.600]  今天我們會進到已忽所書的第四章
[00:00:38.600 --> 00:00:40.600]  還記得上個月
[00:00:40.600 --> 00:00:43.200]  加劇牧師為我們分享愛的轉角
[00:00:43.200 --> 00:00:47.200]  透過士徒保羅在三章十四至二十一節的禱告
[00:00:47.200 --> 00:00:51.200]  反思在身份、能力、情感和出身上的轉角
[00:00:51.200 --> 00:00:53.000]  已忽所書四章
[00:00:53.000 --> 00:00:56.000]  今天我們看的是整卷已忽所書一個分水嶺
[00:00:56.000 --> 00:00:57.600]  由第一章開始
[00:00:57.600 --> 00:01:01.000]  保羅是帶出神在基督裡面赐下赦免
[00:01:01.000 --> 00:01:03.000]  使人誠信的屬靈福氣
[00:01:03.000 --> 00:01:06.000]  使人活出榮耀三一真神的生命
[00:01:06.000 --> 00:01:10.000]  使生命定位歸於創造前後的永恆之中
[00:01:10.000 --> 00:01:14.200]  將信徒的視野提升到在救恩的層面裡面
[00:01:14.200 --> 00:01:19.000]  並且反思生命怎樣藉著三一的真神
[00:01:19.000 --> 00:01:21.400]  我們可以去榮耀主的名
[00:01:21.400 --> 00:01:22.200]  到了第三章
[00:01:22.200 --> 00:01:24.600]  保羅再將焦點放在永恆的父神
[00:01:24.600 --> 00:01:27.600]  肯定天父是掌管天上地下國家
[00:01:27.600 --> 00:01:30.200]  並且加力給我們德意剛強
[00:01:30.200 --> 00:01:35.000]  所以一至三章可以說是保羅一個神學反思
[00:01:35.000 --> 00:01:36.600]  而到了四至六章
[00:01:36.600 --> 00:01:37.800]  今天我們看第四章
[00:01:37.800 --> 00:01:39.400]  就是保羅教導信徒
[00:01:39.400 --> 00:01:41.600]  怎樣我們在行事為人
[00:01:41.600 --> 00:01:44.000]  能夠與基督的福音相稱
[00:01:44.000 --> 00:01:47.000]  當中今天我們讀到第四章經文
[00:01:47.000 --> 00:01:50.000]  更加是恩福堂的使命宣言
[00:01:50.000 --> 00:01:51.600]  大家知不知道是什麼?
[00:01:51.600 --> 00:01:53.800]  可能回得久一點會知道
[00:01:53.800 --> 00:01:54.800]  我們一起讀
[00:01:54.800 --> 00:02:02.600]  「盛傳聖徒,各盡奇蹟,立足香港,胸懷普世」
[00:02:02.600 --> 00:02:05.600]  你每一個進來禮堂
[00:02:05.600 --> 00:02:07.600]  你記得寫在哪裡?
[00:02:07.600 --> 00:02:09.800]  是呀!在那條柱子裡
[00:02:09.800 --> 00:02:12.600]  可能你走過一千幾百次
[00:02:12.600 --> 00:02:13.200]  你有沒有留意到
[00:02:13.200 --> 00:02:14.400]  待會你完崇拜之後
[00:02:14.400 --> 00:02:15.200]  你下去看看
[00:02:15.200 --> 00:02:18.600]  在入門口那條柱子寫著
[00:02:18.600 --> 00:02:20.400]  這是我們恩福堂的使命宣言
[00:02:20.400 --> 00:02:23.400]  「盛傳聖徒,各盡奇蹟,
[00:02:23.400 --> 00:02:26.400]  立足香港,胸懷普世」
[00:02:26.400 --> 00:02:28.400]  另外我們恩福堂的經訓是什麼呢?
[00:02:28.400 --> 00:02:29.400]  我們一起讀好不好?
[00:02:29.400 --> 00:02:33.400]  「他所賜的有使徒,有先知,
[00:02:33.400 --> 00:02:37.400]  有傳福音的有牧師和教師
[00:02:37.400 --> 00:02:43.400]  各盡奇蹟,建立基督的身體」
[00:02:43.400 --> 00:02:44.400]  沒錯了
[00:02:44.400 --> 00:02:46.400]  所以今天我們看到這份所書
[00:02:46.400 --> 00:02:51.400]  四章包括剛剛才讀的十一至十二字
[00:02:51.400 --> 00:02:52.400]  是一個很重要的教導
[00:02:52.400 --> 00:02:54.400]  但是我們往往會忽略了
[00:02:54.400 --> 00:02:56.400]  好像你每一天走過教會
[00:02:56.400 --> 00:02:57.400]  經過千百萬次
[00:02:57.400 --> 00:03:00.400]  「知而難行」
[00:03:00.400 --> 00:03:01.400]  頭腦上是認知的
[00:03:01.400 --> 00:03:02.400]  但是不知道為什麼
