
[00:00:00.000 --> 00:00:04.640]  弟兄姊妹,要再次向大家說聲晚安
[00:00:04.640 --> 00:00:08.000]  我們不知不覺已經到了教會的
[00:00:08.000 --> 00:00:11.640]  港道系列轉變中的盼望
[00:00:11.640 --> 00:00:16.240]  大家知不知道在《易西傑書》裡有多少張聖經?
[00:00:16.240 --> 00:00:21.480]  是十二的倍數
[00:00:21.480 --> 00:00:24.800]  是四十八張
[00:00:24.800 --> 00:00:30.400]  這四十八張聖經已經來到最後兩次港道
[00:00:30.400 --> 00:00:33.160]  今晚我們要思想的經文記載在
[00:00:33.160 --> 00:00:37.040]  《易西傑書》第38及39章
[00:00:37.040 --> 00:00:40.720]  港道是神對哥格的刑罰
[00:00:40.720 --> 00:00:47.800]  我們邀請姊妹為我們讀出一些經文
[00:00:47.800 --> 00:00:51.560]  先讀三十八章
[00:00:51.560 --> 00:00:59.040]  
[00:00:59.040 --> 00:01:05.960]  姊妹還讀三十八章的第一至第九節
[00:01:05.960 --> 00:01:08.760]  在PowerPoint上的上方
[00:01:08.760 --> 00:01:12.280]  可能要幫我轉一下PowerPoint下一章
[00:01:12.280 --> 00:01:19.080]  三十八章一至九節是姊妹讀的
[00:01:19.080 --> 00:01:24.160]  左上角有一個標誌是紫色的
[00:01:24.160 --> 00:01:25.840]  提示給你
[00:01:25.840 --> 00:01:30.720]  弟兄我鼓勵他們讀出十至十三節
[00:01:30.720 --> 00:01:35.520]  接著十四至十七節我們一起讀
[00:01:35.520 --> 00:01:36.680]  預備好了嗎?
[00:01:36.680 --> 00:01:38.040]  好
[00:01:38.040 --> 00:01:39.560]  預備起
[00:01:39.560 --> 00:01:42.600]  
[00:01:42.600 --> 00:01:43.680]  人子啊
[00:01:43.680 --> 00:01:47.120]  你要面向馬各地的哥格
[00:01:47.120 --> 00:01:50.680]  就是米切和土巴的大王
[00:01:50.680 --> 00:01:52.560]  向他說如言
[00:01:52.560 --> 00:01:56.080]  你要說主耶和華如此說
[00:01:56.080 --> 00:01:59.400]  米切和土巴的大王哥格
[00:01:59.400 --> 00:02:02.360]  看啊我與你為敵
[00:02:02.360 --> 00:02:03.800]  我要把你
[00:02:03.800 --> 00:02:05.080]  轉頭過來
[00:02:05.080 --> 00:02:08.360]  用鉤子鉤住你的腮下
[00:02:08.360 --> 00:02:10.480]  把你和你的軍兵
[00:02:10.480 --> 00:02:13.680]  馬匹騎兵都帶走
[00:02:13.680 --> 00:02:16.600]  他們全都披掛整齊
[00:02:16.600 --> 00:02:18.400]  成為大軍
[00:02:18.400 --> 00:02:20.760]  佩戴大小盾牌
[00:02:20.760 --> 00:02:22.880]  各人拿著刀劍
