
[00:00:00.000 --> 00:00:07.680]  大家好,很感恩我們精神奕奕地回到教會裡
[00:00:07.680 --> 00:00:12.600]  透過詩歌敬拜愛我們到底的主
[00:00:12.600 --> 00:00:17.320]  很感恩我們能夠聽神的話
[00:00:17.320 --> 00:00:21.720]  讓神的話塑造我們這個信仰群體
[00:00:21.720 --> 00:00:29.080]  今天我們要思考的主題是「延獻生命制」
[00:00:29.080 --> 00:00:34.480]  考考大家,看一看這幅圖片
[00:00:34.480 --> 00:00:38.600]  猜到這是什麼比賽嗎?
[00:00:38.600 --> 00:00:41.360]  是香港還是外地的?
[00:00:41.360 --> 00:00:42.360]  馬拉松
[00:00:42.360 --> 00:00:45.360]  是馬拉松,厲害了
[00:00:45.360 --> 00:00:51.240]  渣馬,對呀,是多少時的渣馬呢?
[00:00:51.240 --> 00:00:52.240]  97年
[00:00:52.240 --> 00:00:56.240]  對呀,97年
[00:00:56.240 --> 00:01:00.240]  1997年,距離現在已經是29年前了
[00:01:00.240 --> 00:01:03.720]  當年的渣馬就是這樣
[00:01:03.720 --> 00:01:07.240]  這是灣仔運動場
[00:01:07.240 --> 00:01:10.640]  原來農曆新年之後
[00:01:10.640 --> 00:01:15.560]  大概是1月下旬或2月上旬
[00:01:15.560 --> 00:01:18.200]  就會舉辦一件很有意思的事
[00:01:18.200 --> 00:01:19.280]  在香港裡
[00:01:19.280 --> 00:01:22.240]  而這個活動是由1997年開始
[00:01:22.240 --> 00:01:26.640]  至今已經舉辦了27屆
[00:01:26.640 --> 00:01:30.840]  當年第一屆是為了慶祝回歸
[00:01:30.840 --> 00:01:34.840]  是唯一一次跨境的馬拉松
[00:01:34.840 --> 00:01:38.840]  你看到途中有出境
[00:01:38.840 --> 00:01:41.640]  1997年前一晚
[00:01:41.640 --> 00:01:44.240]  即是1996年6月30日
[00:01:44.240 --> 00:01:48.840]  這個大會召集了1000名選手
[00:01:48.840 --> 00:01:51.240]  在灣仔運動場集合
[00:01:51.240 --> 00:01:57.240]  然後由組委會收集每一位跑手的回鄉證
[00:01:57.240 --> 00:02:00.240]  交給過境部門去認證
[00:02:00.240 --> 00:02:04.240]  然後每人獲派發一個牌
[00:02:04.240 --> 00:02:08.240]  經過海關的時候就很方便
[00:02:08.240 --> 00:02:11.240]  放下牌就過關
[00:02:11.240 --> 00:02:14.240]  香港渣打馬拉松
[00:02:14.240 --> 00:02:17.240]  自從1997年第一屆開辦
[00:02:17.240 --> 00:02:19.240]  就有1000人
[00:02:19.240 --> 00:02:21.240]  估計到今年第27屆
[00:02:21.240 --> 00:02:23.240]  2025年有多少人呢?
[00:02:23.240 --> 00:02:26.240]  有多少人呢?
[00:02:26.240 --> 00:02:27.240]  很多人了
[00:02:27.240 --> 00:02:28.240]  填滿了
[00:02:28.240 --> 00:02:30.240]  有74000人
[00:02:30.240 --> 00:02:35.240]  已經成為世界主要城市馬拉松賽事之一
[00:02:35.240 --> 00:02:37.240]  在2016年的時候
[00:02:37.240 --> 00:02:40.240]  還升格為馬拉松的金標賽事
[00:02:40.240 --> 00:02:42.240]  換句話說
[00:02:42.240 --> 00:02:45.240]  在過去的29年裡
[00:02:45.240 --> 00:02:47.240]  由第一屆的1000名跑手
[00:02:47.240 --> 00:02:51.240]  到今年有74000名跑手參加
[00:02:51.240 --> 00:02:54.240]  足足多了74倍
[00:02:54.240 --> 00:02:56.240]  參加過比賽的人
[00:02:56.240 --> 00:03:00.240]  問問在座有沒有人參加過跑步比賽?
[00:03:00.240 --> 00:03:01.240]  跑步
[00:03:01.240 --> 00:03:02.240]  很闊的
[00:03:02.240 --> 00:03:04.240]  1KM也叫跑步
[00:03:04.240 --> 00:03:05.240]  10KM也叫跑步
[00:03:05.240 --> 00:03:06.240]  半馬也叫跑步
[00:03:06.240 --> 00:03:08.240]  也很多
[00:03:08.240 --> 00:03:10.240]  參加過比賽的人
[00:03:10.240 --> 00:03:13.240]  都會知道要完成一個賽事
