
[00:00:00.000 --> 00:00:01.200]  我們先聽道指吧
[00:00:01.200 --> 00:00:03.700]  我們一起有個同心禱告吧
[00:00:04.700 --> 00:00:06.700]  慈悲人愛的天父上帝
[00:00:06.700 --> 00:00:07.700]  我們感謝祢
[00:00:07.700 --> 00:00:11.700]  帶領我們今天早上有平安的腳步回來
[00:00:11.700 --> 00:00:16.700]  但願我們都專注同神連繫
[00:00:16.700 --> 00:00:18.700]  讓聖靈光照我們
[00:00:18.700 --> 00:00:20.700]  對我們心靈講說話
[00:00:20.700 --> 00:00:21.700]  得著造就
[00:00:21.700 --> 00:00:25.700]  使得我們生命有新的領悟和轉化
[00:00:25.700 --> 00:00:27.700]  我們誠心仰望祢
[00:00:27.700 --> 00:00:29.700]  我們獻上祈禱
[00:00:29.700 --> 00:00:31.700]  奉耶穌基督的名求
[00:00:31.700 --> 00:00:33.700]  阿門
[00:00:33.700 --> 00:00:38.700]  我們一起讀今天
[00:00:38.700 --> 00:00:42.700]  我們會思想的兩段經文
[00:00:42.700 --> 00:00:47.700]  我們一起讀馬太福音四章一至四節
[00:00:47.700 --> 00:00:52.700]  當時耶穌被聖靈引到曠野
[00:00:52.700 --> 00:00:54.700]  受魔鬼的試探
[00:00:54.700 --> 00:00:57.700]  他禁食四十晝夜
[00:00:57.700 --> 00:00:59.700]  後來就餓了
[00:00:59.700 --> 00:01:03.700]  那試探者進前來對他說
[00:01:03.700 --> 00:01:05.700]  你若是神的兒子
[00:01:05.700 --> 00:01:08.700]  叫這些石頭變成食物吧
[00:01:08.700 --> 00:01:10.700]  耶穌卻回答說
[00:01:10.700 --> 00:01:12.700]  經上記著
[00:01:12.700 --> 00:01:15.700]  人活著不是單靠食物
[00:01:15.700 --> 00:01:20.700]  乃是靠神口裡所出的一切話
[00:01:20.700 --> 00:01:23.700]  另外在生命記八章三節
[00:01:23.700 --> 00:01:25.700]  我們一起讀
[00:01:25.700 --> 00:01:26.700]  他磨練你
[00:01:26.700 --> 00:01:29.700]  任你飢餓
[00:01:29.700 --> 00:01:34.700]  將你和你列祖所不認識的瑪拿賜給你吃
[00:01:34.700 --> 00:01:35.700]  使你知道
[00:01:35.700 --> 00:01:38.700]  人活著不是單靠食物
[00:01:38.700 --> 00:01:44.700]  乃是靠耶和華口裡所出的一切話
[00:01:44.700 --> 00:01:50.700]  中國人向來都有文以食為天的觀念
[00:01:50.700 --> 00:01:54.700]  所以對食很講究
[00:01:54.700 --> 00:01:59.700]  不同的省縣都有他們獨特的菜式
[00:01:59.700 --> 00:02:02.700]  林林種種各有特色
[00:02:02.700 --> 00:02:04.700]  不單止中國人
[00:02:04.700 --> 00:02:07.700]  世界各地各民族
[00:02:07.700 --> 00:02:10.700]  都有他們選擇的食材
[00:02:10.700 --> 00:02:13.700]  烹調的特色和方法
[00:02:13.700 --> 00:02:17.700]  都能夠製造出色香味俱全
[00:02:17.700 --> 00:02:20.700]  引人食指大動的食物
[00:02:20.700 --> 00:02:24.700]  如果我們有看電視
[00:02:24.700 --> 00:02:25.700]  你就會知道
[00:02:25.700 --> 00:02:28.700]  電視裡的飲食節目
[00:02:28.700 --> 00:02:31.700]  林林種種很多
[00:02:31.700 --> 00:02:36.700]  我們就知道人對食的那種趣味
[00:02:36.700 --> 00:02:37.700]  頂姊妹
[00:02:37.700 --> 00:02:40.700]  你喜歡講飲講食嗎
[00:02:40.700 --> 00:02:43.700]  有呀喜歡
[00:02:43.700 --> 00:02:47.700]  你喜歡吃什麼菜式呢
[00:02:47.700 --> 00:02:53.700]  可能有你自己的喜好
[00:02:53.700 --> 00:02:56.700]  也有些人說喜歡吃自助餐
[00:02:56.700 --> 00:02:57.700]  為什麼呢
[00:02:57.700 --> 00:03:01.700]  因為自助餐有各式各樣的美食
[00:03:01.700 --> 00:03:05.700]  有一次就可以大飽肚子
[00:03:05.700 --> 00:03:07.700]  什麼都吃完
[00:03:07.700 --> 00:03:09.700]  在疫情過後
[00:03:09.700 --> 00:03:14.700]  旅行社連帶飲食餐單的花款
[00:03:14.700 --> 00:03:17.700]  做宣傳招客
[00:03:17.700 --> 00:03:19.700]  吸引人去玩去食
[00:03:19.700 --> 00:03:22.700]  實行報復式旅遊
[00:03:22.700 --> 00:03:26.700]  食到參加者肚滿腸肥
[00:03:26.700 --> 00:03:28.700]  就好滿足
[00:03:28.700 --> 00:03:30.700]  我相信大家多多少少
[00:03:30.700 --> 00:03:34.700]  都有啟動去遊玩
[00:03:34.700 --> 00:03:37.700]  而且樂在其中
[00:03:37.700 --> 00:03:38.700]  在疫情過後
[00:03:38.700 --> 00:03:42.700]  你去過一次旅行請舉手
[00:03:42.700 --> 00:03:45.700]  去過一次外遊請舉手
[00:03:45.700 --> 00:03:47.700]  不算多
[00:03:47.700 --> 00:03:49.700]  疫情過後
[00:03:49.700 --> 00:03:53.700]  去過一次旅遊請舉手
[00:03:53.700 --> 00:03:55.700]  應該全部都舉手
