
[00:00:00.000 --> 00:00:03.280]  各位頂智妹、各位恩福堂的朋友
[00:00:03.280 --> 00:00:04.280]  晚安
[00:00:04.280 --> 00:00:08.440]  很開心聽見神媽敬拜隊
[00:00:08.440 --> 00:00:12.200]  Derek帶我們來到主的面前
[00:00:12.200 --> 00:00:15.200]  剛才唱到「主賜福你」
[00:00:15.200 --> 00:00:17.600]  很適合我們新年的時候
[00:00:17.600 --> 00:00:19.000]  很想大家對著大家唱
[00:00:19.000 --> 00:00:20.400]  真的很開心
[00:00:20.400 --> 00:00:21.640]  主賜福我們
[00:00:21.640 --> 00:00:24.680]  讓我們有不自動搖的信心
[00:00:24.680 --> 00:00:27.280]  在這個新星期、新年的時候
[00:00:27.280 --> 00:00:29.680]  我也代表教會預祝大家
[00:00:29.680 --> 00:00:31.400]  新年蒙神的大福
[00:00:31.400 --> 00:00:34.520]  不單在地上蒙神的保守
[00:00:34.520 --> 00:00:38.400]  更期望大家明白到天上神賜給大家
[00:00:38.400 --> 00:00:40.480]  各樣的屬靈的福氣
[00:00:40.480 --> 00:00:42.360]  在新的一年
[00:00:42.360 --> 00:00:45.080]  我很想我們大家也有新的思維
[00:00:45.080 --> 00:00:49.080]  我們也想快點擁抱馬年的來臨
[00:00:49.080 --> 00:00:51.000]  馬年對我也很有意義
[00:00:51.000 --> 00:00:53.320]  因為我其中一個兒子屬馬
[00:00:53.320 --> 00:00:55.240]  今年就廿四歲了
[00:00:55.240 --> 00:00:57.360]  也很快的一件事
[00:00:57.360 --> 00:00:58.720]  轉頭就廿四歲
[00:00:58.720 --> 00:01:00.720]  說起年輕人
[00:01:00.720 --> 00:01:02.440]  近年有機會
[00:01:02.440 --> 00:01:04.040]  最近有一個晚飯
[00:01:04.040 --> 00:01:08.040]  認識了一位叫做slash邪降的傳道人
[00:01:08.040 --> 00:01:10.200]  他一方面做傳道
[00:01:10.200 --> 00:01:11.520]  但另一方面
[00:01:11.520 --> 00:01:14.720]  開了兩間自己經營的公司
[00:01:14.720 --> 00:01:15.400]  我問過他
[00:01:15.400 --> 00:01:18.120]  他可以說出他的經歷
[00:01:18.120 --> 00:01:19.440]  我就問他
[00:01:19.440 --> 00:01:21.320]  為什麼你會選擇這樣做呢?
[00:01:21.320 --> 00:01:23.640]  這樣做有什麼困難、挑戰呢?
[00:01:23.640 --> 00:01:25.080]  原因是什麼呢?
[00:01:25.080 --> 00:01:27.720]  當然他說到裡面有很多挑戰
[00:01:27.720 --> 00:01:29.520]  一方面是要讓堂會接受
[00:01:29.520 --> 00:01:30.960]  另一方面他有自己的生意
[00:01:30.960 --> 00:01:31.680]  也很小心
[00:01:31.680 --> 00:01:32.760]  不會將生意
