
[00:00:00.000 --> 00:00:06.000]  感謝主,非常好,特別給點掌聲敬拜對他好不好?
[00:00:06.000 --> 00:00:10.000]  真的很好,其實你會聽的話,其實我不懂的,我知道怎樣的
[00:00:10.000 --> 00:00:15.000]  要練的,要練得很好才可以有一個這麼高質素的敬拜
[00:00:15.000 --> 00:00:18.000]  所以感謝給我們清澈部裡面的好特寫團隊一起參與服侍
[00:00:18.000 --> 00:00:21.000]  今天不是我講道,為什麼呢?
[00:00:21.000 --> 00:00:23.000]  今天我想介紹一個講者上來
[00:00:23.000 --> 00:00:30.000]  因為每年教會,全教會性都會定了每年的星期六、日的崇拜裡面
[00:00:30.000 --> 00:00:31.000]  有什麼主日,什麼主日
[00:00:31.000 --> 00:00:34.000]  如果你有印象的話,就知道了,有青少主日,全教會
[00:00:34.000 --> 00:00:39.000]  兒童主日,有差傳主日,有社關主日
[00:00:39.000 --> 00:00:41.000]  今天是個主日,知道什麼主日了?沒有人知道
[00:00:41.000 --> 00:00:44.000]  今天叫神學教育主日,為什麼呢?
[00:00:44.000 --> 00:00:47.000]  今天是全恩福,無論今天開始,今早早課開始
[00:00:47.000 --> 00:00:50.000]  到明天星期日的所有崇拜裡面
[00:00:50.000 --> 00:00:54.000]  很多講員都會講同一個方向,就是講關於神學教育的東西
[00:00:54.000 --> 00:00:57.000]  其實神學教育很重要,為什麼呢?你今天坐在那裡聽那些詩歌
[00:00:57.000 --> 00:01:01.000]  我作為一個牧師,我後面聽的時候,除了我的音剛剛之外
[00:01:01.000 --> 00:01:04.000]  我聽剛剛神學的很重要,所以神學很重要的
[00:01:04.000 --> 00:01:07.000]  今天找一個有份量的人來說,是不是?
[00:01:07.000 --> 00:01:12.000]  今天請了恩福聖經學院,恩福神學院,對不起,說錯這個名字,改變不了
[00:01:12.000 --> 00:01:16.000]  恩福神學院的一個老師,叫羅博士,其實他上年來過了,之前也來過
[00:01:16.000 --> 00:01:21.000]  我對他的印象最深,因為他去了日本做宣教
[00:01:21.000 --> 00:01:24.000]  整家日本做宣教,所以他的日文很厲害
[00:01:24.000 --> 00:01:27.000]  我知道中間的人很會說日文,Aster好像會說日文
[00:01:27.000 --> 00:01:30.000]  找人聊聊天,他的日文很厲害
[00:01:30.000 --> 00:01:33.000]  所以鼓勵大家,聽的時候聽一下
[00:01:33.000 --> 00:01:37.000]  他今天就講神學教育主日,就把時間交給神學院的羅博士,好不好?
[00:01:37.000 --> 00:01:40.000]  給點掌聲好不好?
[00:01:40.000 --> 00:01:46.000]  (掌聲)
[00:01:46.000 --> 00:01:49.000]  大英姐妹,平安
[00:01:49.000 --> 00:01:55.000]  很開心可以再來下午這一堂,跟大家來全港神的話語
[00:01:55.000 --> 00:01:59.000]  今天神學教育主日,預備了一個訊息
[00:01:59.000 --> 00:02:04.000]  信仰的人生很重要,有不同的人,有不同的信仰
