
[00:00:00.000 --> 00:00:03.320]  開始的時候想做個小統計
[00:00:03.320 --> 00:00:07.620]  不知道大家的幸福快樂指數是怎樣
[00:00:07.620 --> 00:00:11.460]  如果1至10分,10分是最快樂的
[00:00:11.460 --> 00:00:14.080]  你覺得自己是多少分呢?
[00:00:14.080 --> 00:00:16.460]  給大家3秒想想
[00:00:16.460 --> 00:00:21.200]  3、2、1
[00:00:21.200 --> 00:00:24.240]  如果1至3分可不可以舉手?
[00:00:24.240 --> 00:00:26.240]  1至3分
[00:00:26.240 --> 00:00:30.560]  都沒有什麼
[00:00:30.560 --> 00:00:34.320]  4至6分呢?可不可以舉手?
[00:00:34.320 --> 00:00:38.240]  4至6分有一點
[00:00:38.240 --> 00:00:41.040]  如果是7分或以上呢?
[00:00:41.040 --> 00:00:45.040]  嘩
[00:00:45.040 --> 00:00:49.040]  用我目測的計算
[00:00:49.040 --> 00:00:51.040]  應該是7分以上
[00:00:51.040 --> 00:00:54.040]  可能是8分左右
[00:00:54.040 --> 00:00:56.040]  為什麼這樣問呢?
[00:00:56.040 --> 00:00:59.040]  其實每年我教一針見血福音
[00:00:59.040 --> 00:01:03.040]  有一課都會看看今年的
[00:01:03.040 --> 00:01:08.040]  香港的幸福指數在聯合國是怎樣的
[00:01:08.040 --> 00:01:12.040]  聯合國有個機構每年都做這個調查
[00:01:12.040 --> 00:01:14.040]  叫做世界幸福報告
[00:01:14.040 --> 00:01:19.040]  整合了143個國家和地區的幸福指數
[00:01:19.040 --> 00:01:21.040]  就會公佈
[00:01:21.040 --> 00:01:25.040]  今年第一名是芬蘭
[00:01:25.040 --> 00:01:27.040]  有7.7分
[00:01:27.040 --> 00:01:31.040]  在這裡應該是高舉榜首
[00:01:31.040 --> 00:01:35.040]  大家這麼開心、幸福快樂
[00:01:35.040 --> 00:01:40.040]  但原來香港有5.31分
[00:01:40.040 --> 00:01:43.040]  我們是偏高的
[00:01:43.040 --> 00:01:45.040]  都很感恩
[00:01:45.040 --> 00:01:48.040]  原來它分開不同年齡層
[00:01:48.040 --> 00:01:54.040]  你猜猜哪個年齡層是最開心快樂呢?
[00:01:54.040 --> 00:01:56.040]  其實就是大家
[00:01:56.040 --> 00:01:59.040]  大家這個年齡層是最開心快樂的
[00:01:59.040 --> 00:02:02.040]  我們比起年輕人是幸福快樂
[00:02:02.040 --> 00:02:04.040]  在香港的平均
[00:02:04.040 --> 00:02:08.040]  原來不同地區、不同年齡層
[00:02:08.040 --> 00:02:13.040]  都有不同的幸福快樂的情況
[00:02:13.040 --> 00:02:16.040]  但其實我們有很多情況
[00:02:16.040 --> 00:02:19.040]  都會令我們不滿足、不快樂
[00:02:19.040 --> 00:02:22.040]  譬如物質上不夠
[00:02:22.040 --> 00:02:25.040]  譬如不夠吃、不夠住
[00:02:25.040 --> 00:02:27.040]  或者不夠錢
[00:02:27.040 --> 00:02:29.040]  都會令我們不滿足
[00:02:29.040 --> 00:02:31.040]  情感不滿足
[00:02:31.040 --> 00:02:35.040]  可能是沒有被關愛
[00:02:35.040 --> 00:02:36.040]  沒有人支持
[00:02:36.040 --> 00:02:38.040]  沒有人肯定和明白
[00:02:38.040 --> 00:02:41.040]  情感上都會不太滿足
[00:02:41.040 --> 00:02:43.040]  還有精神上
[00:02:43.040 --> 00:02:46.040]  譬如沒有人生目標
[00:02:46.040 --> 00:02:48.040]  人生好像感到沒有意義
