
[00:00:00.000 --> 00:00:05.000]  今天要宣講的題目是大召集
[00:00:05.000 --> 00:00:07.000]  在螢光幕上看到
[00:00:07.000 --> 00:00:10.000]  今天我們要正道的經文
[00:00:10.000 --> 00:00:13.000]  是在舊約的生命記
[00:00:13.000 --> 00:00:17.000]  31章9至13節
[00:00:17.000 --> 00:00:28.000]  在正道期間
[00:00:28.000 --> 00:00:32.000]  我會邀請大家一起讀出這段經文
[00:00:32.000 --> 00:00:35.000]  在開始之前
[00:00:35.000 --> 00:00:37.000]  我要請大家一起祈禱
[00:00:37.000 --> 00:00:43.000]  創造天地萬物
[00:00:43.000 --> 00:00:47.000]  賜我們生命氣息的全能天賦上帝
[00:00:47.000 --> 00:00:49.000]  我們感謝你
[00:00:49.000 --> 00:00:52.000]  多謝你賜下你的生命氣息
[00:00:52.000 --> 00:00:54.000]  給我們每一個人
[00:00:54.000 --> 00:00:59.000]  使我們能夠享受在地上神理所賜的一切
[00:00:59.000 --> 00:01:04.000]  也能夠今天奉你的名聚集在你的殿之中
[00:01:04.000 --> 00:01:06.000]  我們奉耶穌基督的名
[00:01:06.000 --> 00:01:08.000]  一切的聚集
[00:01:08.000 --> 00:01:12.000]  為要去高舉榮耀主祂的名
[00:01:12.000 --> 00:01:15.000]  並且去聽從祢的教導
[00:01:15.000 --> 00:01:18.000]  接受祢的安慰和鼓勵
[00:01:18.000 --> 00:01:22.000]  求神的靈在當中引導我們眾人
[00:01:22.000 --> 00:01:25.000]  能夠在這一刻
[00:01:25.000 --> 00:01:28.000]  將我們的心傳授於祢
[00:01:28.000 --> 00:01:30.000]  獻情給祢
[00:01:30.000 --> 00:01:32.000]  奉主耶穌基督的名禱告
[00:01:32.000 --> 00:01:34.000]  阿門
[00:01:34.000 --> 00:01:40.000]  不知道大家有沒有想過
[00:01:40.000 --> 00:01:43.000]  如果你要搬去一個新的地方的時候
[00:01:43.000 --> 00:01:46.000]  你會怎樣去準備呢?
[00:01:46.000 --> 00:01:50.000]  如果是一個人就簡單一點
[00:01:51.000 --> 00:01:53.000]  如果是一家人
[00:01:53.000 --> 00:01:57.000]  也有很多東西要準備
[00:01:57.000 --> 00:01:58.000]  將來的
[00:01:58.000 --> 00:02:00.000]  如果是整個群體
[00:02:00.000 --> 00:02:02.000]  如果我們在座的各位
[00:02:02.000 --> 00:02:04.000]  一起搬去一個地方
[00:02:04.000 --> 00:02:06.000]  你覺得要準備些什麼呢?
[00:02:06.000 --> 00:02:12.000]  今天我們經常說
[00:02:12.000 --> 00:02:15.000]  這個世界已經是一個地球村
[00:02:15.000 --> 00:02:18.000]  很多時候就算我們身處不同的地區
[00:02:18.000 --> 00:02:22.000]  其實我們都能夠很容易
[00:02:22.000 --> 00:02:24.000]  知道一些當地的生活文化
[00:02:24.000 --> 00:02:29.000]  包括天氣、風土人情等等
[00:02:29.000 --> 00:02:32.000]  最近很多人可能去旅行
[00:02:32.000 --> 00:02:35.000]  或者出國讀書
[00:02:35.000 --> 00:02:38.000]  或者移居外地
[00:02:38.000 --> 00:02:41.000]  很多時候他們可能都會上網
[00:02:41.000 --> 00:02:43.000]  或者問朋友、親戚
[00:02:43.000 --> 00:02:46.000]  究竟那些地方是怎樣的呢?
[00:02:46.000 --> 00:02:48.000]  現在很流行看YouTube
[00:02:48.000 --> 00:02:49.000]  你也會看看
[00:02:49.000 --> 00:02:51.000]  如果我要去那個地方旅遊
[00:02:51.000 --> 00:02:55.000]  我都會看看當地人最好玩的是什麼
[00:02:55.000 --> 00:03:00.000]  或者那裡有什麼特別便宜
[00:03:00.000 --> 00:03:02.000]  或者適合住的地方
[00:03:02.000 --> 00:03:06.000]  今天我們來看
[00:03:06.000 --> 00:03:09.000]  是不是單單一個人
[00:03:09.000 --> 00:03:10.000]  或者一家人
[00:03:10.000 --> 00:03:13.000]  去移居海外
[00:03:13.000 --> 00:03:14.000]  這麼簡單
[00:03:15.000 --> 00:03:17.000]  其實移民也不簡單
[00:03:17.000 --> 00:03:19.000]  我知道要很多準備的功夫
[00:03:19.000 --> 00:03:22.000]  今天我想和大家一起看
[00:03:22.000 --> 00:03:25.000]  一群以色列人
[00:03:25.000 --> 00:03:29.000]  他們即將要進入神所應許的迦南地
[00:03:29.000 --> 00:03:31.000]  展開他們的新生活
[00:03:31.000 --> 00:03:34.000]  以色列人面對的問題
[00:03:34.000 --> 00:03:37.000]  可能對我們來說很陌生
[00:03:37.000 --> 00:03:42.000]  當他們面對新生活的時候
[00:03:42.000 --> 00:03:44.000]  他們會怎麼做呢?
[00:03:44.000 --> 00:03:46.000]  會不會也像你和我一樣
[00:03:46.000 --> 00:03:48.000]  會祈禱
[00:03:48.000 --> 00:03:53.000]  期望神的引導和幫助
[00:03:53.000 --> 00:03:56.000]  事實上
[00:03:56.000 --> 00:03:58.000]  這群以色列人
[00:03:58.000 --> 00:04:01.000]  即將進入應許之地的時候
[00:04:01.000 --> 00:04:03.000]  在當中
