
[00:00:00.000 --> 00:00:04.800]  今天我先開始
[00:00:04.800 --> 00:00:06.800]  希望可以引起大家
[00:00:06.800 --> 00:00:10.000]  回去真的去看
[00:00:10.000 --> 00:00:12.000]  無論是硬本的聖經
[00:00:12.000 --> 00:00:13.680]  或者是電子的聖經
[00:00:13.680 --> 00:00:16.160]  我自己是喜歡寫的
[00:00:16.160 --> 00:00:19.480]  將每天的得著寫下來
[00:00:19.480 --> 00:00:22.280]  然後看看神當中有沒有帶領
[00:00:22.280 --> 00:00:25.480]  不單止是在知識裡面學習
[00:00:25.480 --> 00:00:26.840]  更加在靈裡面
[00:00:26.840 --> 00:00:30.840]  對生命、對成為主門徒有一個反思
[00:00:30.840 --> 00:00:34.640]  今天就會看1-34節
[00:00:34.640 --> 00:00:37.240]  在過去的一個星期
[00:00:37.240 --> 00:00:38.440]  我們剛剛就感恩
[00:00:38.440 --> 00:00:40.240]  為了2025年感恩
[00:00:40.240 --> 00:00:43.120]  今天就很想去看看
[00:00:43.120 --> 00:00:45.440]  用一個教會節日的開始
[00:00:45.440 --> 00:00:48.440]  我們剛剛完成了張臨期的靈修
[00:00:48.440 --> 00:00:50.640]  然後聖誕報道會我們木居三
[00:00:50.640 --> 00:00:52.040]  也一起去擁抱
[00:00:52.040 --> 00:00:53.640]  一起去見證神
[00:00:53.640 --> 00:00:55.640]  然後我們很快轉眼間
[00:00:55.640 --> 00:00:57.640]  就要去到顯現期了
[00:00:57.640 --> 00:01:01.440]  顯現期可能對大家會比較陌生一點
[00:01:01.440 --> 00:01:03.840]  其實顯現期的意思就是告訴你
[00:01:03.840 --> 00:01:05.840]  主耶穌基督很願意
[00:01:05.840 --> 00:01:08.040]  顯現在這個世界上面
[00:01:08.040 --> 00:01:10.640]  以致我們能夠看到祂的工作
[00:01:10.640 --> 00:01:13.640]  也能夠在我們這個時代裡面
[00:01:13.640 --> 00:01:16.840]  透過我們對祂的認知
[00:01:16.840 --> 00:01:20.440]  去察覺神在我們當中的工作
[00:01:20.440 --> 00:01:23.640]  你看到顯現期的那個
[00:01:23.640 --> 00:01:25.440]  那個飛飛的那個
[00:01:25.440 --> 00:01:29.440]  其實就是比喻聖靈是白鴿的
[00:01:29.440 --> 00:01:32.240]  不過它有一個比較藝術一點的表達
[00:01:32.240 --> 00:01:35.040]  顯現期主要就是說
[00:01:35.040 --> 00:01:37.040]  主耶穌彰顯在世界上
[00:01:37.040 --> 00:01:38.840]  成為我們的光
[00:01:38.840 --> 00:01:42.040]  所以今天我第一點會說到生命之光
[00:01:42.040 --> 00:01:43.840]  然後將這個光
[00:01:43.840 --> 00:01:48.240]  去溫暖、去分享到世界每一個角落
[00:01:48.240 --> 00:01:50.840]  也特別去彰顯祂是 Messiah
[00:01:50.840 --> 00:01:52.840]  梅塞亞的身分
[00:01:53.440 --> 00:01:55.040]  在我們進入經文之前
[00:01:55.040 --> 00:01:57.440]  不如我們一起去禱告主
[00:01:57.440 --> 00:01:59.440]  求神去帶領
[00:01:59.440 --> 00:02:06.840]  「齊家父,好感謝祢」
[00:02:06.840 --> 00:02:12.640]  「首先祂再一次將榮耀、重讚都歸給祢」
[00:02:12.640 --> 00:02:16.240]  「主啊,多謝祢閱立我們剛才的敬拜」
[00:02:16.240 --> 00:02:19.040]  「願意我們在座每一位」
[00:02:19.040 --> 00:02:22.040]  「向祢心靈誠實的敬拜」
[00:02:22.040 --> 00:02:26.040]  「我們在當中向祢的對話」
[00:02:26.040 --> 00:02:28.040]  「我們向祢的立志」
[00:02:28.040 --> 00:02:31.440]  「向祢的禱告主,祢都聽到的時候」
[00:02:31.440 --> 00:02:34.440]  「我們再一次去感謝主耶穌基督」
[00:02:34.440 --> 00:02:39.240]  「在十字架上成為我們的代罪羔羊」
[00:02:39.240 --> 00:02:42.440]  「以致祢的補血去覆蓋洗淨」
[00:02:42.440 --> 00:02:45.440]  「我們這裡每一位凡相信祢的罪」
[00:02:45.440 --> 00:02:47.440]  「主啊,多謝祢愛世人」
[00:02:47.440 --> 00:02:50.440]  「願祢在當中透過祢今天的話語」
[00:02:50.440 --> 00:02:53.840]  「的釋放,求祢的靈去充滿我們」
[00:02:53.840 --> 00:02:55.840]  「讓我們去明白」
[00:02:55.840 --> 00:02:59.840]  「也讓這些話成為我們生命裡的反思」
[00:02:59.840 --> 00:03:01.440]  「以及轉化點」
[00:03:01.440 --> 00:03:03.840]  「以致我們的生命能夠更加像祢」
[00:03:03.840 --> 00:03:05.840]  「求祢親自跟我們結連」
[00:03:05.840 --> 00:03:07.440]  「跟我們說話,我們這樣禱告」
[00:03:07.440 --> 00:03:08.840]  「是服我們的主耶穌命求」
[00:03:08.840 --> 00:03:10.440]  「阿門,阿門」
[00:03:10.440 --> 00:03:12.840]  「願意我們一起讀」
[00:03:12.840 --> 00:03:15.840]  「《約翰福音》一章一節,預備請」
[00:03:15.840 --> 00:03:19.440]  「太初有道,道與神同在」
[00:03:19.440 --> 00:03:21.440]  「道就事神」
[00:03:21.440 --> 00:03:24.440]  很簡單,可能大家已經看了很多次
[00:03:24.440 --> 00:03:27.440]  也可能在不同的辯論中
[00:03:27.440 --> 00:03:30.440]  或者在主學中已經聽過很多次
[00:03:30.440 --> 00:03:31.440]  這三句
[00:03:31.440 --> 00:03:33.440]  今天因為要講道
[00:03:33.440 --> 00:03:38.440]  我就不打算進入那些很複雜的原文等等的討論
[00:03:38.440 --> 00:03:41.440]  直接講,三個宣告
[00:03:41.440 --> 00:03:45.440]  太初,就是這個世界的開始之前
[00:03:45.440 --> 00:03:48.440]  這個Arche,Origin之前
[00:03:48.440 --> 00:03:51.440]  已經有一個Pre-incarnate Word
[00:03:51.440 --> 00:03:53.440]  就是我們的主耶穌基督
[00:03:53.440 --> 00:03:55.440]  道就是聖子
[00:03:55.440 --> 00:03:58.440]  三一神的第二位格,主耶穌基督
[00:03:58.440 --> 00:04:01.440]  第二個宣告就是道與神同在
[00:04:01.440 --> 00:04:04.440]  意思就是我們的主耶穌基督
[00:04:04.440 --> 00:04:06.440]  就是跟父神同在
[00:04:06.440 --> 00:04:08.440]  他們天父是神
[00:04:08.440 --> 00:04:10.440]  聖子是神
[00:04:10.440 --> 00:04:11.440]  聖靈是神
[00:04:11.440 --> 00:04:13.440]  三而一的神
[00:04:13.440 --> 00:04:15.440]  他們是同等同榮同尊的
[00:04:15.440 --> 00:04:18.440]  這個就是三一神論裡面的核心
[00:04:18.440 --> 00:04:20.440]  然後第三個宣告
[00:04:20.440 --> 00:04:21.440]  聖子就是神
[00:04:21.440 --> 00:04:22.440]  主耶穌就是神
[00:04:22.440 --> 00:04:25.440]  祂是完全的神,完全的人
[00:04:25.440 --> 00:04:29.440]  這個就是第一個,第一節的宣告
[00:04:29.440 --> 00:04:32.440]  道,原文,就是The Bar
[00:04:32.440 --> 00:04:36.440]  The Bar的意思其實就是講神的全能
[00:04:36.440 --> 00:04:40.440]  祂的創造、啟示和救恩
[00:04:40.440 --> 00:04:44.440]  特別是說到祂說有就有這件事
[00:04:44.440 --> 00:04:47.440]  祂創造,不需要搭石頭
[00:04:47.440 --> 00:04:50.440]  我們搭屋子或裝修
[00:04:50.440 --> 00:04:51.440]  不需要這樣的
[00:04:51.440 --> 00:04:52.440]  祂說有就有
[00:04:52.440 --> 00:04:54.440]  是祂的權兵
[00:04:54.440 --> 00:04:57.440]  然後祂是很多很多
[00:04:57.440 --> 00:04:59.440]  我們說了很多次
[00:04:59.440 --> 00:05:00.440]  祂是我們的source
[00:05:00.440 --> 00:05:02.440]  主耶穌是我們的source
[00:05:02.440 --> 00:05:03.440]  是我們的originator
[00:05:03.440 --> 00:05:05.440]  是我們的始創者
[00:05:05.440 --> 00:05:09.440]  這裡就是概括了這三個宣告
[00:05:09.440 --> 00:05:13.440]  然後第二第三節就是一個延伸
[00:05:13.440 --> 00:05:15.440]  第二節繼續補充
[00:05:15.440 --> 00:05:18.440]  道,這道太初與神同在
[00:05:18.440 --> 00:05:21.440]  其實就是第一節的小小歸納
[00:05:21.440 --> 00:05:22.440]  然後第三節就說到
[00:05:22.440 --> 00:05:25.440]  萬物都是藉著他做的
[00:05:25.440 --> 00:05:28.440]  沒有一樣不是藉著他做的
[00:05:28.440 --> 00:05:30.440]  其實兩個的意思就是說
[00:05:30.440 --> 00:05:34.440]  全部被做的東西都是藉著主耶穌基督做
[00:05:34.440 --> 00:05:37.440]  祂就是一個agent of the creation
[00:05:37.440 --> 00:05:40.440]  我們是透過祂被造成的
[00:05:40.440 --> 00:05:42.440]  意思就是如果我們沒有了主耶穌基督
[00:05:42.440 --> 00:05:45.440]  我們今天基本上是不會存在
[00:05:45.440 --> 00:05:47.440]  而原文的希臘文是說到
