
[00:00:00.000 --> 00:00:08.000]  聖經裡面其實很多時候都會用跑步去比喻我們信徒的生命
[00:00:08.000 --> 00:00:09.200]  特別是保羅
[00:00:09.200 --> 00:00:15.560]  都會用跑步去比喻我們信徒的生命裡面
[00:00:15.560 --> 00:00:17.560]  怎麼走過這一段路
[00:00:17.560 --> 00:00:20.440]  不過很想這麼說
[00:00:20.440 --> 00:00:24.760]  其實如果信徒的生命是一條馬拉松的話
[00:00:24.760 --> 00:00:31.000]  那麼信心就會是我們信徒跑馬拉松的能量
[00:00:31.000 --> 00:00:33.000]  不過我這麼說
[00:00:33.000 --> 00:00:35.000]  其實我們怎麼可以
[00:00:35.000 --> 00:00:38.400]  你們跑馬拉松會不會練習的
[00:00:38.400 --> 00:00:39.560]  會不會練習的
[00:00:39.560 --> 00:00:40.800]  都有吧
[00:00:40.800 --> 00:00:43.720]  起碼一開始不會跑40K
[00:00:43.720 --> 00:00:46.320]  可能由5K、10K、15K
[00:00:46.320 --> 00:00:47.680]  然後慢慢累積上去
[00:00:47.680 --> 00:00:50.640]  其實都好像我們信徒的生命
[00:00:50.640 --> 00:00:54.080]  其實信心都不是一磅就有
[00:00:54.080 --> 00:00:56.080]  當然有些人會有
[00:00:56.080 --> 00:00:58.080]  很感恩他們一磅就有
[00:00:58.080 --> 00:01:01.600]  不過信心在我們信徒的生命裡面
[00:01:01.600 --> 00:01:03.600]  都是要慢慢去累積
[00:01:03.600 --> 00:01:05.040]  都要慢慢去操練
[00:01:05.040 --> 00:01:08.600]  不過今天我不是說保羅的經文
[00:01:08.600 --> 00:01:10.600]  今天是說馬太福音
[00:01:10.600 --> 00:01:16.200]  不過福音書其實都會有一個很關鍵的位置
[00:01:16.200 --> 00:01:21.160]  就是耶穌基督怎麼去教導門徒在地上高生活
[00:01:21.160 --> 00:01:24.480]  我們生命的轉化其實在福音書裡面
[00:01:24.480 --> 00:01:26.480]  其實對一群門徒來說
[00:01:26.480 --> 00:01:28.480]  都是很重要的信息
[00:01:28.480 --> 00:01:32.360]  我在經文之前也說一下背景
[00:01:32.360 --> 00:01:36.960]  馬太福音其實是由一個馬太的十二使徒
[00:01:36.960 --> 00:01:38.480]  就是跟著耶穌的十二使徒
[00:01:38.480 --> 00:01:40.480]  其中之一去寫的
[00:01:40.480 --> 00:01:43.080]  裡面最重要的重點
[00:01:43.080 --> 00:01:45.080]  其實都是在說
[00:01:45.080 --> 00:01:48.640]  耶穌基督就是舊約所預言的尼徐
[00:01:48.640 --> 00:01:52.440]  這些全部都是馬太福音書裡面的重點
[00:01:52.440 --> 00:01:54.440]  這些是無可否認的
[00:01:54.440 --> 00:01:56.040]  不過剛才也說了
[00:01:56.040 --> 00:02:00.440]  福音書也不只是說耶穌基督的生平這麼簡單
[00:02:00.440 --> 00:02:03.240]  他還要給我們作為信徒的身份
[00:02:03.240 --> 00:02:05.640]  我們如何在日常生活裡面
[00:02:05.640 --> 00:02:10.440]  我們如何持著信徒的態度去生活
[00:02:10.440 --> 00:02:13.640]  甚至我對於信徒的生命成長
[00:02:13.640 --> 00:02:15.640]  甚至生命的轉化
[00:02:15.640 --> 00:02:19.640]  是非常重要的提點
[00:02:19.640 --> 00:02:21.640]  大家也記得吧
[00:02:21.640 --> 00:02:23.640]  有八福
[00:02:23.640 --> 00:02:25.640]  耶穌基督親自教門徒
[00:02:25.640 --> 00:02:30.640]  如何作為地上高生活的信徒的態度
[00:02:30.640 --> 00:02:32.640]  這些都不可缺少的
[00:02:32.640 --> 00:02:35.640]  不過我們今天要看的段落
[00:02:35.640 --> 00:02:37.640]  其實大家應該也會看過的
[00:02:37.640 --> 00:02:39.640]  不過我們再去重溫一次
[00:02:39.640 --> 00:02:41.640]  我們今天會看的經文就是
[00:02:41.640 --> 00:02:45.440]  馬太福音第十四章裡面的一個片段
[00:02:45.440 --> 00:02:48.440]  我們一起去讀經文吧
[00:02:48.440 --> 00:02:54.240]  這篇經文是講述耶穌在加利利海上的門徒的事蹟
[00:02:54.240 --> 00:02:56.240]  大家應該也聽過了
[00:02:56.240 --> 00:02:59.240]  叫做耶穌水上行
[00:02:59.240 --> 00:03:03.240]  甚至乎有些人再誇什麼耶穌水上飄
[00:03:03.240 --> 00:03:05.240]  有沒有聽過
[00:03:05.240 --> 00:03:08.240]  不過在這段聖經之前
[00:03:08.240 --> 00:03:15.240]  耶穌已經在沿路一帶行過很多的事蹟
[00:03:15.240 --> 00:03:17.240]  不過在這段經文對上
[00:03:17.240 --> 00:03:21.240]  其實就是剛剛發生了五餅二魚的事蹟
[00:03:21.240 --> 00:03:23.240]  在五餅二魚的事蹟之後
[00:03:23.240 --> 00:03:27.240]  耶穌基督就要求那些門徒立即上船
[00:03:27.240 --> 00:03:31.240]  去加利利海的另一邊繼續去服侍
[00:03:31.240 --> 00:03:32.240]  經文這樣說
[00:03:32.240 --> 00:03:34.240]  到了晚上的時候
[00:03:34.240 --> 00:03:38.240]  門徒所坐的船離岸已經很遠了
[00:03:38.240 --> 00:03:42.240]  哇!加利利海上出現了一場風暴
[00:03:42.240 --> 00:03:44.240]  好像很熟悉
[00:03:44.240 --> 00:03:45.240]  為什麼呢?
[00:03:45.240 --> 00:03:46.240]  其實這一段經文
[00:03:46.240 --> 00:03:47.240]  大家記住了
[00:03:47.240 --> 00:03:48.240]  現在是第十四章
[00:03:48.240 --> 00:03:50.240]  其實在第八章的時候
[00:03:50.240 --> 00:03:53.240]  已經出現過在加利利海遇上風暴的故事
[00:03:53.240 --> 00:03:56.240]  不過這次的經文又不同了
[00:03:56.240 --> 00:03:58.240]  因為耶穌不在船上
[00:03:58.240 --> 00:04:00.240]  只有門徒在船上
[00:04:00.240 --> 00:04:06.240]  那艘船一直向著加利利湖的北面出發
[00:04:06.240 --> 00:04:11.240]  不過正正遇上了一場突如其來的風暴
[00:04:11.240 --> 00:04:14.240]  門徒的船搖得不得了
[00:04:14.240 --> 00:04:18.240]  甚至差不多要翻船了
[00:04:18.240 --> 00:04:21.240]  這段經文其實好像剛才也說了
[00:04:21.240 --> 00:04:24.240]  第八章也出現過平靜風浪的故事
[00:04:24.240 --> 00:04:29.240]  不過我們今天要看的經文有一點點不同
[00:04:29.240 --> 00:04:32.240]  我們再下去看看發生什麼事
