
[00:00:00.000 --> 00:00:03.200]  好,謝謝勁快女帶領我們有詩歌
[00:00:03.200 --> 00:00:04.400]  讓我們體會
[00:00:04.400 --> 00:00:06.400]  我們每個星期回來當中
[00:00:06.400 --> 00:00:08.000]  不是因為你行上
[00:00:08.000 --> 00:00:09.700]  從小到大回來那麼簡單
[00:00:09.700 --> 00:00:12.100]  而是因為知道有一位愛我們的上帝
[00:00:12.100 --> 00:00:13.400]  我們回來聽聽
[00:00:13.400 --> 00:00:16.800]  上帝對我們的生命有什麼說話要我們學習
[00:00:16.800 --> 00:00:19.800]  那麼今天先在講道
[00:00:19.800 --> 00:00:21.000]  想問大家一個問題
[00:00:21.000 --> 00:00:22.900]  也打在這個PowerPoint上
[00:00:22.900 --> 00:00:23.900]  問題就是說
[00:00:23.900 --> 00:00:26.300]  人肉眼看不見的東西
[00:00:26.300 --> 00:00:28.300]  是不是就是不存在的呢?
[00:00:28.300 --> 00:00:32.100]  不知道你們對於這個問題的答案是什麼
[00:00:32.100 --> 00:00:33.900]  其實在十二樓這個地方
[00:00:33.900 --> 00:00:36.000]  也有些東西是你看不見的
[00:00:36.000 --> 00:00:37.500]  但是它是存在的
[00:00:37.500 --> 00:00:39.000]  大家猜猜是什麼呢?
[00:00:39.000 --> 00:00:41.400]  冷氣嗎?
[00:00:41.400 --> 00:00:43.000]  微細菌?
[00:00:43.000 --> 00:00:44.300]  OK,我看到有人戴口罩
[00:00:44.300 --> 00:00:46.600]  希望不是病毒
[00:00:46.600 --> 00:00:48.400]  還有就是
[00:00:48.400 --> 00:00:50.000]  你看到電嗎?
[00:00:50.000 --> 00:00:51.200]  看不到電
[00:00:51.200 --> 00:00:52.000]  但是你看到
[00:00:52.000 --> 00:00:53.000]  Projector開了
[00:00:53.000 --> 00:00:53.800]  燈開了
[00:00:53.800 --> 00:00:55.600]  你知道有電在這裡
[00:00:55.600 --> 00:00:57.000]  還有什麼呢?
[00:00:57.600 --> 00:00:58.500]  空氣
[00:00:58.500 --> 00:00:59.700]  剛剛有人說
[00:00:59.700 --> 00:01:00.800]  還有就是愛
[00:01:00.800 --> 00:01:03.300]  你看到我們在十二樓有愛嗎?
[00:01:03.300 --> 00:01:04.700]  有人看不到
[00:01:04.700 --> 00:01:05.700]  我想告訴你
[00:01:05.700 --> 00:01:07.100]  你身邊的導師
[00:01:07.100 --> 00:01:08.800]  其實今天是他們休息的
[00:01:08.800 --> 00:01:11.700]  他們今天回來陪你們崇拜
[00:01:11.700 --> 00:01:12.500]  小組的時間
[00:01:12.500 --> 00:01:15.900]  其實他們也是在展現他們對你們的愛
[00:01:15.900 --> 00:01:17.000]  拍望你們也
[00:01:17.000 --> 00:01:19.600]  原來我們有些東西好像肉眼看不見
[00:01:19.600 --> 00:01:22.400]  但是其實它是實實在在的存在的
[00:01:22.400 --> 00:01:25.400]  那麼今天我們也有講到
[00:01:25.400 --> 00:01:29.000]  我們現在青少部會每兩個月有一個主題
[00:01:29.000 --> 00:01:31.400]  那麼這兩個月的主題是什麼呢?
[00:01:31.400 --> 00:01:32.300]  不知道大家有沒有印象
[00:01:32.300 --> 00:01:34.000]  是關於信心的
[00:01:34.000 --> 00:01:35.300]  我們講很多關於信心的
[00:01:35.300 --> 00:01:36.400]  那麼今天也跟大家
[00:01:36.400 --> 00:01:38.500]  今天是最後一個星期講信心了
[00:01:38.500 --> 00:01:41.300]  那麼原來信心我們平時講的時候
[00:01:41.300 --> 00:01:42.700]  都會覺得好像有點虛
[00:01:42.700 --> 00:01:44.900]  或者好像怎樣知道
[00:01:44.900 --> 00:01:47.400]  原來今天很想透過一段經文
[00:01:47.400 --> 00:01:48.600]  讓我們去體會
[00:01:48.600 --> 00:01:50.300]  原來我們對上帝的信
[00:01:50.300 --> 00:01:52.900]  或者我們的信仰是能夠看得見的
[00:01:53.500 --> 00:01:56.700]  那麼今天我們會看的經文是叫做
[00:01:56.700 --> 00:02:00.000]  是《馬達福音》七章二十四到二十九節
[00:02:00.000 --> 00:02:02.900]  那麼我們一起去讀一下經文好不好?
[00:02:02.900 --> 00:02:05.600]  先講一點背景
[00:02:05.600 --> 00:02:06.300]  不好意思
[00:02:06.300 --> 00:02:09.400]  那麼今天的背景是講《馬達福音》的七章
[00:02:09.400 --> 00:02:10.900]  那麼其實五至七章
[00:02:10.900 --> 00:02:13.400]  都是被稱為一個叫登山補分的
[00:02:13.400 --> 00:02:17.400]  如果英文就是在講耶穌在山上的一個港島
[00:02:17.400 --> 00:02:19.000]  那麼這個港島裡面
[00:02:19.000 --> 00:02:22.000]  講了很多關於天國這個福音是什麼
[00:02:22.000 --> 00:02:25.800]  還有作為天國子民應有的一些生命品格
[00:02:25.800 --> 00:02:29.900]  那麼裡面有很多你們可能都會聽過的教導或者經文
[00:02:29.900 --> 00:02:33.400]  例如就說我們有一群信徒要成為世上的炎
[00:02:33.400 --> 00:02:34.500]  世上的光
[00:02:34.500 --> 00:02:36.200]  說叫我們不要去論斷別人
[00:02:36.200 --> 00:02:38.300]  就是不要經常在背後說人壞話
