
[00:00:00.000 --> 00:00:06.000]  首先要很感謝敬拜隊
[00:00:06.000 --> 00:00:09.000]  也很感謝Synthia帶我們來這個敬拜
[00:00:09.000 --> 00:00:13.000]  是一個很感動的敬拜
[00:00:13.000 --> 00:00:16.000]  我也要平伏一下
[00:00:16.000 --> 00:00:22.000]  很開心,為什麼我們會這麼感動呢?
[00:00:22.000 --> 00:00:25.000]  我相信正正因為這段時間
[00:00:25.000 --> 00:00:28.000]  是耶穌基督受苦為我們犧牲的時間
[00:00:28.000 --> 00:00:33.000]  我們在座的每一個都是被神的愛拯救回來的人
[00:00:33.000 --> 00:00:39.000]  不知道大家昨晚有沒有去到受苦節晚會?
[00:00:39.000 --> 00:00:41.000]  有吧?
[00:00:41.000 --> 00:00:44.000]  還有不知道這段時間有沒有
[00:00:44.000 --> 00:00:47.000]  一直在透過那40天的靈修
[00:00:47.000 --> 00:00:49.000]  去預備自己的心
[00:00:49.000 --> 00:00:52.000]  而透過昨晚的晚會
[00:00:52.000 --> 00:00:55.000]  不知道你有沒有和耶穌基督的受苦
[00:00:55.000 --> 00:00:57.000]  去心痛感受了呢?
[00:00:57.000 --> 00:01:03.000]  還是你只是當作是一個普通的假期?
[00:01:03.000 --> 00:01:06.000]  我自己就在這段時間裡
[00:01:06.000 --> 00:01:09.000]  我真的很認真去預備自己的心
[00:01:09.000 --> 00:01:11.000]  我透過受苦節
[00:01:11.000 --> 00:01:13.000]  我想思想一下
[00:01:13.000 --> 00:01:16.000]  神是一個救贖的因點
[00:01:16.000 --> 00:01:18.000]  同時我也在反思
[00:01:18.000 --> 00:01:21.000]  我自己這條信仰路上
[00:01:21.000 --> 00:01:24.000]  我怎樣在我的屬靈生命上
[00:01:24.000 --> 00:01:26.000]  可以繼續去走
[00:01:26.000 --> 00:01:33.000]  所以這也是我在準備這篇講章的時候的想法
[00:01:33.000 --> 00:01:37.000]  其實在我準備這篇講章的時候的過程裡
[00:01:37.000 --> 00:01:40.000]  我看到一個電視節目
[00:01:40.000 --> 00:01:42.000]  我就被這個電視節目吸引了
[00:01:42.000 --> 00:01:44.000]  不知道你有沒有看
[00:01:44.000 --> 00:01:46.000]  就是《足球女將》
[00:01:46.000 --> 00:01:49.000]  其實這個節目很熱血的
[00:01:49.000 --> 00:01:53.000]  一群女生來自不同的身份
[00:01:53.000 --> 00:01:57.000]  有演員、模特兒、上班族
[00:01:57.000 --> 00:01:59.000]  有不同的運動員選手
[00:01:59.000 --> 00:02:01.000]  甚至是教練級的
[00:02:01.000 --> 00:02:03.000]  其實這群女生
[00:02:03.000 --> 00:02:06.000]  除了她們都是女生之外
[00:02:06.000 --> 00:02:09.000]  其實她們沒有什麼共通點
[00:02:09.000 --> 00:02:11.000]  唯一的共通點
[00:02:11.000 --> 00:02:12.000]  你知道是什麼嗎?
[00:02:12.000 --> 00:02:14.000]  她們都是在足球上
[00:02:14.000 --> 00:02:18.000]  踢足球是零經驗的
[00:02:18.000 --> 00:02:21.000]  這群人就是這樣走在一起
[00:02:21.000 --> 00:02:24.000]  我相信這也是一個賣點
[00:02:24.000 --> 00:02:26.000]  她們從零開始去接受訓練
