
[00:00:00.000 --> 00:00:02.680]  多謝敬拜隊帶領我們進入敬拜
[00:00:02.680 --> 00:00:05.840]  亦都藉著剛才最後一首歌提醒我們
[00:00:05.840 --> 00:00:09.640]  無論是甚麼都沒有辦法讓我們跟神的愛隔絕
[00:00:09.640 --> 00:00:10.920]  亦都因為這樣的時候
[00:00:10.920 --> 00:00:13.680]  我們可以憑著信心去過每一天
[00:00:13.680 --> 00:00:15.840]  去經歷不同的境況
[00:00:15.840 --> 00:00:17.120]  因為無論怎樣的時候
[00:00:17.120 --> 00:00:19.400]  神都會拖帶著我們一起走
[00:00:19.400 --> 00:00:24.280]  今天就想跟大家講一個題目
[00:00:24.280 --> 00:00:26.480]  叫「愛與情」
[00:00:26.480 --> 00:00:34.240]  大家可以幫我填充一下
[00:00:34.240 --> 00:00:36.800]  「養不教」是甚麼呢?
[00:00:36.800 --> 00:00:40.920]  大家知不知道下一句是甚麼呢?
[00:00:40.920 --> 00:00:44.080]  哇!很厲害
[00:00:44.080 --> 00:00:46.000]  中文每個都100分
[00:00:46.000 --> 00:00:52.080]  不知道大家知不知道這兩句句子是出自哪裏呢?
[00:00:52.080 --> 00:00:54.520]  知不知道呢?
[00:00:55.200 --> 00:00:56.880]  對了!三字經
[00:00:56.880 --> 00:00:58.880]  好像三字經很舊
[00:00:58.880 --> 00:01:00.400]  不過我們都經常用
[00:01:00.400 --> 00:01:04.440]  原來三字經是中國傳統兒童啟蒙的教材之一
[00:01:04.440 --> 00:01:08.120]  是中國南宋時代編輯而成
[00:01:08.120 --> 00:01:12.400]  用來教導弟弟為人處世的道理和著作
[00:01:12.400 --> 00:01:15.560]  從這兩句我們可以見到
[00:01:15.560 --> 00:01:19.480]  根據我們中國人心軟文化和經驗
[00:01:19.480 --> 00:01:22.280]  管教兒女是家長的責任
[00:01:22.280 --> 00:01:24.120]  是不容自援的
[00:01:24.360 --> 00:01:26.320]  但是大家又知不知道
[00:01:26.320 --> 00:01:30.040]  近年來有很多國家都先後
[00:01:30.040 --> 00:01:34.520]  立了管教孩童的法例
[00:01:34.520 --> 00:01:36.120]  大家有聽過吧?
[00:01:36.120 --> 00:01:39.280]  我們身處香港
[00:01:39.280 --> 00:01:45.720]  原來我們父母打弟弟是屬刑事的犯罪
[00:01:45.720 --> 00:01:49.960]  是沒有合理管教的免責辯護
[00:01:50.320 --> 00:01:56.480]  根據《侵害人身罪條例》第212章
[00:01:56.480 --> 00:01:59.120]  這些都是AI講給我聽的
[00:01:59.120 --> 00:02:04.240]  如果16歲以下的兒童或青少年的負責人
[00:02:04.240 --> 00:02:09.480]  故意去襲擊、虐待、疏忽照顧或拋棄
[00:02:09.480 --> 00:02:12.760]  導致他受到不必要的苦楚或健康損害
[00:02:12.760 --> 00:02:16.240]  就是屬犯罪或犯法
[00:02:16.240 --> 00:02:23.880]  循公訴的程序定罪可以判監10年
[00:02:23.880 --> 00:02:27.760]  而今年年初剛生效的
[00:02:27.760 --> 00:02:33.520]  就是一項叫做《強制舉報虐待兒童條例》
[00:02:33.520 --> 00:02:38.320]  他們規定了社會福利機構
[00:02:38.320 --> 00:02:41.880]  或教育、醫療衛生界的專業人士
[00:02:41.880 --> 00:02:48.080]  如果在工作期間懷疑兒童遭受嚴重傷害或有風險
[00:02:48.080 --> 00:02:50.440]  就必須盡快舉報
[00:02:50.440 --> 00:02:55.040]  違例者可以最高判監三個月和罰款
[00:02:55.040 --> 00:02:56.880]  知道多少錢嗎?
[00:02:56.880 --> 00:02:58.400]  五萬元
[00:02:58.400 --> 00:03:00.000]  很貴吧?
[00:03:00.000 --> 00:03:03.320]  難怪很多家長或教育界人士
[00:03:03.320 --> 00:03:07.200]  對管教兒女或小朋友感到越來越困難
[00:03:07.200 --> 00:03:08.880]  也覺得很困惑
[00:03:08.880 --> 00:03:13.720]  究竟怎樣的管教才算是合意和有效呢?
[00:03:13.720 --> 00:03:17.880]  怎樣的管教才算是恰到好處呢?
[00:03:17.880 --> 00:03:21.640]  難道父母真的要放棄管教的責任?
[00:03:21.640 --> 00:03:25.120]  還是因為人類已經進入了新的世代
[00:03:25.120 --> 00:03:28.280]  我們舊有的典章、生活的智慧
[00:03:28.280 --> 00:03:31.200]  就是時候置諸腦後了?
[00:03:31.200 --> 00:03:33.280]  聖經告訴父母
[00:03:33.280 --> 00:03:40.480]  通哀兒子的須是管教和教養孩童
[00:03:40.480 --> 00:03:42.400]  使他們行當行的路
[00:03:42.400 --> 00:03:44.320]  就是道路亦不偏離
[00:03:44.320 --> 00:03:49.920]  我們身為基督徒又可以怎樣替代神的教導呢?
[00:03:49.920 --> 00:03:51.080]  弟兄姊妹
[00:03:51.080 --> 00:03:52.560]  想告訴大家
[00:03:52.560 --> 00:03:57.400]  可能你以為我今天要和大家探討教養孩童這個議題
[00:03:57.400 --> 00:03:59.080]  但這不是我的目的
[00:03:59.080 --> 00:04:02.120]  我今天很希望可以和大家一起看看
[00:04:02.120 --> 00:04:04.520]  身為我們的天父
[00:04:04.520 --> 00:04:06.880]  他是怎樣管教他的兒女
[00:04:06.880 --> 00:04:08.440]  即是我們
[00:04:08.440 --> 00:04:11.680]  他怎樣幫助我們行我們當行的路
[00:04:11.680 --> 00:04:13.080]  又或者一天
[00:04:13.080 --> 00:04:15.440]  我們經歷神的管教的時候
[00:04:15.440 --> 00:04:18.600]  我們可以知道究竟發生了甚麼事
[00:04:18.600 --> 00:04:22.080]  甚或我們如果能夠明白神管教的目的
[00:04:22.080 --> 00:04:26.480]  我們可以怎樣避免不必要的懲罰
[00:04:26.480 --> 00:04:28.160]  讓我們一起祈禱
[00:04:31.040 --> 00:04:33.040]  天上父神很感謝祢
[00:04:33.040 --> 00:04:35.040]  祢賜下祢的話語
[00:04:35.040 --> 00:04:38.240]  讓我們知道要時時警醒
[00:04:38.240 --> 00:04:39.840]  知道要跟從祢
[00:04:39.840 --> 00:04:45.600]  亦都很清楚知道如果我們沒辦法跟到祢的教導的時候會發生甚麼事
[00:04:45.600 --> 00:04:48.600]  祢的教導永遠都是清晰無誤的
[00:04:48.600 --> 00:04:51.000]  盼望祢開我們每個人的心
[00:04:51.000 --> 00:04:52.840]  讓我們都可以聽得清楚
[00:04:52.840 --> 00:04:54.560]  以及在我們的心裏面
[00:04:54.560 --> 00:04:57.640]  以致我們可以緊緊的跟從祢
[00:04:57.640 --> 00:04:59.560]  我們感謝神來聽我們的祈禱
[00:04:59.560 --> 00:05:01.560]  祈禱是奉著耶穌特色的命寇
[00:05:01.560 --> 00:05:06.360]  弟兄姊妹
[00:05:06.360 --> 00:05:09.760]  我們今天要看被神管教的主人翁
[00:05:09.760 --> 00:05:13.840]  並不是世人都覺得他是一個十惡不赦的人
[00:05:13.840 --> 00:05:15.080]  相反
[00:05:15.080 --> 00:05:18.640]  今天信息的主人翁是一個人人都稱讚
[00:05:18.640 --> 00:05:22.640]  連外邦的君王都因為聽聞他的智慧
[00:05:22.640 --> 00:05:24.240]  他偉大的功績
[00:05:24.240 --> 00:05:30.240]  而特地拜訪他的以色列第三任君王所羅門
[00:05:30.240 --> 00:05:32.240]  讓我們一起讀
[00:05:32.240 --> 00:05:36.640]  《獵王記》上十一章一至四節
[00:05:36.640 --> 00:05:37.920]  開始讀
[00:05:37.920 --> 00:05:41.560]  所羅門王在法魯的女兒之外
[00:05:41.560 --> 00:05:45.040]  又寵愛許多外邦女子
[00:05:45.040 --> 00:05:47.240]  就是摩訶女子
[00:05:47.240 --> 00:05:48.840]  阿滿女子
[00:05:48.840 --> 00:05:50.240]  以東女子
[00:05:50.240 --> 00:05:51.840]  西頓女子
[00:05:51.840 --> 00:05:54.040]  赫人女子
[00:05:54.040 --> 00:05:56.440]  論到這些國的人
[00:05:56.440 --> 00:05:59.640]  耶和華曾吩咐以色列人說
[00:05:59.640 --> 00:06:02.640]  你們不可跟他們通婚
[00:06:02.640 --> 00:06:06.040]  他們也不可跟你們在一起
[00:06:06.040 --> 00:06:10.040]  因為他們一定會誘惑你們的心
[00:06:10.040 --> 00:06:12.840]  去隨從他們的神明
[00:06:12.840 --> 00:06:15.440]  所羅門卻為了愛
[00:06:15.440 --> 00:06:18.240]  緊緊跟從他們
[00:06:18.240 --> 00:06:21.440]  所羅門娶七百個公主
[00:06:21.440 --> 00:06:23.440]  三百個妃嬪
[00:06:23.440 --> 00:06:26.840]  這些妻妾誘惑她的心
[00:06:26.840 --> 00:06:29.240]  所羅門年老的時候
[00:06:29.240 --> 00:06:32.240]  她的妻妾誘惑她的心
[00:06:32.240 --> 00:06:34.240]  去隨從別神
[00:06:34.240 --> 00:06:36.640]  不像她父親大衛
[00:06:36.640 --> 00:06:38.440]  以純正的心
[00:06:38.440 --> 00:06:41.640]  信服耶和華她的神
[00:06:41.640 --> 00:06:46.440]  我們之前在第一至十章
[00:06:46.440 --> 00:06:48.640]  分別看過有關所羅門登基
[00:06:48.640 --> 00:06:52.440]  和去做王之後那四十年間
[00:06:52.440 --> 00:06:54.840]  她如何大興土木
[00:06:54.840 --> 00:06:56.240]  整頓內閣
[00:06:56.240 --> 00:06:58.640]  出盡貿易的記載
[00:06:58.640 --> 00:07:02.440]  所羅門從未鬆懈過建立她的王國
[00:07:02.440 --> 00:07:07.040]  讓以色列成為在迦南地最強盛的國家
[00:07:07.040 --> 00:07:11.040]  當所羅門的業績到了這個階段的時候
[00:07:11.040 --> 00:07:13.840]  她又可以做些什麼呢?
[00:07:13.840 --> 00:07:15.640]  在今天的經文裡面
[00:07:15.640 --> 00:07:20.440]  第一節開始告訴我們一個很重要的背景
[00:07:20.440 --> 00:07:24.040]  原來所羅門不單止在初登基的時候
[00:07:24.040 --> 00:07:26.040]  為了要鞏固自己的地位
[00:07:26.040 --> 00:07:28.440]  娶了法老的女兒
[00:07:28.440 --> 00:07:31.440]  她那時候是和埃及結盟
