
[00:00:00.000 --> 00:00:04.200]  我感恩今天在這裡跟大家分享神的話語
[00:00:04.200 --> 00:00:05.760]  很快又過年了
[00:00:05.760 --> 00:00:08.240]  我看到有弟兄姊妹
[00:00:08.240 --> 00:00:10.280]  不知道是否剛好,還是怎樣穿紅色衣服
[00:00:10.280 --> 00:00:15.120]  但如果你走到下面的停車場的時候
[00:00:15.120 --> 00:00:17.880]  你應該會更加感受到過年的氣氛
[00:00:17.880 --> 00:00:19.280]  待會你一定要去
[00:00:19.280 --> 00:00:20.800]  有很多攤位
[00:00:20.800 --> 00:00:22.160]  有寫揮春
[00:00:22.160 --> 00:00:24.160]  也有馬來西風
[00:00:24.160 --> 00:00:26.960]  有很多不同的東西去迎接過年
[00:00:26.960 --> 00:00:28.120]  過年的時候
[00:00:28.120 --> 00:00:30.640]  我們很多時候都提醒自己
[00:00:30.640 --> 00:00:31.920]  又過一年了
[00:00:31.920 --> 00:00:35.760]  年歲又增長了
[00:00:35.760 --> 00:00:38.960]  不單止是過年有一個提醒
[00:00:38.960 --> 00:00:42.920]  我最近也有很多不同的聚會
[00:00:42.920 --> 00:00:44.040]  都在提醒我
[00:00:44.040 --> 00:00:49.960]  這個年日是一直流逝的
[00:00:49.960 --> 00:00:51.640]  我這兩個星期裡面
[00:00:51.640 --> 00:00:53.800]  去了兩個生日會
[00:00:53.800 --> 00:00:56.480]  一個是六十歲的生日
[00:00:56.480 --> 00:00:59.320]  一個是八十歲的生日
[00:00:59.320 --> 00:01:05.280]  六十歲的生日是我的成長的墓會的墓謝
[00:01:05.280 --> 00:01:09.240]  有很多弟兄姊妹和他舉辦了一個生日會
[00:01:09.240 --> 00:01:13.120]  很開心大家一起述說神的恩典
[00:01:13.120 --> 00:01:16.120]  我很深刻的印象就是
[00:01:16.120 --> 00:01:19.080]  他也做了一個背景板
[00:01:19.080 --> 00:01:21.520]  我們一起可以在這裡拍照
[00:01:21.520 --> 00:01:24.560]  他寫了一句話
[00:01:24.560 --> 00:01:25.720]  寫了這樣
[00:01:25.720 --> 00:01:27.960]  Serve with smile
[00:01:27.960 --> 00:01:30.240]  也讓我感受到
[00:01:30.240 --> 00:01:33.040]  其實在他六十歲這個日子
[00:01:33.040 --> 00:01:34.200]  其實一看他
[00:01:34.200 --> 00:01:36.000]  其實看不出他六十歲
[00:01:36.000 --> 00:01:39.040]  現在很多時候我們看大家
[00:01:39.040 --> 00:01:41.360]  不覺得是你的真實年齡
[00:01:41.360 --> 00:01:42.240]  看起來很年輕
[00:01:42.240 --> 00:01:46.160]  但在年歲上好像很大
[00:01:46.160 --> 00:01:47.880]  但看起來很年輕
[00:01:47.880 --> 00:01:50.640]  在這個六十歲的生日會裡面
[00:01:50.640 --> 00:01:52.200]  我看到這句話的時候
[00:01:52.200 --> 00:01:57.080]  讓我感受到他仍然是一個服事的心
[00:01:57.080 --> 00:02:02.000]  很有動力繼續為主服事
[00:02:02.000 --> 00:02:04.120]  雖然在他六十歲裡
[00:02:04.120 --> 00:02:06.680]  他在數過去的日子
