
[00:00:00.000 --> 00:00:03.960]  今晚我想跟大家分享一個題目
[00:00:03.960 --> 00:00:08.360]  這個題目叫「人生咁難」
[00:00:08.360 --> 00:00:12.080]  除了躺平,還有甚麼可以做
[00:00:12.080 --> 00:00:14.320]  我想問大家一個問題
[00:00:14.320 --> 00:00:17.840]  你覺得人生難嗎
[00:00:17.840 --> 00:00:22.040]  當你問到這個問題時
[00:00:22.040 --> 00:00:24.600]  你的腦海會想起甚麼
[00:00:24.600 --> 00:00:29.800]  可能第一個想起的是工作壓力很大
[00:00:29.880 --> 00:00:31.840]  或者你還在讀書
[00:00:31.840 --> 00:00:35.080]  你會覺得讀書壓力很大
[00:00:35.080 --> 00:00:37.600]  人際關係很複雜
[00:00:37.600 --> 00:00:39.600]  可能你在家中
[00:00:39.600 --> 00:00:41.080]  不知道跟家人的關係好不好
[00:00:41.080 --> 00:00:43.080]  跟家人的關係不好時
[00:00:43.080 --> 00:00:46.720]  家裡的事情又很不簡單
[00:00:46.720 --> 00:00:49.280]  或者在你心裡面對著
[00:00:49.280 --> 00:00:51.960]  一些突如其來發生的事
[00:00:51.960 --> 00:00:53.800]  我們也會問一個問題
[00:00:53.800 --> 00:00:57.640]  就是為甚麼會這樣
[00:00:57.720 --> 00:01:00.080]  我想當我們面對人生中
[00:01:00.080 --> 00:01:03.360]  面對很多試煉、很多挑戰時
[00:01:03.360 --> 00:01:05.520]  我們很容易會覺得很累
[00:01:05.520 --> 00:01:07.760]  於是人會做一件事
[00:01:07.760 --> 00:01:09.320]  現在很流行一個詞語
[00:01:09.320 --> 00:01:11.880]  就是「躺平」
[00:01:11.880 --> 00:01:14.200]  覺得既然這麼辛苦
[00:01:14.200 --> 00:01:16.960]  人生也只是輕輕地過
[00:01:16.960 --> 00:01:19.240]  沒有期望、沒有失望
[00:01:19.240 --> 00:01:20.920]  逃避雖可恥
[00:01:20.920 --> 00:01:24.520]  但其實也非常有用,對吧
[00:01:24.520 --> 00:01:26.320]  當我們回到信仰上
[00:01:26.400 --> 00:01:28.080]  我猜我們經常聽說
[00:01:28.080 --> 00:01:32.080]  試煉是神給我們的考驗
[00:01:32.080 --> 00:01:35.080]  但我們心裡也會問
[00:01:35.080 --> 00:01:38.680]  「主,為甚麼要我面對這些事」
[00:01:38.680 --> 00:01:43.320]  「我想休息一下,躺平一下可以嗎」
[00:01:43.320 --> 00:01:45.520]  「弟兄姊妹,我不知道」
[00:01:45.520 --> 00:01:51.040]  「你現在面對甚麼生命的試煉」
[00:01:51.040 --> 00:01:52.560]  「你想一想吧」
[00:01:52.560 --> 00:01:55.800]  「此刻你面對甚麼生命的試煉」
[00:01:56.800 --> 00:02:00.000]  「你的回應又是甚麼」
[00:02:00.000 --> 00:02:02.880]  「會否也很想躺平一下」
[00:02:02.880 --> 00:02:07.120]  今天很想讓我們一起回到神話中
[00:02:07.120 --> 00:02:09.080]  讓我們一起看看
[00:02:09.080 --> 00:02:11.520]  透過《雅各書》的一章二到八節
[00:02:11.520 --> 00:02:14.120]  讓我們看看神話
[00:02:14.120 --> 00:02:17.480]  如何帶我們面對生命的試煉
[00:02:17.480 --> 00:02:22.360]  先說說關於《雅各書》的背景
[00:02:22.440 --> 00:02:25.320]  《雅各書》是寫給當時流亡在外地的
[00:02:25.320 --> 00:02:26.840]  一些猶太基督徒
[00:02:26.840 --> 00:02:28.200]  他們在面對甚麼事
[00:02:28.200 --> 00:02:30.640]  他們在面對很多不同的逼迫
[00:02:30.640 --> 00:02:32.800]  他們在面對很多文化的衝突
[00:02:32.800 --> 00:02:35.480]  甚至教會內部發生很多不同的事情
[00:02:35.480 --> 00:02:39.120]  生活上面對著很多挑戰和試煉
[00:02:39.120 --> 00:02:40.560]  所以《雅各書》很想寫一封信
[00:02:40.560 --> 00:02:41.880]  去教導他們
[00:02:41.880 --> 00:02:43.520]  如何在這些試煉中
[00:02:43.520 --> 00:02:46.560]  繼續實踐對神的信心
[00:02:46.560 --> 00:02:48.520]  如何靠神去面對挑戰
[00:02:48.520 --> 00:02:51.600]  甚至在試煉中如何學習去忍耐
[00:02:51.680 --> 00:02:52.680]  讓我們先讀讀
[00:02:52.680 --> 00:02:53.920]  看看這段經文說甚麼
[00:02:53.920 --> 00:02:55.680]  《雅各書》的一章二到八節
[00:02:55.680 --> 00:02:57.640]  請大家一起讀,準備起
[00:02:57.680 --> 00:02:59.640]  (……)
[00:02:59.640 --> 00:03:02.480]  遭受各樣試煉的時候
[00:03:02.480 --> 00:03:04.720]  呼籲認為是大喜樂
[00:03:04.720 --> 00:03:07.240]  因為知道你們的信心…
[00:03:07.240 --> 00:03:09.920]  (……)
[00:03:09.920 --> 00:03:13.480]  但要讓忍耐發揮完全的功用
[00:03:13.480 --> 00:03:16.760]  使你們流亡又完全又完整
[00:03:16.760 --> 00:03:18.320]  一無所缺
[00:03:18.320 --> 00:03:21.560]  你們中間若有缺少智慧的…
[00:03:21.560 --> 00:03:24.000]  (……)
[00:03:24.080 --> 00:03:28.240]  (……)
[00:03:28.240 --> 00:03:30.520]  只要憑著信心求
[00:03:30.520 --> 00:03:32.560]  一點也不疑惑
[00:03:32.560 --> 00:03:34.400]  因為那疑惑的人
[00:03:34.400 --> 00:03:37.680]  就在海中的波被藏在…
[00:03:37.680 --> 00:03:44.680]  (……)
[00:03:44.680 --> 00:03:48.120]  (……)
[00:03:48.120 --> 00:03:54.680]  (……)
[00:03:54.680 --> 00:03:57.600]  (……)
[00:03:57.600 --> 00:04:02.680]  (……)
[00:04:02.680 --> 00:04:07.680]  (……)
[00:04:07.680 --> 00:04:11.880]  (……)
[00:04:11.880 --> 00:04:13.000]  說些甚麼
[00:04:14.200 --> 00:04:17.480]  特別是第二句開口,其實是…
[00:04:17.520 --> 00:04:19.320]  (……)
[00:04:19.320 --> 00:04:27.000]  (……)
[00:04:27.000 --> 00:04:28.120]  (……)
[00:04:28.120 --> 00:04:33.040]  (……)
[00:04:33.040 --> 00:04:34.840]  (……)
[00:04:34.840 --> 00:04:38.160]  (……)
[00:04:38.160 --> 00:04:40.680]  (……)
[00:04:40.680 --> 00:04:41.960]  一邊向後面…
[00:04:41.960 --> 00:04:43.640]  (……)
[00:04:43.640 --> 00:04:46.960]  (……)
[00:04:47.040 --> 00:04:48.040]  (……)
[00:04:48.040 --> 00:04:50.440]  (……)
[00:04:50.440 --> 00:04:51.680]  (……)
[00:04:51.680 --> 00:04:56.120]  (……)
[00:04:56.120 --> 00:04:57.040]  (……)
[00:04:57.040 --> 00:05:00.120]  (……)
[00:05:00.120 --> 00:05:01.120]  (……)
[00:05:01.120 --> 00:05:08.400]  (……)
[00:05:08.400 --> 00:05:11.280]  亦都在意念上
[00:05:11.280 --> 00:05:15.200]  我們要連「遭遇」這個字一起看
[00:05:15.280 --> 00:05:16.320]  「遭遇」這個字
[00:05:16.320 --> 00:05:18.640]  原文中是由兩個字組成的
[00:05:18.640 --> 00:05:21.440]  是由「環繞」和「跌倒」這兩個字組成
[00:05:21.440 --> 00:05:23.520]  其實是帶出一個景象
[00:05:23.520 --> 00:05:25.920]  就是當人在過程中
[00:05:25.920 --> 00:05:29.520]  身陷一個困難重重的險境中
[00:05:29.520 --> 00:05:33.120]  而這個字在聖經中在甚麼地方出現過
[00:05:33.120 --> 00:05:35.480]  當我們看回《路加福音》時
[00:05:35.480 --> 00:05:38.520]  原來是一個很撒馬利人的比喻
[00:05:38.520 --> 00:05:42.920]  正正是那個人落在強盜的手中
[00:05:42.920 --> 00:05:44.840]  而第二個用這個字的地方
[00:05:44.920 --> 00:05:46.600]  就是在《使徒行傳》中
[00:05:46.600 --> 00:05:49.480]  說的是保羅身陷一個
[00:05:49.480 --> 00:05:51.920]  由環境帶來的困境中
[00:05:51.920 --> 00:05:52.920]  所以我們看到的是
[00:05:52.920 --> 00:05:57.160]  為何這個地方的翻譯會用「試煉」
[00:05:57.160 --> 00:05:58.920]  其實正正是想形容
[00:05:58.920 --> 00:06:00.080]  那些試煉是一些
