
[00:00:00.000 --> 00:00:04.000]  好 我們開始今天的講道
[00:00:04.000 --> 00:00:08.000]  今天是教會性的主題講道
[00:00:08.000 --> 00:00:09.000]  什麼叫教會性呢
[00:00:09.000 --> 00:00:12.000]  就是今天早堂也好晚堂也好
[00:00:12.000 --> 00:00:13.000]  明天那麼多堂崇拜也好
[00:00:13.000 --> 00:00:15.000]  都是講同一段經文
[00:00:15.000 --> 00:00:19.000]  其實上個季度的教會性主題的講道
[00:00:19.000 --> 00:00:20.000]  是以西傑書
[00:00:20.000 --> 00:00:22.000]  大家還有沒有印象
[00:00:22.000 --> 00:00:25.000]  上個月就是以西傑書的最後一講
[00:00:25.000 --> 00:00:27.000]  今天是一個新的系列開始
[00:00:27.000 --> 00:00:30.000]  今天是馬可福音的主題講道
[00:00:30.000 --> 00:00:33.000]  其實接下來以洛團契或者X團契
[00:00:33.000 --> 00:00:34.000]  在九月份開始
[00:00:34.000 --> 00:00:37.000]  我們的茶經都會是查馬可福音
[00:00:37.000 --> 00:00:39.000]  今天講道的經文
[00:00:39.000 --> 00:00:42.000]  是第一章一至十四節
[00:00:42.000 --> 00:00:45.000]  講題是成為福音的使者
[00:00:45.000 --> 00:00:48.000]  相信我們都知道要傳福音
[00:00:48.000 --> 00:00:50.000]  作為信徒的我們
[00:00:50.000 --> 00:00:52.000]  這是我們的使命
[00:00:52.000 --> 00:00:56.000]  不過 唉 講就容易
[00:00:56.000 --> 00:00:58.000]  做就難
[00:00:58.000 --> 00:01:01.000]  知就還知
[00:01:01.000 --> 00:01:04.000]  做是另一回事
[00:01:04.000 --> 00:01:05.000]  不是不知道的
[00:01:05.000 --> 00:01:07.000]  也不是不想的
[00:01:07.000 --> 00:01:10.000]  但是做的時候就很困難
[00:01:10.000 --> 00:01:15.000]  就好像耶穌在赫西瑪利園的時候
[00:01:15.000 --> 00:01:17.000]  那些悶肚的心情
[00:01:17.000 --> 00:01:18.000]  就是怎樣
[00:01:18.000 --> 00:01:20.000]  心靈固然願意
[00:01:20.000 --> 00:01:23.000]  但肉體卻軟弱了
[00:01:23.000 --> 00:01:25.000]  不過我又想
[00:01:25.000 --> 00:01:27.000]  聖經寫得出來
[00:01:27.000 --> 00:01:29.000]  要求我們去傳福音
[00:01:29.000 --> 00:01:32.000]  或者要求我們成為上帝的見證人
[00:01:32.000 --> 00:01:34.000]  沒理由做不到的
[00:01:34.000 --> 00:01:37.000]  就算悶肚 他們也有軟弱
[00:01:37.000 --> 00:01:41.000]  但他們的軟弱也不是一輩子
[00:01:41.000 --> 00:01:42.000]  他們的軟弱是一時
[00:01:42.000 --> 00:01:44.000]  不是一輩子的
[00:01:44.000 --> 00:01:49.000]  有什麼可以讓我們能夠實踐使命
[00:01:49.000 --> 00:01:51.000]  又或者其實我們生命裡面
[00:01:51.000 --> 00:01:54.000]  有什麼阻礙我們不能夠實踐使命呢
[00:01:54.000 --> 00:01:58.000]  讓我們今天在經文裡面找找這些原因
