
[00:00:00.000 --> 00:00:05.280]  很開心能夠來到第四芝跟大家分享上帝的話語
[00:00:05.280 --> 00:00:08.880]  我們在一個情境裏面討論到第四芝
[00:00:08.880 --> 00:00:11.680]  知道第四芝是很有心服侍基層
[00:00:11.680 --> 00:00:14.320]  我們說第四芝不是一間基層的教會
[00:00:14.320 --> 00:00:15.840]  因為大家都不是基層
[00:00:15.840 --> 00:00:18.080]  我們說你們是很有心服侍基層
[00:00:18.080 --> 00:00:21.680]  我們也思想到如果我們說我們是基層教會
[00:00:21.680 --> 00:00:24.080]  可能我們回來的人都會覺得不舒服
[00:00:24.080 --> 00:00:25.520]  自己是基層
[00:00:25.520 --> 00:00:28.320]  但就著服侍基層這個概念
[00:00:28.320 --> 00:00:31.760]  就很想跟大家分享對貧窮的看法
[00:00:31.760 --> 00:00:33.600]  我一直寫這篇講道的時候
[00:00:33.600 --> 00:00:36.480]  心裏面一直都是思念著建良牧師
[00:00:36.480 --> 00:00:39.040]  因為他真的對基層很關心
[00:00:39.040 --> 00:00:42.880]  所以在看針研各個題目的時候
[00:00:42.880 --> 00:00:44.800]  早前跟大家說過公義
[00:00:44.800 --> 00:00:49.280]  今天就想跟大家在針研裏面看貧窮的幾個面貌
[00:00:49.280 --> 00:00:50.160]  幾個面貌
[00:00:50.160 --> 00:00:51.520]  第一個貧窮的前面
[00:00:51.520 --> 00:00:52.880]  第二個貧窮的後面
[00:00:52.880 --> 00:00:54.320]  第三個貧窮的上面
[00:00:54.320 --> 00:00:55.280]  就看這三樣東西
[00:00:55.280 --> 00:00:56.240]  貧窮的前面
[00:00:56.240 --> 00:00:57.200]  貧窮的後面
[00:00:57.200 --> 00:00:58.480]  和貧窮的上面
[00:00:58.480 --> 00:01:04.640]  以前在國內經常見到新朋友都問我幾個問題
[00:01:04.640 --> 00:01:06.400]  就是你賺幾錢
[00:01:06.400 --> 00:01:07.760]  你幾大
[00:01:07.760 --> 00:01:09.520]  和你間屋幾錢
[00:01:09.520 --> 00:01:11.280]  通常都問這三個問題
[00:01:11.280 --> 00:01:15.280]  對於數字來說在國內人是特別敏感的
[00:01:15.280 --> 00:01:18.240]  可能我們這一代的國內人窮怕了
[00:01:18.240 --> 00:01:23.280]  所以就很期望金錢和金錢帶來的安全感
[00:01:23.280 --> 00:01:24.720]  我想起二十多年前
[00:01:24.720 --> 00:01:27.600]  一位和我一起長大的堂哥
[00:01:27.600 --> 00:01:30.720]  因為他欠了五萬多元的債務
[00:01:30.720 --> 00:01:32.000]  他就自殺死了
[00:01:32.000 --> 00:01:35.200]  還在我小時候住的家裏自殺死
[00:01:35.200 --> 00:01:38.000]  可能今天來看五萬多不是一筆什麼錢
[00:01:38.000 --> 00:01:40.160]  但當時一筆很大的錢
[00:01:40.160 --> 00:01:42.800]  我們在今年的主題
[00:01:42.800 --> 00:01:45.200]  說到我們用行動去回應時代
[00:01:45.200 --> 00:01:48.160]  之前說到在公義裏面
[00:01:48.160 --> 00:01:50.800]  說到世間沒有絕對的公義
[00:01:50.800 --> 00:01:52.800]  但是認識神對二人的結局
[00:01:52.800 --> 00:01:55.840]  所以神不斷鼓勵我們由口到心
[00:01:55.840 --> 00:01:57.840]  都活出我們公義的行動
[00:01:57.840 --> 00:02:02.800]  就是二人的結局到二人的行動
[00:02:02.800 --> 00:02:04.320]  最後我們效法基督
[00:02:04.320 --> 00:02:06.400]  他願意對罪承擔的榜樣
[00:02:06.400 --> 00:02:09.280]  他肯定在日光之上神有公義的審判
[00:02:09.280 --> 00:02:14.000]  今天想和大家一起去琛研領受超越貧窮的想像
[00:02:14.000 --> 00:02:19.520]  我每一個星期日都會有機會和我太太一起聽一篇詩篇和一篇琛研
[00:02:19.520 --> 00:02:22.800]  今天剛好聽到我們在U version聽到的
[00:02:22.800 --> 00:02:24.160]  剛好是這篇琛研
[00:02:24.160 --> 00:02:26.560]  我覺得上帝很想我分享這篇琛研
[00:02:26.560 --> 00:02:28.000]  琛研是很特別的
[00:02:28.000 --> 00:02:30.480]  琛研是對偶的句子
[00:02:30.480 --> 00:02:32.400]  前一句和後一句是對偶
[00:02:32.400 --> 00:02:33.520]  好像中國人寫對戀
[00:02:33.520 --> 00:02:35.840]  大家寫下戀就會知道
[00:02:35.840 --> 00:02:37.600]  我想大家是這樣讀
[00:02:37.600 --> 00:02:40.880]  弟兄讀黑色字 姐妹讀紅色字
[00:02:40.880 --> 00:02:43.360]  就會讀到這篇經文
[00:02:43.360 --> 00:02:45.360]  我想先打這篇經文出來
[00:02:45.360 --> 00:02:46.720]  我們一起來
[00:02:46.720 --> 00:02:49.200]  弟兄讀黑色的字 姐妹讀紅色的字
[00:02:49.200 --> 00:02:50.400]  我們一二三
[00:02:50.560 --> 00:02:55.040]  美名勝過大財 強如金銀
