
[00:00:00.000 --> 00:00:02.720]  在我們今天正道之先
[00:00:02.720 --> 00:00:04.720]  我們一起去禱告
[00:00:04.720 --> 00:00:07.840]  七夕天父我們再次去感謝祢
[00:00:07.840 --> 00:00:12.480]  感謝祢讓我們能夠在祢的生命裏面
[00:00:12.480 --> 00:00:14.160]  讓我們有份
[00:00:14.160 --> 00:00:16.960]  主人能夠去結連在這個裏面
[00:00:16.960 --> 00:00:21.720]  都不是一個很隨便的一件事
[00:00:21.720 --> 00:00:24.360]  完完全全是上帝的恩典
[00:00:24.360 --> 00:00:28.240]  主人願意我們一班弟兄姊妹聚集在祢的面前
[00:00:28.240 --> 00:00:30.720]  我們今天又敬拜又聽道
[00:00:30.720 --> 00:00:33.240]  求神祢自己與我們同在
[00:00:33.240 --> 00:00:36.160]  幫助我們讓講的講得清楚
[00:00:36.160 --> 00:00:37.760]  聽的又聽得明白
[00:00:37.760 --> 00:00:38.680]  主多謝祢
[00:00:38.680 --> 00:00:41.440]  我們這樣的感謝祈禱奉主名求
[00:00:41.440 --> 00:00:42.440]  阿們
[00:00:42.440 --> 00:00:49.240]  我相信這一陣子應該很多人都有看奧運比賽
[00:00:49.240 --> 00:00:53.560]  我昨晚完團契回家的時候
[00:00:53.560 --> 00:00:56.080]  搭地鐵就見到我的弟兄
[00:00:56.080 --> 00:00:58.280]  他打開手機
[00:00:58.280 --> 00:00:59.840]  我看他看什麼
[00:00:59.840 --> 00:01:00.840]  原來他說
[00:01:00.840 --> 00:01:04.680]  昨晚有乒乓球爭冠軍
[00:01:04.680 --> 00:01:10.040]  他忍不住在地鐵車廂裏面也要去看
[00:01:10.040 --> 00:01:14.200]  香港今屆奧運裏面是怎樣的
[00:01:14.200 --> 00:01:15.680]  拿到什麼成績呢
[00:01:15.680 --> 00:01:17.680]  我相信大家都知道
[00:01:17.680 --> 00:01:19.680]  拿到什麼
[00:01:19.680 --> 00:01:22.160]  兩金和兩銅
[00:01:22.160 --> 00:01:26.160]  其實拿到這個獎項
[00:01:26.160 --> 00:01:29.000]  絕對是不簡單的
[00:01:29.000 --> 00:01:33.480]  因為我相信每一個參加比賽的運動員
[00:01:33.480 --> 00:01:35.680]  其實他們每一個的背後
[00:01:35.680 --> 00:01:39.160]  都是付上了很大很大的努力
[00:01:39.160 --> 00:01:42.040]  他們會用了很長的時間
[00:01:42.040 --> 00:01:43.800]  那種長的時間
[00:01:43.800 --> 00:01:45.480]  不是說很短的日子
[00:01:45.480 --> 00:01:48.280]  而是可能以鍛鍊去計算
[00:01:48.280 --> 00:01:50.160]  不斷地操練
[00:01:50.160 --> 00:01:51.800]  怎樣去避戰
[00:01:51.800 --> 00:01:55.520]  甚至是重複地不斷地練習
[00:01:55.520 --> 00:01:59.800]  又透過一些操練他們的體能
[00:01:59.800 --> 00:02:03.240]  又為了要保持自己的身體的時候
[00:02:03.240 --> 00:02:04.400]  又要怎樣
[00:02:04.400 --> 00:02:06.280]  要控制飲食
[00:02:06.280 --> 00:02:07.800]  我不知道大家有沒有聽過
[00:02:07.800 --> 00:02:13.400]  中國有一個網球得到冠軍的女孩
[00:02:13.400 --> 00:02:15.040]  她的飲食是怎樣的
[00:02:15.040 --> 00:02:17.640]  她說在一年裏面有365天
[00:02:17.640 --> 00:02:22.320]  她說360天她都是在吃同一款的食物
[00:02:22.320 --> 00:02:26.600]  為了要保持自己的體重和營養
[00:02:26.600 --> 00:02:30.640]  而且作息也是有規律有時
[00:02:30.640 --> 00:02:35.320]  最後才能夠得到一個這樣的成果
[00:02:35.320 --> 00:02:38.200]  同樣地我們作為教徒的我們
[00:02:38.200 --> 00:02:40.080]  我們自己有沒有想過
[00:02:40.080 --> 00:02:46.120]  我們怎樣可以結出更加多的屬靈的果子呢?
[00:02:46.120 --> 00:02:48.800]  是不是要靠我們自己的努力
[00:02:48.800 --> 00:02:52.080]  我們才能夠做得到呢?
[00:02:52.080 --> 00:02:56.680]  今天我們很想透過《禦紅福音》15章1到8節
[00:02:56.680 --> 00:02:58.040]  我們一起去看看
[00:02:58.040 --> 00:03:01.680]  我們怎樣可以結出更加多的果子
[00:03:01.680 --> 00:03:05.760]  我們一起去讀15章1到8節
[00:03:05.760 --> 00:03:08.400]  我們慢慢一起讀
