
[00:00:00.000 --> 00:00:07.000]  敬拜師班
[00:00:07.000 --> 00:00:12.000]  我們在聽道之先一起有個禱告
[00:00:12.000 --> 00:00:15.000]  「七位天父 孩子」的說話很有限
[00:00:15.000 --> 00:00:18.000]  但我們聖靈的說話是無限的
[00:00:18.000 --> 00:00:20.000]  求聖靈 真理的聖靈
[00:00:20.000 --> 00:00:22.000]  親自引導 說的和聽的
[00:00:22.000 --> 00:00:24.000]  都一同被主的榜樣
[00:00:24.000 --> 00:00:27.000]  燃點我們親近你的心
[00:00:27.000 --> 00:00:31.000]  祈禱是奉主 耶穌基督明求 阿們
[00:00:31.000 --> 00:00:37.000]  今天講到整個教會與神相遇的系列
[00:00:37.000 --> 00:00:38.000]  前幾個星期
[00:00:38.000 --> 00:00:40.000]  當我聽完Erica牧師
[00:00:40.000 --> 00:00:44.000]  她在中堂講屬靈病毒這篇道的時候
[00:00:44.000 --> 00:00:48.000]  就覺得和今天這篇道很連貫
[00:00:48.000 --> 00:00:50.000]  所以今天我會講續集
[00:00:50.000 --> 00:00:53.000]  就是屬靈疫苗
[00:00:53.000 --> 00:00:55.000]  我不知道多少人有聽到上一次
[00:00:55.000 --> 00:01:00.000]  幾個星期Erica牧師講的屬靈病毒篇道
[00:01:00.000 --> 00:01:02.000]  有沒有印象
[00:01:02.000 --> 00:01:05.000]  都不是很多
[00:01:05.000 --> 00:01:09.000]  記不記得屬靈病毒是什麼
[00:01:09.000 --> 00:01:13.000]  是假冒為善
[00:01:13.000 --> 00:01:17.000]  假冒為善是表演者的意思
[00:01:17.000 --> 00:01:19.000]  我們做好事
[00:01:19.000 --> 00:01:21.000]  為了要被人看
[00:01:21.000 --> 00:01:23.000]  得到別人的掌聲
[00:01:23.000 --> 00:01:26.000]  我不知道你聽的時候有沒有像我一樣
[00:01:26.000 --> 00:01:28.000]  真的有一點點擇心
[00:01:28.000 --> 00:01:31.000]  好像自己有時候都很想
[00:01:31.000 --> 00:01:33.000]  有人來讚賞自己
[00:01:33.000 --> 00:01:37.000]  都想想地有人給自己掌聲
[00:01:37.000 --> 00:01:40.000]  但又覺得自己又沒有去到那麼差
[00:01:40.000 --> 00:01:42.000]  好像假冒為善的人
[00:01:42.000 --> 00:01:44.000]  要故意做一些事給別人看
[00:01:44.000 --> 00:01:46.000]  那又不是
