
[00:00:00.000 --> 00:00:06.600]  丙姐妹,不知道你們認不認為基督徒的人生
[00:00:06.600 --> 00:00:11.600]  是否周旋在壓迫和拯救之間呢?
[00:00:11.600 --> 00:00:19.600]  表面上來看,我們的人生總是徘徊在信徑和逆境裡面
[00:00:19.600 --> 00:00:24.000]  這樣起不來就是壓迫和拯救嗎?
[00:00:24.000 --> 00:00:28.600]  如果你真的認同這個說法的話
[00:00:28.600 --> 00:00:32.600]  你的焦點多數會停留在壓迫那邊
[00:00:32.600 --> 00:00:36.600]  還是拯救那邊呢?
[00:00:36.600 --> 00:00:43.600]  那些想法有沒有影響到你們去履行神的使命呢?
[00:00:43.600 --> 00:00:49.600]  我除了要牧養團契之外,我另一個身份是差傳部的同工
[00:00:49.600 --> 00:00:55.600]  所以我經常有機會去思考差傳方面的事情
[00:00:55.600 --> 00:00:58.600]  我最近又在想一件事
[00:00:58.600 --> 00:01:05.600]  就是要履行使命,是否一定要承受壓迫呢?
[00:01:05.600 --> 00:01:08.600]  我聽過很多昔日的宣教士
[00:01:08.600 --> 00:01:13.600]  他們如何賦上生命來履行神的使命
[00:01:13.600 --> 00:01:18.600]  到了今天,我們都聽到很多的資訊告訴我們
[00:01:18.600 --> 00:01:21.600]  那些對福音不開放的地方
[00:01:21.600 --> 00:01:24.600]  如果人要選擇跟隨神的話
[00:01:24.600 --> 00:01:28.600]  就要背負著很大的代價
[00:01:28.600 --> 00:01:31.600]  所以我腦海裡不知道為什麼
[00:01:31.600 --> 00:01:34.600]  都有一種很深的很強的意識
[00:01:34.600 --> 00:01:37.600]  就是如果要做宣教的工作
[00:01:37.600 --> 00:01:42.600]  就要隨時預備殉道的心智才好思考
[00:01:42.600 --> 00:01:46.600]  我就想這些想法有沒有錯呢?
[00:01:46.600 --> 00:01:49.600]  然後我就想起主耶穌也說過
[00:01:49.600 --> 00:01:54.600]  他猜瞎門逃出去就如同羊要進入狼群
[00:01:54.600 --> 00:01:57.600]  主耶穌要我們想清楚
[00:01:57.600 --> 00:02:01.600]  跟隨他可能連枕頭都不能睡
[00:02:01.600 --> 00:02:06.600]  神想我們想清楚才好回應
[00:02:06.600 --> 00:02:10.600]  這些想法似乎都合乎真理
[00:02:10.600 --> 00:02:12.600]  但是如果我們這樣想
[00:02:12.600 --> 00:02:15.600]  背後的神學理念
[00:02:15.600 --> 00:02:17.600]  就像正邪交鋒
[00:02:17.600 --> 00:02:19.600]  其實是勢均力敵
[00:02:19.600 --> 00:02:22.600]  似乎好像沒得鬥
[00:02:22.600 --> 00:02:25.600]  好像有點像他人自棄
[00:02:25.600 --> 00:02:27.600]  滅自己威風
[00:02:27.600 --> 00:02:30.600]  有種未戰先敗的感覺
[00:02:30.600 --> 00:02:33.600]  我就想似乎好像太過
[00:02:33.600 --> 00:02:35.600]  集中在敵人身上
[00:02:35.600 --> 00:02:37.600]  不多對路
[00:02:37.600 --> 00:02:40.600]  今天我就很想和大家分享
[00:02:40.600 --> 00:02:42.600]  我在《出埃及記》一章裡面
[00:02:42.600 --> 00:02:44.600]  領受到的提醒
[00:02:44.600 --> 00:02:47.600]  求主幫助我們以一個新的思維
[00:02:47.600 --> 00:02:49.600]  來看這件事
[00:02:49.600 --> 00:02:53.600]  我們同心一起祈禱
[00:02:53.600 --> 00:02:56.600]  色在今在永在的天父
[00:02:56.600 --> 00:02:58.600]  我們多謝你
[00:02:58.600 --> 00:03:04.600]  求你今天早上在我們心裡作掌權
[00:03:04.600 --> 00:03:07.600]  我們知道你的話語大有能力
[00:03:07.600 --> 00:03:10.600]  求你親自解開你的話語
[00:03:10.600 --> 00:03:14.600]  讓我們一群愚人在你面前得通達
[00:03:14.600 --> 00:03:17.600]  求你帶領以下的時間
[00:03:17.600 --> 00:03:19.600]  我們恭敬交上
[00:03:19.600 --> 00:03:20.600]  祈禱交托仰望
[00:03:20.600 --> 00:03:22.600]  是奉主耶穌名字而求
[00:03:22.600 --> 00:03:24.600]  阿們
[00:03:24.600 --> 00:03:25.600]  我們先一起讀出
[00:03:25.600 --> 00:03:29.600]  《出埃及記》一章一至七節的經文
[00:03:29.600 --> 00:03:31.600]  準備起
[00:03:31.600 --> 00:03:35.600]  以色列宋子各帶家眷和雅各
