
[00:00:00.000 --> 00:00:01.400]  各位靈姐妹晚安
[00:00:01.400 --> 00:00:03.120]  今天很開心
[00:00:03.120 --> 00:00:05.000]  在晚堂看到靈姐妹
[00:00:05.000 --> 00:00:08.440]  回到當中領聽上帝的話
[00:00:08.440 --> 00:00:11.560]  今天大家知不知道
[00:00:11.560 --> 00:00:14.360]  今天是一個特別的主日
[00:00:14.360 --> 00:00:17.720]  因為今天是猜拳主日
[00:00:17.720 --> 00:00:20.680]  即是說我們接下來整個星期內
[00:00:20.680 --> 00:00:24.200]  我們教會都會在宣講上
[00:00:24.200 --> 00:00:25.840]  在接下來的聚會上
[00:00:25.840 --> 00:00:31.000]  都會跟大家分享有關普世猜拳這件事
[00:00:31.000 --> 00:00:36.160]  普世猜拳是一件我們需要注意的事
[00:00:36.160 --> 00:00:40.240]  讓我們重新將我們的眼目
[00:00:40.240 --> 00:00:42.600]  都可以去擴闊一些
[00:00:42.600 --> 00:00:45.240]  看遠一些地方的需要
[00:00:45.240 --> 00:00:50.480]  我不知道大家在最近的新聞裏面
[00:00:50.480 --> 00:00:55.240]  什麼國際新聞最令到你們關注
[00:00:55.680 --> 00:00:59.600]  其實我想過去一年的時間
[00:00:59.600 --> 00:01:02.000]  在很多世界各地不同的地方
[00:01:02.000 --> 00:01:04.120]  都發生了很多的事情
[00:01:04.120 --> 00:01:08.320]  我想最令我們記掛的其中之一項
[00:01:08.320 --> 00:01:13.280]  可能就是以色列和巴勒斯坦的情況
[00:01:13.280 --> 00:01:17.080]  其實上年的十月
[00:01:17.080 --> 00:01:19.800]  我們記得十月七日的時間
[00:01:20.120 --> 00:01:26.520]  巴勒斯坦的伊斯蘭主義運動的一個恐怖組織哈馬斯
[00:01:26.520 --> 00:01:29.800]  發動了一個突襲
[00:01:29.800 --> 00:01:31.320]  在以色列的南部
[00:01:31.320 --> 00:01:36.120]  當時千多個以色列的平民喪生
[00:01:36.120 --> 00:01:39.000]  我們也知道在這件事件裏面
[00:01:39.000 --> 00:01:41.720]  被擄走的以色列人也很多
[00:01:41.720 --> 00:01:44.960]  大家如果有留意新聞的話
[00:01:44.960 --> 00:01:46.760]  直至到今天為止
[00:01:46.760 --> 00:01:49.960]  其實在這個戰爭裏面
[00:01:49.960 --> 00:01:53.160]  總共失去生命的巴勒斯坦人
[00:01:53.160 --> 00:01:55.720]  已經超過了三萬四千人
[00:01:55.720 --> 00:01:58.760]  我們也看到這個戰火
[00:01:58.760 --> 00:02:03.880]  更加延伸到伊朗或者中東的國家裏面
[00:02:03.880 --> 00:02:05.400]  更加嚴重的
[00:02:05.400 --> 00:02:07.200]  如果大家最近有留意新聞
[00:02:07.200 --> 00:02:08.840]  這個戰火
[00:02:08.840 --> 00:02:13.160]  不單止是在常規的武器戰爭上
[00:02:13.160 --> 00:02:17.320]  而是去到一個全球的
[00:02:17.320 --> 00:02:22.760]  一個關於思想輿論和價值觀的鬥爭
[00:02:22.760 --> 00:02:25.640]  我們最近在新聞裏面
[00:02:25.640 --> 00:02:26.920]  我想大家都看到了
[00:02:26.920 --> 00:02:31.400]  在歐洲或者美國的一些大學校園裏面
[00:02:31.400 --> 00:02:35.080]  開始有一些學生的敵對
[00:02:35.080 --> 00:02:36.680]  分開了兩個陣營
[00:02:36.680 --> 00:02:38.040]  這一班學生
[00:02:38.040 --> 00:02:39.320]  很多的學生
[00:02:39.320 --> 00:02:45.880]  我想是去到反對對巴勒斯坦的戰爭
[00:02:45.880 --> 00:02:50.040]  也有一些親以色列的學生
[00:02:50.040 --> 00:02:52.280]  形成一個敵對的陣營
[00:02:52.280 --> 00:02:55.160]  我們看到近日在美國
[00:02:55.160 --> 00:02:57.080]  爆發這些示威
[00:02:57.080 --> 00:02:59.640]  在不同的大學的州份裏面
[00:02:59.640 --> 00:03:00.680]  都有發生
[00:03:00.680 --> 00:03:03.720]  並且看到是不斷的蔓延
[00:03:03.720 --> 00:03:06.280]  在歐洲也有不同的國家
[00:03:06.280 --> 00:03:09.080]  譬如在法國這一間的校園裏面
[00:03:09.080 --> 00:03:11.400]  也都爆發了一些示威
[00:03:11.400 --> 00:03:14.680]  我們看到在這些示威裏面
[00:03:14.680 --> 00:03:19.880]  慢慢造成一個令人很擔心的情況出現
[00:03:19.880 --> 00:03:21.560]  就是在這個世界裏面
[00:03:21.560 --> 00:03:24.760]  會不會出現一種叫做反右主義呢
[00:03:24.760 --> 00:03:29.080]  造成和一些親以色列群眾的衝突
[00:03:29.080 --> 00:03:33.960]  這種的撕裂將會演變成一個怎樣的局面呢
[00:03:33.960 --> 00:03:37.080]  今天我們仍然是需要關心
[00:03:37.080 --> 00:03:39.400]  仍然是需要去禱告、紀念
[00:03:39.400 --> 00:03:41.080]  我們求神憐憫
[00:03:41.080 --> 00:03:44.360]  在今天這個世代裏面發生的這些事
[00:03:44.360 --> 00:03:47.880]  分分鐘好像一個炸彈一樣
[00:03:47.880 --> 00:03:51.400]  可以是一發不可收拾
[00:03:51.400 --> 00:03:54.360]  今天我們猜拳主日
[00:03:54.360 --> 00:03:58.840]  所以我們需要在經文裏面再一次去思考
[00:03:59.080 --> 00:04:04.040]  今天這個世代裏面我們怎樣去實踐普世宣教
[00:04:04.040 --> 00:04:06.760]  保羅在《羅馬書》裏面
[00:04:06.760 --> 00:04:10.600]  特別提到以色列人的福音的情況
[00:04:10.600 --> 00:04:12.760]  在《羅馬書》
