
[00:00:00.000 --> 00:00:05.000]  在進入今天講道之前,我們一起有一個祈禱。
[00:00:05.000 --> 00:00:09.000]  親愛的天父,我們感謝你,
[00:00:09.000 --> 00:00:13.000]  當我們今天能夠在你的殿裡敬拜讚美你的時候,
[00:00:13.000 --> 00:00:18.000]  我們不能不承認是你的恩手一直扶持我們,
[00:00:18.000 --> 00:00:21.000]  讓我們仍然有生命氣息,
[00:00:21.000 --> 00:00:24.000]  縱使我們走過不同人生的年月,
[00:00:24.000 --> 00:00:27.000]  我們仍然能夠健健康康,
[00:00:27.000 --> 00:00:29.000]  在這裡敬拜讚美你。
[00:00:29.000 --> 00:00:33.000]  我們將一切榮耀、重讚都歸給你,
[00:00:33.000 --> 00:00:37.000]  求你待會在信息當中與我們同在,
[00:00:37.000 --> 00:00:40.000]  讓講的、聽的一同受教,
[00:00:40.000 --> 00:00:43.000]  一同思想我們如何運用自己的人生。
[00:00:43.000 --> 00:00:45.000]  多謝主聽我們祈禱,
[00:00:45.000 --> 00:00:48.000]  奉耶穌基督,聖名祈求,阿們。
[00:00:48.000 --> 00:00:56.000]  今天我們會繼續今年五經人物系列的講道,
[00:00:56.000 --> 00:00:59.000]  我們今天會繼續講約瑟,
[00:00:59.000 --> 00:01:03.000]  不過我們會聚焦在他已經苦盡甘來,
[00:01:03.000 --> 00:01:06.000]  成為埃及宰相的人生片段。
[00:01:06.000 --> 00:01:13.000]  弟兄姊妹,不知道你會不會都很羨慕約瑟這一刻的光景,
[00:01:13.000 --> 00:01:18.000]  畢竟他已經大權在握,甚至可以主宰人的生死。
[00:01:18.000 --> 00:01:22.000]  弟兄姊妹,可能我們都經歷過很多不同人生的歲月,
[00:01:22.000 --> 00:01:25.000]  有低谷,有高山,
[00:01:25.000 --> 00:01:28.000]  不知道你有沒有試過當你在低谷的時候,
[00:01:28.000 --> 00:01:31.000]  你總是很想仰望高山,很想爬上去,
[00:01:31.000 --> 00:01:33.000]  很想離開逆境。
[00:01:33.000 --> 00:01:35.000]  當你站在高山的時候,
[00:01:35.000 --> 00:01:39.000]  不知道你會不會很想停留在高山久一點,
[00:01:39.000 --> 00:01:43.000]  起碼望望現在眼前的光景久一點,
[00:01:43.000 --> 00:01:46.000]  不要那麼快下山。
[00:01:46.000 --> 00:01:52.000]  我們心底裡不知道會不會都很想主導自己的人生,
[00:01:52.000 --> 00:01:56.000]  我們很想就算不是一生大富大貴,
[00:01:56.000 --> 00:01:59.000]  無風無浪,無災無難,
[00:01:59.000 --> 00:02:03.000]  我們都希望遇到的困難少一點。
[00:02:03.000 --> 00:02:05.000]  我不知道在座有沒有弟兄姊妹,
[00:02:05.000 --> 00:02:08.000]  很想人生有多一點困難的,你有沒有?
[00:02:08.000 --> 00:02:12.000]  如果有的,你舉手,我為你感恩。
[00:02:12.000 --> 00:02:16.000]  我相信每個人都希望人生有很多困難,
[00:02:16.000 --> 00:02:18.000]  我當然自己都不希望。
[00:02:18.000 --> 00:02:23.000]  最近Beyond樂隊40週年成立,
[00:02:23.000 --> 00:02:25.000]  我以前都是Beyond的粉絲,
[00:02:25.000 --> 00:02:29.000]  特別是很重要的音樂人黃家駒先生,
[00:02:29.000 --> 00:02:32.000]  他好像是世世三十週年。
[00:02:32.000 --> 00:02:35.000]  我記得小時候我從來都不是一個堅強的人,
[00:02:35.000 --> 00:02:37.000]  小時候遇到很多人生的困難,
[00:02:37.000 --> 00:02:41.000]  經常會聽Beyond的歌,不是詩曲,是他的歌。
[00:02:41.000 --> 00:02:44.000]  當中有一首我那時候經常哼的,
