
[00:00:00.000 --> 00:00:02.000]  親愛的神
[00:00:02.000 --> 00:00:05.000]  祢的意念高過我們的意念
[00:00:05.000 --> 00:00:08.000]  祢的道路高過我們的道路
[00:00:08.000 --> 00:00:11.000]  求祢祝福以下這段時間
[00:00:11.000 --> 00:00:13.000]  讓我們不見他人
[00:00:13.000 --> 00:00:15.000]  只見神祢自己
[00:00:15.000 --> 00:00:18.000]  讓聖靈對我們每一位弟兄姊妹說話
[00:00:18.000 --> 00:00:22.000]  使用孩子的口來宣講得清楚
[00:00:22.000 --> 00:00:26.000]  我們的禱告奉靠救主基督得勝的明智祈求
[00:00:26.000 --> 00:00:27.000]  阿們
[00:00:27.000 --> 00:00:28.000]  大家請坐
[00:00:28.000 --> 00:00:37.000]  
[00:00:37.000 --> 00:00:39.000]  親愛的弟兄姊妹平安
[00:00:39.000 --> 00:00:41.000]  很感恩今天能夠在這裡
[00:00:41.000 --> 00:00:43.000]  跟大家分享神的話
[00:00:43.000 --> 00:00:45.000]  我深深覺得
[00:00:45.000 --> 00:00:46.000]  能夠宣講
[00:00:46.000 --> 00:00:48.000]  全是一份恩典
[00:00:48.000 --> 00:00:50.000]  因為事關幾個月前
[00:00:50.000 --> 00:00:52.000]  我自己也中了肺炎
[00:00:52.000 --> 00:00:55.000]  聲音也曾經一度變了
[00:00:55.000 --> 00:00:58.000]  失去了
[00:00:58.000 --> 00:01:02.000]  我當時也很害怕會不會影響日後的服事
[00:01:02.000 --> 00:01:06.000]  回想自己一年多目的的侍奉
[00:01:06.000 --> 00:01:08.000]  我不但近距離地
[00:01:08.000 --> 00:01:11.000]  經歷身邊親愛的同工
[00:01:11.000 --> 00:01:13.000]  包括梅士牧師
[00:01:13.000 --> 00:01:15.000]  Tammy傳道
[00:01:15.000 --> 00:01:18.000]  他們突然身患重病
[00:01:18.000 --> 00:01:22.000]  要做化療、標靶、電療的療程
[00:01:22.000 --> 00:01:25.000]  而我自己服事的團契
[00:01:25.000 --> 00:01:28.000]  我們的共同經歷也相當不少
[00:01:28.000 --> 00:01:32.000]  時間的關係只能夠分享一兩件
[00:01:32.000 --> 00:01:36.000]  有一位弟兄本來身體很健康
[00:01:36.000 --> 00:01:39.000]  突然間發現患上血癌
[00:01:39.000 --> 00:01:41.000]  前天才進醫院
[00:01:41.000 --> 00:01:45.000]  做一個自體血幹細胞移植的療程
[00:01:45.000 --> 00:01:47.000]  有一位年輕的媽媽
[00:01:47.000 --> 00:01:50.000]  突然在家裡有突發的心臟病
[00:01:50.000 --> 00:01:53.000]  要立即進醫院做緊急的疊橋
[00:01:53.000 --> 00:01:57.000]  遲一點也會有生命危險
[00:01:57.000 --> 00:01:59.000]  回想每一幕
[00:01:59.000 --> 00:02:01.000]  真的很記憶猶新
[00:02:01.000 --> 00:02:05.000]  但當中最令我深刻和動魄驚心的
[00:02:05.000 --> 00:02:08.000]  就是一對中年的夫婦
[00:02:08.000 --> 00:02:12.000]  他們經歷突然期待的生離死別
[00:02:12.000 --> 00:02:15.000]  而這件突發的苦難
[00:02:15.000 --> 00:02:19.000]  正正是發生在我們團契查完約伯這個人物之後
[00:02:19.000 --> 00:02:23.000]  我們弟兄姐妹也深深覺得
[00:02:23.000 --> 00:02:26.000]  是滿有恩典和憐憫的神
[00:02:26.000 --> 00:02:30.000]  他預早給我們自己的話語打底
[00:02:30.000 --> 00:02:33.000]  讓我們可以陪同肢體一起去面對
[00:02:33.000 --> 00:02:36.000]  這場生命裡的風暴
[00:02:36.000 --> 00:02:39.000]  約伯記頭一到二章
[00:02:39.000 --> 00:02:43.000]  作者很清楚地記述約伯
[00:02:43.000 --> 00:02:45.000]  本來約伯的人生是風和日麗
[00:02:45.000 --> 00:02:48.000]  但突然之間風雲驟變
[00:02:48.000 --> 00:02:51.000]  他本來是城中的首富
[00:02:51.000 --> 00:02:53.000]  兒女滿堂
