
[00:00:00.000 --> 00:00:04.320]  亦代表恩福東九堂向各位問安
[00:00:04.320 --> 00:00:08.480]  我們同感一靈,期待著
[00:00:08.480 --> 00:00:13.280]  也在禱告,紀念大家救神的時間
[00:00:13.280 --> 00:00:17.840]  大家繼續好好準備回應神的使命
[00:00:17.840 --> 00:00:20.720]  今天是復活的主日
[00:00:20.720 --> 00:00:23.360]  在耶穌復活的那一天
[00:00:23.360 --> 00:00:26.560]  路加夫音記載了有三件事情
[00:00:26.560 --> 00:00:28.880]  第一件事是婦女在清晨
[00:00:28.880 --> 00:00:33.360]  去到耶穌的墳墓發現耶穌的身體不見了
[00:00:33.360 --> 00:00:36.000]  第二件事是兩位門徒
[00:00:36.000 --> 00:00:39.760]  他們悠悠愁愁離開耶路撒冷
[00:00:39.760 --> 00:00:41.600]  去二萬五師
[00:00:41.600 --> 00:00:43.760]  直至耶穌和他們同台吃飯時
[00:00:43.760 --> 00:00:46.160]  才認出耶穌,這是第二件事
[00:00:46.160 --> 00:00:48.400]  第三件事是兩位門徒
[00:00:48.400 --> 00:00:49.680]  當他們認出耶穌後
[00:00:49.680 --> 00:00:51.280]  他們折返耶路撒冷
[00:00:51.280 --> 00:00:55.600]  向其他使徒和門徒分享復活主的見證
[00:00:55.600 --> 00:00:57.680]  當時主耶穌主動
[00:00:57.680 --> 00:01:00.720]  向他們顯現和證明
[00:01:00.720 --> 00:01:02.800]  他們真的復活了
[00:01:02.800 --> 00:01:04.800]  在這三件事中,大家會看到
[00:01:04.800 --> 00:01:06.880]  最初是耶穌的身體不見了
[00:01:06.880 --> 00:01:07.760]  去了哪裡?
[00:01:07.760 --> 00:01:08.720]  中間的一件事是
[00:01:08.720 --> 00:01:10.160]  耶穌若隱若現
[00:01:10.160 --> 00:01:11.920]  出現了,但門徒認不出
[00:01:11.920 --> 00:01:13.040]  最後又認出了
[00:01:13.040 --> 00:01:14.400]  而最後一件事
[00:01:14.400 --> 00:01:16.400]  很清楚,像真相大白一樣
[00:01:16.400 --> 00:01:17.760]  耶穌跳出來
[00:01:17.760 --> 00:01:20.720]  然後向門徒證明
[00:01:20.720 --> 00:01:22.160]  自己復活了
[00:01:22.160 --> 00:01:24.160]  並且繼續猜險門徒
[00:01:24.160 --> 00:01:27.360]  傳揚他的福音,來見證他
[00:01:27.360 --> 00:01:31.520]  今天,我講不完三件事
[00:01:31.520 --> 00:01:33.760]  我們只會講中間第二件事
[00:01:33.760 --> 00:01:35.200]  如果你想聽第一件事
[00:01:35.200 --> 00:01:39.200]  你就要聽今天華語崇拜
[00:01:39.200 --> 00:01:41.760]  進偉會講第一件事
[00:01:41.760 --> 00:01:43.760]  我會講第二件事
[00:01:43.760 --> 00:01:45.760]  其實我選第二件事來講
[00:01:45.760 --> 00:01:49.360]  都是會覺得第二件事的處境
[00:01:49.360 --> 00:01:51.520]  和我們今天比較相似
[00:01:51.520 --> 00:01:53.520]  一方面就是
[00:01:53.520 --> 00:01:55.840]  我們不能夠時光倒流
[00:01:55.840 --> 00:01:57.840]  去到耶穌的空墳墓
[00:01:57.840 --> 00:01:59.840]  看到耶穌身體的情況
[00:01:59.840 --> 00:02:01.840]  不見了,等等
[00:02:01.840 --> 00:02:03.840]  我們也都,耶穌還沒回來
[00:02:03.840 --> 00:02:05.840]  所以我們也不是去到第三件事
[00:02:05.840 --> 00:02:07.840]  我們可以親手去接觸耶穌
[00:02:07.840 --> 00:02:09.840]  我們現在的狀態就像在第二件事
[00:02:09.840 --> 00:02:11.840]  究竟耶穌在哪裡?
[00:02:11.840 --> 00:02:13.840]  究竟他是不是和我們一起?
[00:02:13.840 --> 00:02:15.840]  究竟我們怎樣去理解
[00:02:15.840 --> 00:02:17.840]  特別是面對當時的時局
[00:02:17.840 --> 00:02:21.840]  大家都憂憂愁愁的時候
[00:02:21.840 --> 00:02:23.840]  究竟我們怎樣去
[00:02:23.840 --> 00:02:25.840]  去看耶穌復活這件事?
[00:02:25.840 --> 00:02:27.840]  所以今天我們就
[00:02:27.840 --> 00:02:29.840]  或者我特別
[00:02:29.840 --> 00:02:33.840]  希望藉著兩位門徒的經歷
[00:02:33.840 --> 00:02:35.840]  和大家一起去反思
[00:02:35.840 --> 00:02:37.840]  主復活怎樣幫助我們
[00:02:37.840 --> 00:02:39.840]  去面對今天的處境
[00:02:39.840 --> 00:02:41.840]  尤其是我們一起去植堂的時候
[00:02:41.840 --> 00:02:43.840]  去實踐使命的時候
[00:02:43.840 --> 00:02:45.840]  究竟我們在這段空蕩的期
[00:02:45.840 --> 00:02:49.840]  好像過渡的期裡面
[00:02:49.840 --> 00:02:51.840]  我們有什麼可以來去預備呢?
[00:02:51.840 --> 00:02:53.840]  今天的經文就在
[00:02:53.840 --> 00:02:55.840]  路加福音的24章
[00:02:55.840 --> 00:02:57.840]  13到35節
[00:02:57.840 --> 00:03:01.840]  我會分三段
[00:03:01.840 --> 00:03:03.840]  找三點和大家分享
[00:03:03.840 --> 00:03:05.840]  第一點就是13到24節
[00:03:05.840 --> 00:03:07.840]  那裡就說到那兩個門徒
[00:03:07.840 --> 00:03:11.840]  意志消沉地離開耶路撒冷
[00:03:11.840 --> 00:03:13.840]  耶穌見到他們,訪問他們
[00:03:13.840 --> 00:03:15.840]  他們的心路歷程,在那裡就說得很清楚
[00:03:15.840 --> 00:03:17.840]  來去交代
[00:03:17.840 --> 00:03:19.840]  第二點就是說到耶穌
[00:03:19.840 --> 00:03:21.840]  聽了他們的心聲之後
