
[00:00:00.000 --> 00:00:04.000]  不知道今天回來的心情如何呢
[00:00:04.000 --> 00:00:09.000]  這個星期天氣很多轉變
[00:00:09.000 --> 00:00:11.000]  有時很熱三十多度
[00:00:11.000 --> 00:00:13.000]  出去的時候真的很辛苦
[00:00:13.000 --> 00:00:15.000]  有時下大雨
[00:00:15.000 --> 00:00:16.000]  很容易會濕身
[00:00:16.000 --> 00:00:18.000]  一進冷氣房間就很容易會著涼
[00:00:18.000 --> 00:00:20.000]  所以在這原故的時候
[00:00:20.000 --> 00:00:23.000]  懇請頂梓梅一切都保重
[00:00:23.000 --> 00:00:25.000]  出入要戴一把傘
[00:00:25.000 --> 00:00:26.000]  穩妥一點
[00:00:26.000 --> 00:00:27.000]  可以擋一下太陽
[00:00:27.000 --> 00:00:28.000]  可以遮一下雨
[00:00:28.000 --> 00:00:30.000]  凡事都要保重小心
[00:00:30.000 --> 00:00:34.000]  可能來到教會禮堂
[00:00:34.000 --> 00:00:36.000]  冷氣機比較難處理
[00:00:36.000 --> 00:00:38.000]  因為開得低一點就會很危險
[00:00:38.000 --> 00:00:40.000]  開得大一點會覺得冷
[00:00:40.000 --> 00:00:43.000]  所以懇請大家多戴一件外套
[00:00:43.000 --> 00:00:47.000]  以致避免氣溫調控上的困難
[00:00:47.000 --> 00:00:49.000]  以致帶來很多不便
[00:00:49.000 --> 00:00:51.000]  感謝上帝的恩典
[00:00:51.000 --> 00:00:55.000]  很多時候給我們很多機會去試夢
[00:00:55.000 --> 00:00:56.000]  去經歷它
[00:00:56.000 --> 00:00:59.000]  有時我們人生是否像天氣一樣
[00:00:59.000 --> 00:01:01.000]  有時熱得救命
[00:01:01.000 --> 00:01:02.000]  剛巧我認識的頂梓梅
[00:01:02.000 --> 00:01:03.000]  飛到加拿大
[00:01:03.000 --> 00:01:05.000]  那邊三十多度
[00:01:05.000 --> 00:01:07.000]  我們還以為那邊是避暑
[00:01:07.000 --> 00:01:09.000]  誰知原來不是
[00:01:09.000 --> 00:01:11.000]  發覺有時下大雨
[00:01:11.000 --> 00:01:13.000]  昨晚又下雨
[00:01:13.000 --> 00:01:17.000]  有時我們人生何嘗不是這樣
[00:01:17.000 --> 00:01:19.000]  回顧我們幾十年的人生
[00:01:19.000 --> 00:01:21.000]  很多起起跌跌
[00:01:21.000 --> 00:01:23.000]  又或者回到這兩三年
[00:01:23.000 --> 00:01:25.000]  在香港生活的情況
[00:01:25.000 --> 00:01:27.000]  我們面對很多難處
[00:01:27.000 --> 00:01:30.000]  有時如果叫你去讚美敬拜神
[00:01:30.000 --> 00:01:31.000]  感謝神的時候
[00:01:31.000 --> 00:01:34.000]  我們發覺不容易說出口
[00:01:34.000 --> 00:01:36.000]  真的有很大難度
[00:01:36.000 --> 00:01:37.000]  不過無論如何
[00:01:37.000 --> 00:01:40.000]  在聖經裏面有很多詩篇的經歷
[00:01:40.000 --> 00:01:42.000]  很寶貴的訊息提醒我們
[00:01:42.000 --> 00:01:43.000]  可以告訴我們
[00:01:43.000 --> 00:01:45.000]  即使面對什麼困難
[00:01:45.000 --> 00:01:50.000]  我們依然可以敬拜讚美天父上帝
[00:01:50.000 --> 00:01:53.000]  這是聖經給我們很寶貴的訊息
[00:01:53.000 --> 00:01:54.000]  當我們面對這種情況時
[00:01:54.000 --> 00:01:55.000]  有人會說
[00:01:55.000 --> 00:01:58.000]  這樣會否很自我安慰
[00:01:58.000 --> 00:02:00.000]  一點也不是
[00:02:00.000 --> 00:02:01.000]  當你明白
[00:02:01.000 --> 00:02:05.000]  為什麼我們信徒今天要敬拜讚美天父上帝的時候
[00:02:05.000 --> 00:02:07.000]  你不會因為身邊的環境
[00:02:07.000 --> 00:02:11.000]  記不記得我們特首最近說了一句話
[00:02:11.000 --> 00:02:12.000]  記不記得
[00:02:12.000 --> 00:02:13.000]  她說過很多話
[00:02:13.000 --> 00:02:14.000]  跟著說不要考我
[00:02:14.000 --> 00:02:15.000]  她說過一句話
[00:02:15.000 --> 00:02:19.000]  她說運動員不應該受環境影響
[00:02:19.000 --> 00:02:21.000]  記不記得
[00:02:21.000 --> 00:02:23.000]  這句話本身沒有錯
[00:02:23.000 --> 00:02:25.000]  不過你不要理會她後面的爭拗
[00:02:25.000 --> 00:02:27.000]  同樣道理就是我們今天信徒
[00:02:27.000 --> 00:02:30.000]  我們不管環境如何
[00:02:30.000 --> 00:02:33.000]  這個天父上帝是值得我們去敬拜
[00:02:33.000 --> 00:02:35.000]  這是一個事實
[00:02:35.000 --> 00:02:38.000]  所以無論我們今天遇到什麼環境
[00:02:38.000 --> 00:02:41.000]  我們都可以敬拜讚美天父上帝
[00:02:41.000 --> 00:02:44.000]  很願意今天透過這本詩篇裏面
[00:02:44.000 --> 00:02:45.000]  詩篇有一百篇
[00:02:45.000 --> 00:02:47.000]  可以一起分享
[00:02:47.000 --> 00:02:48.000]  一起經歷
[00:02:48.000 --> 00:02:50.000]  看看上帝如何藉著私人告訴我們
[00:02:50.000 --> 00:02:52.000]  原來這位上帝是這樣的
[00:02:52.000 --> 00:02:54.000]  很值得我們敬拜
