
[00:00:00.000 --> 00:00:03.000]  今晚來到大家當中是很感恩
[00:00:03.000 --> 00:00:06.000]  今晚我會講的經文是來自
[00:00:06.000 --> 00:00:08.000]  尼加書的第四章
[00:00:08.000 --> 00:00:11.000]  尼加書是我們在中堂都在講的一個系列
[00:00:11.000 --> 00:00:14.000]  大家可以上網聽另外頭三章
[00:00:14.000 --> 00:00:16.000]  第三章是Wiley傳道講的
[00:00:16.000 --> 00:00:18.000]  今晚先開CC我們一起禱告
[00:00:18.000 --> 00:00:20.000]  然後就讀今晚的經文
[00:00:20.000 --> 00:00:22.000]  抽出了我們的一生
[00:00:22.000 --> 00:00:25.000]  好像剛才詩歌所唱到給我們聽
[00:00:25.000 --> 00:00:27.000]  我們在這個裏面
[00:00:27.000 --> 00:00:29.000]  才能夠有在風中起舞
[00:00:29.000 --> 00:00:32.000]  我們在生命裏面有很多的不堪
[00:00:32.000 --> 00:00:34.000]  我們有很多的低窪
[00:00:34.000 --> 00:00:36.000]  很多的逆流
[00:00:36.000 --> 00:00:38.000]  主要求你今晚在這個會場裏面
[00:00:38.000 --> 00:00:40.000]  你捉緊我們每個人的心
[00:00:40.000 --> 00:00:42.000]  你向我們每個人講說話
[00:00:42.000 --> 00:00:44.000]  你引領我們每一個歸向你
[00:00:44.000 --> 00:00:46.000]  願主你幫助帶領整個會場
[00:00:46.000 --> 00:00:48.000]  你的靈臨在
[00:00:48.000 --> 00:00:50.000]  我們禱告奉耶穌基督的名而求
[00:00:50.000 --> 00:00:52.000]  阿們
[00:00:52.000 --> 00:00:56.000]  今日講題是戰爭與和平
[00:00:56.000 --> 00:00:58.000]  跟這本書沒有關係
[00:00:58.000 --> 00:01:00.000]  不過這本書也很值得看
[00:01:00.000 --> 00:01:02.000]  是人類少有的傑作
[00:01:02.000 --> 00:01:04.000]  不過我想借這本書的名字
[00:01:04.000 --> 00:01:06.000]  講今天的離家書
[00:01:06.000 --> 00:01:08.000]  離家書第四章
[00:01:08.000 --> 00:01:12.000]  我們一起讀出這本經文
[00:01:12.000 --> 00:01:14.000]  我想在第一節
[00:01:14.000 --> 00:01:18.000]  到第五節
[00:01:18.000 --> 00:01:21.000]  請我們的弟兄先幫我們讀出來
[00:01:21.000 --> 00:01:22.000]  第一到第五節
[00:01:22.000 --> 00:01:23.000]  我們一起來
[00:01:23.000 --> 00:01:25.000]  弟兄給些雄壯的聲音
[00:01:25.000 --> 00:01:27.000]  一二三
[00:01:27.000 --> 00:01:29.000]  末後的日子
[00:01:29.000 --> 00:01:31.000]  耶和華殿的山必建立
[00:01:31.000 --> 00:01:33.000]  超乎珠山
[00:01:33.000 --> 00:01:35.000]  高舉過於萬靈
[00:01:35.000 --> 00:01:38.000]  萬民都要留歸這山
[00:01:38.000 --> 00:01:41.000]  必有許多民族前往說
[00:01:41.000 --> 00:01:42.000]  來吧
[00:01:42.000 --> 00:01:44.000]  我們登耶和華的山
[00:01:44.000 --> 00:01:46.000]  到雅各臣的殿
[00:01:46.000 --> 00:01:50.000]  他必將他的道指教我們
[00:01:50.000 --> 00:01:52.000]  我們也要行他的路
