
[00:00:00.000 --> 00:00:06.760]  剛才主席Esther傳道問大家,大家帶了什麼回來?
[00:00:06.760 --> 00:00:12.800]  我想問大家,你帶了什麼心情回來?
[00:00:12.800 --> 00:00:18.400]  是很興奮,一起敬拜主,還是很累,很多事情要做的心情?
[00:00:18.400 --> 00:00:28.400]  我不知道你現在的心情是什麼,不過我相信這兩天發生的事情,的確令我們心情很沉重。
[00:00:28.400 --> 00:00:39.400]  特別是今天是很特別的日子,我們可以用聖餐紀念我們的主,更重要的是我們能夠回來一起敬拜。
[00:00:39.400 --> 00:00:46.400]  我想這可以讓我們暫時放下外面沉重的心情。
[00:00:46.400 --> 00:00:54.400]  不過我想分享一下,最近,看到標題就知道了,我最近看了一部電影,
[00:00:54.400 --> 00:01:05.400]  那部電影我覺得挺好看的,坦白說,橋段有點舊,不過我覺得最重要的是它是瘦的,我覺得也不錯。
[00:01:05.400 --> 00:01:15.400]  我再看看,這部電影好像很受歡迎,再找一下資料有什麼好看的,為什麼人們這麼喜歡看。
[00:01:15.400 --> 00:01:28.400]  原來它現在暫時開埠以來,廣東話票房是冠軍,過億的票房,這部電影很厲害。
[00:01:28.400 --> 00:01:41.400]  不期然被這部電影的橋段吸引了,原來電影裡面討論到一些社會不公義的情況。
[00:01:41.400 --> 00:01:51.400]  雖然它是一部電影,但它加入了很多不同的戲劇元素,大家可以看看對這部電影有什麼評價。
[00:01:51.400 --> 00:02:06.400]  就像平時大家一樣,看貼文當然是看留言,我也是一樣,看電影也要看留言,看看這部電影對人有什麼評價。
[00:02:06.400 --> 00:02:18.400]  不過我發現這部電影完全不是講述這部電影的內容,而是講述自己的感受,我覺得挺有趣的,跟大家分享一下。
[00:02:18.400 --> 00:02:34.400]  有兩三句,電影裡面有句"Everything is wrong",有個人說"天空眼"這三個字,是期待著這一天的到來,是一個夢想,很厲害。
[00:02:34.400 --> 00:02:53.400]  有些人說看完之後很大快人心,宣洩了心裡的一些東西,我覺得這些完全是電影的評語,其實也很特別,跟大家分享一下。
