
[00:00:00.000 --> 00:00:02.360]  各位頂指妹 各位恩福的朋友
[00:00:02.360 --> 00:00:04.800]  我們早晨平安
[00:00:04.800 --> 00:00:08.580]  剛才施樂提醒我們今天是年廿八
[00:00:08.580 --> 00:00:11.080]  就是你在蛇年將盡
[00:00:11.080 --> 00:00:14.120]  我們一年歲首到年終
[00:00:14.120 --> 00:00:16.160]  都能夠在主面前相聚
[00:00:16.160 --> 00:00:17.600]  正如岳聖牧師所說
[00:00:17.600 --> 00:00:20.760]  是上帝給我們一個很美好的恩典
[00:00:20.760 --> 00:00:23.440]  一直聽著岳聖牧師和師班
[00:00:23.440 --> 00:00:25.160]  帶領我們詩歌的時候
[00:00:25.160 --> 00:00:28.080]  心中很有感動 很有感觸
[00:00:28.080 --> 00:00:30.080]  我去過很多不同的教會侍奉
[00:00:30.080 --> 00:00:32.160]  雖然恩福是最久的其中一間
[00:00:32.160 --> 00:00:35.800]  我見到能夠牧養到一個師班
[00:00:35.800 --> 00:00:38.640]  是牧養裏面一件最艱難的事
[00:00:38.640 --> 00:00:41.280]  如果大家去過教會多就知道了
[00:00:41.280 --> 00:00:43.800]  但我見到岳聖牧師和他的群體
[00:00:43.800 --> 00:00:45.720]  能夠將師班每一天
[00:00:45.720 --> 00:00:47.680]  每一個星期獻呈給大家
[00:00:47.680 --> 00:00:51.040]  都是上帝一個很美好的獻呈
[00:00:51.040 --> 00:00:54.360]  在蛇年將盡 馬年將來
[00:00:54.360 --> 00:00:57.960]  我就想起曹操寫過一首古詩
[00:00:57.960 --> 00:01:00.160]  他寫了一首詩
[00:01:00.160 --> 00:01:03.480]  他當時叫做「統一了北方」
[00:01:03.480 --> 00:01:05.000]  他寫了一首詩
[00:01:05.000 --> 00:01:08.600]  「騰蛇成霧 終為土灰
[00:01:08.600 --> 00:01:12.560]  老氣伏櫪 志在千里」
[00:01:12.560 --> 00:01:15.280]  Catherine 知道真厲害
[00:01:15.280 --> 00:01:17.520]  即是他在說
[00:01:17.520 --> 00:01:22.680]  就算一條蛇有多少變幻
[00:01:22.680 --> 00:01:24.920]  最終都是土灰
[00:01:24.920 --> 00:01:28.640]  但我們的心智像一隻老千里馬
[00:01:28.640 --> 00:01:30.240]  鱷在馬槽裏面
[00:01:30.240 --> 00:01:31.480]  願意為主擺上
[00:01:31.480 --> 00:01:34.320]  就算多遠多遠我們都能夠行得到
[00:01:34.320 --> 00:01:36.160]  很期望我們在新的一年 馬年
[00:01:36.160 --> 00:01:40.240]  我們都猶如老氣伏櫪 志在千里
[00:01:40.240 --> 00:01:44.880]  今日講的經文是來自舊約的尼加書
[00:01:44.880 --> 00:01:46.920]  今日將會講到第六章
[00:01:46.920 --> 00:01:48.640]  Wiley傳道將會和大家
[00:01:48.640 --> 00:01:50.400]  在未來結束第七章
[00:01:50.400 --> 00:01:53.480]  我們有整卷的尼加書去講道
[00:01:53.480 --> 00:01:55.040]  今日到第六章有一卷
[00:01:55.040 --> 00:01:56.840]  大家很熟悉的一句經文
[00:01:56.840 --> 00:01:59.840]  就是「恆公義好憐憫
[00:01:59.840 --> 00:02:02.920]  傳謙卑的心 與神同行」
[00:02:02.920 --> 00:02:04.200]  大家都懂得背
[00:02:04.200 --> 00:02:06.520]  很想大家從公義的角度
[00:02:06.520 --> 00:02:09.400]  去思想我們今日社會的境況
[00:02:09.400 --> 00:02:10.320]  開始的時候
[00:02:10.320 --> 00:02:11.840]  我想和大家一起讀出
[00:02:11.840 --> 00:02:13.760]  今日的尼加書的經文
[00:02:13.760 --> 00:02:18.240]  我想請姐妹先讀一至五節
[00:02:18.240 --> 00:02:20.040]  然後弟兄讀六至八節
[00:02:20.040 --> 00:02:21.880]  然後我們一起讀九至十六節
[00:02:21.880 --> 00:02:24.840]  這個都是今天尼加書三個的場景
[00:02:24.840 --> 00:02:26.760]  我首先請姐妹
[00:02:26.760 --> 00:02:28.400]  好 一二三
