
[00:00:00.000 --> 00:00:04.000]  今日跟大家分享的題目很特別
[00:00:04.000 --> 00:00:06.000]  不是真理,是真氣
[00:00:06.000 --> 00:00:08.000]  全城有什麼意思呢?
[00:00:08.000 --> 00:00:14.000]  全城其實大家都會說的
[00:00:14.000 --> 00:00:17.000]  在香港人口老化越來越明顯
[00:00:17.000 --> 00:00:19.000]  大家感受到嗎?
[00:00:19.000 --> 00:00:23.000]  在2023年底,即去年年底
[00:00:23.000 --> 00:00:29.000]  其實有些統計是60歲以上的香港人口
[00:00:29.000 --> 00:00:31.000]  知不知道佔百分之幾嗎?
[00:00:31.000 --> 00:00:34.000]  我看過是百分之三十一
[00:00:34.000 --> 00:00:37.000]  三分一,所以會越來越多
[00:00:37.000 --> 00:00:41.000]  退休潮其實已經形成了
[00:00:41.000 --> 00:00:45.000]  很多行業都有共同的問題
[00:00:45.000 --> 00:00:49.000]  就是如何找後繼的人
[00:00:49.000 --> 00:00:52.000]  或者有些後繼無人怎麼辦呢?
[00:00:52.000 --> 00:00:54.000]  教會也不例外
[00:00:54.000 --> 00:00:58.000]  因此全城成為各個領域的熱門話題
[00:00:58.000 --> 00:01:01.000]  全城的什麼質素呢?
[00:01:01.000 --> 00:01:03.000]  如何全城化呢?
[00:01:03.000 --> 00:01:05.000]  成為議題的焦點
[00:01:05.000 --> 00:01:09.000]  今日跟大家講的經文前文
[00:01:09.000 --> 00:01:13.000]  在題目後書三章五節上半部說
[00:01:13.000 --> 00:01:17.000]  教會在敬虔上的全城問題
[00:01:17.000 --> 00:01:18.000]  那裡說到
[00:01:18.000 --> 00:01:23.000]  有敬虔的外貌卻背棄了敬虔的實質
[00:01:23.000 --> 00:01:27.000]  在新熱館揮霍有敬虔的形式
[00:01:27.000 --> 00:01:31.000]  卻否定敬虔的能力
[00:01:31.000 --> 00:01:33.000]  全城的問題就是
[00:01:33.000 --> 00:01:37.000]  這裡說到只有外貌、外形
[00:01:37.000 --> 00:01:39.000]  而沒有實質的能力
[00:01:39.000 --> 00:01:43.000]  所以保羅在那一節下半部補充說
[00:01:43.000 --> 00:01:46.000]  保羅叫我們要避開這些人
[00:01:46.000 --> 00:01:50.000]  在著名金庸武俠小說
[00:01:50.000 --> 00:01:52.000]  射雕英雄傳
[00:01:52.000 --> 00:01:54.000]  誰看過?
[00:01:54.000 --> 00:01:56.000]  大部分人看過
[00:01:56.000 --> 00:02:00.000]  以前不要看過也看過劇集
[00:02:00.000 --> 00:02:05.000]  裡面有一對奇特詭異的情侶
[00:02:05.000 --> 00:02:09.000]  他們使用詭異的武功叫九陰八角爪
[00:02:09.000 --> 00:02:14.000]  他們本來是東邪黃藥師的徒弟
[00:02:14.000 --> 00:02:18.000]  後來偷了九陰真經的下半部
[00:02:18.000 --> 00:02:19.000]  叫斯賓
[00:02:19.000 --> 00:02:21.000]  只是下半部
[00:02:21.000 --> 00:02:25.000]  他們所練的武功本來是絕世武功
[00:02:25.000 --> 00:02:30.000]  但他們完全沒有練過絕世武功的內功
[00:02:30.000 --> 00:02:33.000]  而他們越練就越傷身
[00:02:33.000 --> 00:02:36.000]  所以他們只有外形
[00:02:36.000 --> 00:02:41.000]  而沒有實質本來應有的武功能力
[00:02:41.000 --> 00:02:45.000]  他們後來變成人見人怕的
[00:02:45.000 --> 00:02:47.000]  黑風雙煞
[00:02:47.000 --> 00:02:50.000]  每個人都要避開他們
[00:02:50.000 --> 00:02:54.000]  保羅又怎樣做到全城的功夫呢?
[00:02:54.000 --> 00:02:58.000]  所傳的又是甚麼實質的能力呢?
[00:02:58.000 --> 00:03:04.000]  在今天的經文上下文
[00:03:04.000 --> 00:03:06.000]  其實三章一節
[00:03:06.000 --> 00:03:10.000]  到四章八節保羅就教導提摩太
[00:03:10.000 --> 00:03:14.000]  教導我門徒訓練的內容
[00:03:14.000 --> 00:03:18.000]  我們看一看這段經文的結構
[00:03:18.000 --> 00:03:22.000]  大家更加了解今天講的細節的經文
[00:03:22.000 --> 00:03:24.000]  結構中提及
[00:03:24.000 --> 00:03:28.000]  A和A派是首尾呼應的
[00:03:28.000 --> 00:03:33.000]  這是聖經中很普遍的交錯平衡體
[00:03:33.000 --> 00:03:38.000]  A和A派都是講到末世
[00:03:38.000 --> 00:03:42.000]  A是講到末世艱難的日子
[00:03:42.000 --> 00:03:45.000]  A派是四章一到八節
[00:03:45.000 --> 00:03:48.000]  講到末世審判日子有公義的冠冕
[00:03:48.000 --> 00:03:52.000]  B和B派就是三章二到五節
[00:03:52.000 --> 00:03:56.000]  提摩太要避開活在十九種罪的人
[00:03:56.000 --> 00:04:01.000]  而B派就是三章十到十五節上半部
[00:04:01.000 --> 00:04:04.000]  肯定提摩太有生命的質素
[00:04:04.000 --> 00:04:07.000]  是全城自他的家族和保羅
[00:04:07.000 --> 00:04:10.000]  C和C派就是三章六到九節
[00:04:10.000 --> 00:04:14.000]  講到活在十九種罪的人
[00:04:14.000 --> 00:04:17.000]  雖然他常常學習真理
