
[00:00:00.000 --> 00:00:08.440]  祂答應我們 祈求我們在全城的路上繼續
[00:00:08.440 --> 00:00:12.400]  祝福每一個堂會 祝福普世的堂會
[00:00:12.400 --> 00:00:14.680]  以致我們教會面對的斷層
[00:00:14.680 --> 00:00:16.680]  看到我們有危亦有機
[00:00:16.680 --> 00:00:19.520]  保守我們 在今天崇拜的裡面
[00:00:19.520 --> 00:00:22.920]  聽到上帝親自激勵鼓勵我們
[00:00:22.920 --> 00:00:25.920]  我們禱告奉耶穌基督的名 阿們
[00:00:28.400 --> 00:00:31.800]  我早前研究了一本書
[00:00:31.800 --> 00:00:35.400]  叫《誰動了我的語錄》
[00:00:35.400 --> 00:00:37.080]  Who Moved My Cheese
[00:00:37.080 --> 00:00:39.080]  不知道有多少人看過這本書
[00:00:39.080 --> 00:00:42.480]  這是一本商業預言的書
[00:00:42.480 --> 00:00:45.080]  翻譯了37種預言
[00:00:45.080 --> 00:00:49.080]  在紐約時報高舉暢銷書的榜
[00:00:49.080 --> 00:00:51.080]  停留了五年
[00:00:51.080 --> 00:00:53.080]  看看能否出這本書
[00:00:53.080 --> 00:00:59.360]  Sunny 教我如何看這幾個螢幕
[00:00:59.360 --> 00:01:01.360]  讓我知道東西出了哪裡
[00:01:01.360 --> 00:01:02.360]  很感謝他的服侍
[00:01:02.360 --> 00:01:04.760]  這本書講迷宮
[00:01:04.760 --> 00:01:07.280]  迷宮裡面有兩隻老鼠
[00:01:07.280 --> 00:01:09.280]  老鼠A和老鼠B
[00:01:09.280 --> 00:01:12.280]  老鼠A和老鼠B都住在迷宮裡
[00:01:12.280 --> 00:01:13.280]  住得很開心
[00:01:13.280 --> 00:01:14.280]  因為有很大的芝士
[00:01:14.280 --> 00:01:15.280]  吃不完的芝士
[00:01:15.280 --> 00:01:16.280]  一邊吃一邊吃
[00:01:16.280 --> 00:01:18.280]  他們吃了很多年
[00:01:18.280 --> 00:01:20.280]  就好像香港過去的日子
[00:01:20.280 --> 00:01:22.280]  樓市升 股市升
[00:01:22.280 --> 00:01:23.280]  很舒服很多年
[00:01:23.280 --> 00:01:24.280]  不過有一天
[00:01:24.280 --> 00:01:26.280]  突然間那塊芝士不見了
[00:01:26.280 --> 00:01:28.280]  不見了那兩隻老鼠
[00:01:28.280 --> 00:01:29.280]  就不知道怎麼辦
[00:01:29.280 --> 00:01:31.280]  老鼠A就決定
[00:01:31.280 --> 00:01:34.280]  他覺得舊的日子會回來
[00:01:34.280 --> 00:01:36.280]  70年代 80年代的好日子會回來
[00:01:36.280 --> 00:01:37.280]  所以他坐在那裡
[00:01:37.280 --> 00:01:39.280]  等這塊芝士再一次出現
[00:01:39.280 --> 00:01:41.280]  另一隻老鼠就不這樣想
[00:01:41.280 --> 00:01:43.280]  他說這個芝士沒有了
[00:01:43.280 --> 00:01:45.280]  我一定走去找
[00:01:45.280 --> 00:01:47.280]  去迷宮裡面周圍找
[00:01:47.280 --> 00:01:48.280]  會不會有其他方法
[00:01:48.280 --> 00:01:50.280]  找到另一塊芝士呢
[00:01:50.280 --> 00:01:54.280]  他就開始急速作出改變
[00:01:54.280 --> 00:01:56.280]  最後這本預言書就說
[00:01:56.280 --> 00:01:59.280]  老鼠B找到新的芝士
[00:01:59.280 --> 00:02:02.280]  而老鼠A就餓了
[00:02:02.280 --> 00:02:03.280]  有時候人們都會在
