
[00:00:00.000 --> 00:00:07.000]  今日講的題目叫做個心甘命底的堅信徒
[00:00:07.000 --> 00:00:11.000]  不知道大家有沒有試過不甘心?
[00:00:11.000 --> 00:00:13.000]  應該有吧?
[00:00:13.000 --> 00:00:14.000]  還是每個人都未試過?
[00:00:14.000 --> 00:00:17.000]  很多事都很滿意的你一生人
[00:00:17.000 --> 00:00:20.000]  有沒有試過不甘心
[00:00:20.000 --> 00:00:22.000]  最後一張便宜的機票
[00:00:22.000 --> 00:00:25.000]  竟然被人按了下去
[00:00:25.000 --> 00:00:26.000]  接觸仙燈
[00:00:26.000 --> 00:00:30.000]  又或者公司明明是我表現比較好
[00:00:30.000 --> 00:00:34.000]  我的經驗資歷比較深
[00:00:34.000 --> 00:00:38.000]  但不知為何上司決定升他而不升我
[00:00:38.000 --> 00:00:39.000]  又或者不知為何
[00:00:39.000 --> 00:00:41.000]  無論我有多努力
[00:00:41.000 --> 00:00:44.000]  老師總是看不到我的進步
[00:00:44.000 --> 00:00:46.000]  明明是我先來的
[00:00:46.000 --> 00:00:48.000]  位置就先給他拿了
[00:00:48.000 --> 00:00:49.000]  明明是弟弟的錯
[00:00:49.000 --> 00:00:51.000]  爸爸竟然罰我
[00:00:51.000 --> 00:00:55.000]  不罰弟弟等等
[00:00:55.000 --> 00:01:00.000]  根據AI搜尋的整合
[00:01:00.000 --> 00:01:02.000]  不甘心
[00:01:02.000 --> 00:01:05.000]  就是指心裏不服氣
[00:01:05.000 --> 00:01:09.000]  不情願或者不願意接受那個結果
[00:01:09.000 --> 00:01:11.000]  通常是因為付出了之後
[00:01:11.000 --> 00:01:13.000]  得不到預期的回報
[00:01:13.000 --> 00:01:15.000]  或者不滿意的現狀
[00:01:15.000 --> 00:01:20.000]  是一種對現狀感到沒辦法接受的情緒
[00:01:20.000 --> 00:01:21.000]  幾個月前
[00:01:21.000 --> 00:01:24.000]  我和大家一起看過一個堅信徒
[00:01:24.000 --> 00:01:27.000]  叫做哈巴谷先知的事跡
[00:01:27.000 --> 00:01:31.000]  他本來因為神沒有成就他認為理所當然的事
[00:01:31.000 --> 00:01:32.000]  而感到心心不忿
[00:01:32.000 --> 00:01:34.000]  向神投訴
[00:01:34.000 --> 00:01:37.000]  但經過他和神的幾輪辯論之後
[00:01:37.000 --> 00:01:39.000]  他終於明白了
[00:01:39.000 --> 00:01:42.000]  為何甚麼是神的主權
[00:01:42.000 --> 00:01:44.000]  而心服口服
[00:01:44.000 --> 00:01:47.000]  他更因為對神的計劃有更多的理解
[00:01:47.000 --> 00:01:51.000]  而願意繼續肩負神給他的重任
[00:01:51.000 --> 00:01:55.000]  今天我們會一起看另一個堅信徒的故事
[00:01:55.000 --> 00:01:58.000]  他的名字叫做何西亞
[00:01:58.000 --> 00:02:01.000]  我們一起讀今天第一段經文
[00:02:01.000 --> 00:02:06.000]  在何西亞書一章一至十節
[00:02:06.000 --> 00:02:07.000]  一起讀
[00:02:07.000 --> 00:02:11.000]  當烏西亞約坦哈哈斯
[00:02:11.000 --> 00:02:14.000]  欺西加作猶大王
[00:02:14.000 --> 00:02:20.000]  約阿斯的兒子耶羅邦安作以色王的時候
[00:02:20.000 --> 00:02:25.000]  耶和華的話臨到比利的兒子何西亞
[00:02:25.000 --> 00:02:29.000]  耶和華初次向何西亞說話
[00:02:29.000 --> 00:02:31.000]  耶和華對他說
[00:02:31.000 --> 00:02:35.000]  你去娶一個淫蕩的女子為妻
[00:02:35.000 --> 00:02:39.000]  收那從淫亂所生的兒女
[00:02:39.000 --> 00:02:42.000]  因為這地恆大淫亂
[00:02:42.000 --> 00:02:44.000]  離棄耶和華
[00:02:44.000 --> 00:02:50.000]  於是何西亞去娶了狄拉欽的女兒戈蜜
[00:02:50.000 --> 00:02:55.000]  她就懷孕為何西亞生了一個兒子
[00:02:55.000 --> 00:02:58.000]  耶和華對何西亞說
[00:02:58.000 --> 00:03:01.000]  給她起名叫耶斯列
[00:03:01.000 --> 00:03:03.000]  因為再過一天時
[00:03:03.000 --> 00:03:09.000]  我要懲罰耶和華在耶斯列流人血的罪
[00:03:09.000 --> 00:03:13.000]  也必終結以色列家的王朝
[00:03:13.000 --> 00:03:14.000]  到那日
[00:03:14.000 --> 00:03:19.000]  我必在耶斯列平原截斷以色列的宮
[00:03:19.000 --> 00:03:21.000]  戈蜜又懷孕
[00:03:21.000 --> 00:03:23.000]  生了一個女兒
[00:03:23.000 --> 00:03:26.000]  耶和華對何西亞說
[00:03:26.000 --> 00:03:29.000]  給她起名叫羅路阿媽
[00:03:29.000 --> 00:03:33.000]  因為我必不再憐憫以色列家
[00:03:33.000 --> 00:03:35.000]  絕不赦免他們
[00:03:35.000 --> 00:03:38.000]  我卻要憐憫猶太家
