
[00:00:00.000 --> 00:00:02.000]  今日是上帝的話語帶領著我們
[00:00:02.000 --> 00:00:03.500]  在萬變的世代當中
[00:00:03.500 --> 00:00:06.500]  我們很感恩繼續有神的話語帶領著我們
[00:00:06.500 --> 00:00:07.500]  不知道大家記不記得
[00:00:07.500 --> 00:00:09.500]  由五月一號開始
[00:00:09.500 --> 00:00:12.500]  我們中堂崇拜有一個講道系列
[00:00:12.500 --> 00:00:14.500]  這個系列的名稱叫做
[00:00:14.500 --> 00:00:16.500]  「憐於你」
[00:00:16.500 --> 00:00:18.500]  有沒有人記得?
[00:00:18.500 --> 00:00:20.000]  今天已經是最後一講了
[00:00:20.000 --> 00:00:21.500]  由五月一號開始
[00:00:21.500 --> 00:00:24.000]  我們講道說怎樣憐於神
[00:00:24.000 --> 00:00:27.000]  然後怎樣憐於自己
[00:00:27.000 --> 00:00:29.500]  然後憐於家人
[00:00:29.500 --> 00:00:31.000]  憐於弟兄姊妹
[00:00:31.000 --> 00:00:33.000]  到今天我們會講憐於鄰舍
[00:00:33.000 --> 00:00:35.500]  如果你想起五月
[00:00:35.500 --> 00:00:37.500]  大家記不記得五月的時候
[00:00:37.500 --> 00:00:38.500]  發生了什麼事?
[00:00:38.500 --> 00:00:39.500]  三四五
[00:00:39.500 --> 00:00:41.500]  第五波疫情
[00:00:41.500 --> 00:00:45.500]  如果你記得那時候復活節之前
[00:00:45.500 --> 00:00:48.500]  我們有個壽苦節或者禦苦期的時候
[00:00:48.500 --> 00:00:51.500]  我們恩福就是一個叫恩苦與共
[00:00:51.500 --> 00:00:52.500]  主愛恩情
[00:00:52.500 --> 00:00:53.500]  還有些印象
[00:00:53.500 --> 00:00:54.500]  幾個月前
[00:00:54.500 --> 00:00:56.500]  我們就想
[00:00:56.500 --> 00:00:58.500]  在第五波大家都很怕出街
[00:00:58.500 --> 00:01:00.500]  今天崇拜回來
[00:01:00.500 --> 00:01:01.500]  當然很開心
[00:01:01.500 --> 00:01:02.500]  但幾個月前
[00:01:02.500 --> 00:01:04.500]  其實大家都仍然在家裡
[00:01:04.500 --> 00:01:06.500]  不要說出街
[00:01:06.500 --> 00:01:08.500]  平常日常生活都受到很多影響
[00:01:08.500 --> 00:01:10.500]  我們都感受到那種孤單
[00:01:10.500 --> 00:01:13.500]  但是在教會附近
[00:01:13.500 --> 00:01:14.500]  或者周圍的鄰舍
[00:01:14.500 --> 00:01:18.500]  其實當中經歷更多的孤單和艱難
[00:01:18.500 --> 00:01:22.500]  如果你記得我們除了講恩苦與共
[00:01:22.500 --> 00:01:24.500]  也講到主愛恩情
[00:01:24.500 --> 00:01:25.500]  我們很關心那些鄰舍
