
[00:00:00.000 --> 00:00:04.000]  突然間又是10月了
[00:00:04.000 --> 00:00:06.000]  好像暑假過了不久
[00:00:06.000 --> 00:00:07.400]  然後就開學了
[00:00:07.400 --> 00:00:09.400]  現在已經是10月了
[00:00:09.400 --> 00:00:11.400]  我又記起暑假裏面
[00:00:11.400 --> 00:00:14.400]  我不知道你們覺得怎樣
[00:00:14.400 --> 00:00:17.400]  我見青少部的暑假都很精彩
[00:00:17.400 --> 00:00:19.400]  有短孫 有營會
[00:00:19.400 --> 00:00:21.400]  很多活動 我不知道你們有沒有參與
[00:00:21.400 --> 00:00:25.400]  暑假除了青少部的活動很精彩
[00:00:25.400 --> 00:00:27.400]  我也留意到
[00:00:27.400 --> 00:00:30.400]  你們的IG都很精彩
[00:00:30.400 --> 00:00:32.400]  通常都會去旅行
[00:00:32.400 --> 00:00:36.400]  不過不止你們
[00:00:36.400 --> 00:00:38.400]  你們的哥哥姐姐 導師
[00:00:38.400 --> 00:00:41.400]  一場假期都會去旅行
[00:00:41.400 --> 00:00:46.400]  我相信讀書壓力很大
[00:00:46.400 --> 00:00:48.400]  工作壓力也很大
[00:00:48.400 --> 00:00:51.400]  所以放假要離開香港
[00:00:51.400 --> 00:00:53.400]  去休息 減壓
[00:00:53.400 --> 00:00:58.400]  我覺得去旅行是香港人的生活模式
[00:00:58.400 --> 00:01:00.400]  是生活的一部分
[00:01:00.400 --> 00:01:02.400]  不過我又在想
[00:01:02.400 --> 00:01:04.400]  作為基督徒的我們
[00:01:04.400 --> 00:01:07.400]  我們又應該有怎樣的生活模式呢
[00:01:07.400 --> 00:01:09.400]  當然去旅行絕對可以的
[00:01:09.400 --> 00:01:11.400]  我不是說去旅行不對
[00:01:11.400 --> 00:01:14.400]  都應該去的 去休息一下
[00:01:14.400 --> 00:01:15.400]  沒有問題的
[00:01:15.400 --> 00:01:16.400]  不過我會想
[00:01:16.400 --> 00:01:18.400]  我們人生裏面
[00:01:18.400 --> 00:01:20.400]  或者作為基督徒的我們
[00:01:20.400 --> 00:01:22.400]  有沒有一些生活方式
[00:01:22.400 --> 00:01:24.400]  或者一些習慣
[00:01:24.400 --> 00:01:26.400]  未必是上帝所喜悅的
[00:01:26.400 --> 00:01:28.400]  未必合神心意的呢
[00:01:28.400 --> 00:01:30.400]  而這些生活方式 習慣
[00:01:30.400 --> 00:01:32.400]  有沒有影響我們今天
[00:01:32.400 --> 00:01:33.400]  屬靈的生命
[00:01:33.400 --> 00:01:36.400]  影響我們今天去跟隨耶穌呢
[00:01:36.400 --> 00:01:38.400]  今天和大家看的經文
[00:01:38.400 --> 00:01:42.400]  是《耳窟所書》的四章十七到二十四節
[00:01:42.400 --> 00:01:44.400]  希望透過這段經文
[00:01:44.400 --> 00:01:47.400]  希望神的話都成為我們生命的提醒
[00:01:47.400 --> 00:01:50.400]  我選用了新漢語譯本
[00:01:50.400 --> 00:01:54.400]  因為比較容易明白
[00:01:54.400 --> 00:01:56.400]  而且接近原文的翻譯
[00:01:56.400 --> 00:01:58.400]  我選了這個譯本
[00:01:58.400 --> 00:02:02.400]  也想邀請大家和我一起讀出這個譯本
[00:02:02.400 --> 00:02:04.400]  好 來了
[00:02:04.400 --> 00:02:06.400]  先呼一口氣 深呼吸
[00:02:06.400 --> 00:02:10.400]  你們怎麼不呼吸呢
[00:02:10.400 --> 00:02:13.400]  提起精神 好不好 一起讀
[00:02:13.400 --> 00:02:14.400]  好 預備起
[00:02:14.400 --> 00:02:16.400]  所以我說
[00:02:16.400 --> 00:02:19.400]  並且在主裡鄭重地說
[00:02:19.400 --> 00:02:24.400]  你們不可再像外族人那樣行事為人
[00:02:24.400 --> 00:02:26.400]  思想虛妄
[00:02:26.400 --> 00:02:28.400]  他們的心思受了蒙蔽
[00:02:28.400 --> 00:02:31.400]  又因為自己面無知
[00:02:31.400 --> 00:02:33.400]  心裡剛硬
[00:02:33.400 --> 00:02:36.400]  與神的生命隔絕了
[00:02:36.400 --> 00:02:38.400]  他們既然已經麻木
[00:02:38.400 --> 00:02:41.400]  就任憑自己淫亂放蕩
[00:02:41.400 --> 00:02:45.400]  貪得無厭地行各種污穢的事
[00:02:45.400 --> 00:02:50.400]  但你們從基督所學的卻不是這樣
[00:02:50.400 --> 00:02:53.400]  你們必定聽過他的事蹟
[00:02:53.400 --> 00:02:56.400]  在他裡面領受了教導
[00:02:56.400 --> 00:02:59.400]  因為真理是在耶穌裡面
[00:02:59.400 --> 00:03:01.400]  就是要除掉舊人
[00:03:01.400 --> 00:03:05.400]  這舊人屬於你們過去的生活方式
[00:03:05.400 --> 00:03:10.400]  信著迷惑人心的私慾日漸腐化
[00:03:10.400 --> 00:03:13.400]  又要在心思意念上更新
[00:03:13.400 --> 00:03:15.400]  並要穿上新人
[00:03:15.400 --> 00:03:18.400]  這新人是照著神的形象創造的
[00:03:18.400 --> 00:03:22.400]  有從真理而來的和聖潔
[00:03:22.400 --> 00:03:24.400]  我們一起禱告
[00:03:24.400 --> 00:03:27.400]  天皇上帝多謝你
[00:03:27.400 --> 00:03:29.400]  派耶穌來到我們當中
[00:03:29.400 --> 00:03:31.400]  成就了舊因
[00:03:31.400 --> 00:03:34.400]  用我們今天靠著耶穌基督的舊因
[00:03:34.400 --> 00:03:36.400]  我們真的能夠成為新做的人
[00:03:36.400 --> 00:03:39.400]  但有時我們的舊我
[00:03:39.400 --> 00:03:41.400]  仍然在我們生命裡面
[00:03:41.400 --> 00:03:43.400]  求天父幫助我們
[00:03:43.400 --> 00:03:45.400]  願聖靈在我們生命裡面工作
[00:03:45.400 --> 00:03:47.400]  藉著這篇經文
[00:03:47.400 --> 00:03:49.400]  讓我們生命能夠有提醒
[00:03:49.400 --> 00:03:51.400]  我們這樣祈禱
[00:03:51.400 --> 00:03:53.400]  奉耶穌基督的名祈求
[00:03:53.400 --> 00:03:54.400]  阿們
[00:03:54.400 --> 00:03:57.400]  我們先說說耶福所書前面的內容
[00:03:57.400 --> 00:03:59.400]  我們正在看第四章十七節
[00:03:59.400 --> 00:04:02.400]  第四章一開始就說
[00:04:02.400 --> 00:04:04.400]  一個人信了主
[00:04:04.400 --> 00:04:05.400]  行事為人
[00:04:05.400 --> 00:04:07.400]  就要和我們蒙召的恩相情
[00:04:07.400 --> 00:04:09.400]  簡單來說
[00:04:09.400 --> 00:04:11.400]  就是信徒的生活行為
[00:04:11.400 --> 00:04:12.400]  信了主
[00:04:12.400 --> 00:04:15.400]  他的生活行為是否合乎上帝的心意
[00:04:15.400 --> 00:04:16.400]  之後就看到
[00:04:16.400 --> 00:04:19.400]  信徒與信徒之間應該怎樣相處
[00:04:19.400 --> 00:04:20.400]  要怎樣合一
[00:04:20.400 --> 00:04:21.400]  相愛
[00:04:21.400 --> 00:04:22.400]  彼此支持
[00:04:22.400 --> 00:04:26.400]  彼此配搭去建立基督的身體
[00:04:26.400 --> 00:04:27.400]  來到第十七節
[00:04:27.400 --> 00:04:31.400]  再提信徒的生活行為應該是怎樣
[00:04:31.400 --> 00:04:33.400]  第十七節一開始這樣說
[00:04:33.400 --> 00:04:35.400]  所以我說
[00:04:35.400 --> 00:04:38.400]  並且在主裡鄭重地說
[00:04:38.400 --> 00:04:44.400]  這句說話其實是一個非常強調作用的用法
[00:04:44.400 --> 00:04:46.400]  主裡說的是
[00:04:46.400 --> 00:04:49.400]  從耶穌基督而來的怨念
[00:04:49.400 --> 00:04:51.400]  並且帶有權柄
[00:04:51.400 --> 00:04:53.400]  是耶穌和你說
[00:04:53.400 --> 00:04:55.400]  還要用上鄭重這個字
[00:04:55.400 --> 00:04:57.400]  可以說是一個很高規格
[00:04:57.400 --> 00:04:58.400]  很嚴厲
