
[00:00:00.000 --> 00:00:02.520]  大家好,首先我很感謝
[00:00:02.520 --> 00:00:05.920]  侍奉團隊、AV Team、詩詩、敬拜隊
[00:00:05.920 --> 00:00:10.440]  為我們崇拜之前,很用心地預備
[00:00:10.440 --> 00:00:12.280]  還有我覺得很感動
[00:00:12.280 --> 00:00:14.600]  剛才Molly的大敬拜裡面
[00:00:14.600 --> 00:00:18.040]  她好像在回應我今天的講章
[00:00:18.040 --> 00:00:19.720]  她剛才問了大家一個問題
[00:00:19.720 --> 00:00:22.320]  你的人生在追求甚麼
[00:00:22.320 --> 00:00:25.000]  你很熱切地追求甚麼
[00:00:25.000 --> 00:00:30.480]  其實在我今天要準備這個講道經文的時候
[00:00:30.480 --> 00:00:32.080]  我就想起有一次
[00:00:32.080 --> 00:00:35.080]  我和大專的小組在查經的時候
[00:00:35.080 --> 00:00:37.080]  我們在討論一件事
[00:00:37.080 --> 00:00:40.360]  你的人生意義是由自己定義
[00:00:40.360 --> 00:00:42.880]  還是別人幫你定義的呢
[00:00:42.880 --> 00:00:46.080]  如果是自己定義的,那就很沒意思了
[00:00:46.080 --> 00:00:49.680]  當然在這個討論裡面是沒有結果的
[00:00:49.680 --> 00:00:52.600]  但是那時候我就想起一件事
[00:00:52.600 --> 00:00:55.280]  不知道大家知不知道甚麼是「慕」字名
[00:00:55.280 --> 00:00:56.080]  知不知道?
[00:00:56.080 --> 00:00:58.040]  其實在你墓碑上面
[00:00:58.040 --> 00:01:00.520]  它有一句說話寫在那裡
[00:01:00.520 --> 00:01:05.000]  其實「慕」字名很多時候是死人死了之後
[00:01:05.000 --> 00:01:08.400]  他身邊的人為這個死去的人的生命
[00:01:08.400 --> 00:01:10.840]  去作一個總結
[00:01:10.840 --> 00:01:14.040]  接著我就上網搜尋一下
[00:01:14.040 --> 00:01:16.800]  首先我找了一些名人的「慕」字名
[00:01:16.800 --> 00:01:18.800]  第一個就是貝多芬
[00:01:18.800 --> 00:01:19.920]  音樂家貝多芬
[00:01:19.920 --> 00:01:21.320]  他的「慕」字名是甚麼?
[00:01:21.320 --> 00:01:25.280]  他總是以他自己的一顆人類的善心
[00:01:25.280 --> 00:01:27.280]  對待所有的人
[00:01:27.280 --> 00:01:29.040]  還有一個
[00:01:29.040 --> 00:01:31.320]  就是德國的數學家
[00:01:31.320 --> 00:01:32.640]  魯道夫
[00:01:32.640 --> 00:01:33.560]  他的「慕」字名
[00:01:33.560 --> 00:01:34.400]  大家看不看得到?
[00:01:34.400 --> 00:01:36.000]  這個真的是他的墓碑
[00:01:36.000 --> 00:01:37.520]  有一個圓圈在那裡
[00:01:37.520 --> 00:01:38.960]  他的「慕」字名寫著就是
[00:01:38.960 --> 00:01:41.200]  π=3.14159
[00:01:41.200 --> 00:01:42.400]  「得得得得得得」
[00:01:42.400 --> 00:01:46.880]  因為他就是一個將圓周的圓周率
[00:01:46.880 --> 00:01:50.600]  計算到少數點後35個位的人
[00:01:50.600 --> 00:01:52.800]  其實是當時世界上
[00:01:52.800 --> 00:01:56.200]  最精確的圓周率
[00:01:56.200 --> 00:01:58.880]  接著下一個就是馬丁路達金
[00:01:58.880 --> 00:02:00.800]  他是黑人民權領袖
[00:02:00.800 --> 00:02:02.920]  他的「慕」字名就是
[00:02:02.920 --> 00:02:04.040]  「我自由了」
[00:02:04.040 --> 00:02:05.400]  感謝萬能的主
[00:02:05.400 --> 00:02:07.640]  我終於自由了
[00:02:07.640 --> 00:02:11.480]  最後就是著名的武俠小說作家金庸
[00:02:11.480 --> 00:02:12.840]  他在一次訪問裏問
[00:02:12.840 --> 00:02:15.640]  「你的「慕」字名你想寫甚麼?」
[00:02:15.640 --> 00:02:16.400]  他就說
[00:02:16.400 --> 00:02:19.600]  「我想寫『這裏躺著一位老人』」
[00:02:19.600 --> 00:02:22.160]  「他寫過十幾部小說」
[00:02:22.160 --> 00:02:24.840]  「有幾億人喜歡」
[00:02:24.840 --> 00:02:27.720]  其實透過這些「慕」字名的類變
[00:02:27.720 --> 00:02:30.160]  你們會發現一件事
[00:02:30.160 --> 00:02:32.200]  其實無論是別人幫你寫
[00:02:32.200 --> 00:02:35.000]  還是你自己寫上去也好
[00:02:35.000 --> 00:02:38.720]  其實比較多都是將這個人的一生的成就
[00:02:38.720 --> 00:02:41.640]  和貢獻去寫出來
[00:02:41.640 --> 00:02:43.880]  其實這樣也反映了
[00:02:43.880 --> 00:02:47.360]  他們一生在竭力追求
