
[00:00:00.000 --> 00:00:02.400]  其實今天可以參加實體崇拜
[00:00:02.400 --> 00:00:03.600]  都是很感謝主
[00:00:03.600 --> 00:00:05.400]  如果不是祂帶領我們
[00:00:05.400 --> 00:00:06.800]  我們都不可以來到當中
[00:00:06.800 --> 00:00:08.800]  特別我也很感恩
[00:00:08.800 --> 00:00:10.800]  因為其實我已經在疫情期間
[00:00:10.800 --> 00:00:13.600]  調任到五堂負責的崇拜裏面
[00:00:13.600 --> 00:00:17.200]  所以也很感謝一直以來中堂弟兄姊妹的關心
[00:00:17.200 --> 00:00:18.400]  以及同工的支持
[00:00:18.400 --> 00:00:23.000]  今天也是中堂的同工客串邀請我去分享
[00:00:23.000 --> 00:00:24.600]  也是一個很大的恩典
[00:00:24.600 --> 00:00:28.800]  人生真的認識到很多很好的弟兄姊妹
[00:00:28.800 --> 00:00:30.200]  給我很多的感恩
[00:00:30.200 --> 00:00:33.400]  其中一位弟兄其實我認識他很久
[00:00:33.400 --> 00:00:36.000]  他也是一個有潔癖的人
[00:00:36.000 --> 00:00:37.400]  他很喜歡乾淨
[00:00:37.400 --> 00:00:40.000]  不過有一天他生了一個女兒
[00:00:40.000 --> 00:00:42.600]  女兒感冒
[00:00:42.600 --> 00:00:44.000]  感冒會怎樣呢
[00:00:44.000 --> 00:00:45.200]  就有鼻涕
[00:00:45.200 --> 00:00:46.800]  但是女兒太小了
[00:00:46.800 --> 00:00:48.800]  他不懂得自己生鼻涕
[00:00:48.800 --> 00:00:50.400]  他抱著女兒
[00:00:50.400 --> 00:00:52.800]  看到女兒很多鼻涕塞住
[00:00:52.800 --> 00:00:54.000]  情急之下
[00:00:54.000 --> 00:00:56.600]  你覺得這個有潔癖的弟兄做了什麼事
[00:00:57.600 --> 00:00:59.400]  他用他溫柔的嘴巴
[00:00:59.400 --> 00:01:01.200]  咀嚼他的鼻子
[00:01:01.200 --> 00:01:02.800]  把鼻涕吐出來
[00:01:02.800 --> 00:01:04.200]  好像武俠小說般
[00:01:04.200 --> 00:01:05.200]  把毒吐出來
[00:01:05.200 --> 00:01:08.800]  但是我真的猜不到
[00:01:08.800 --> 00:01:10.000]  他這麼有潔癖
[00:01:10.000 --> 00:01:12.800]  他竟然為了愛女兒的緣故
[00:01:12.800 --> 00:01:13.800]  他辛苦自己
[00:01:13.800 --> 00:01:15.200]  用他溫柔潔淨的嘴巴
[00:01:15.200 --> 00:01:16.600]  把鼻涕吐出來
[00:01:16.600 --> 00:01:19.600]  今天說一段經文
[00:01:19.600 --> 00:01:21.200]  是在詩篇第八篇
[00:01:21.200 --> 00:01:23.400]  其實內容正正就是剛才那首
[00:01:23.400 --> 00:01:25.000]  《詩歌人算什麼》裏面
[00:01:25.000 --> 00:01:27.200]  其實也是借用了詩篇第八篇
[00:01:27.600 --> 00:01:30.200]  題目是苦了自己去愛
[00:01:30.200 --> 00:01:32.200]  這個其實是在說誰呢?
[00:01:32.200 --> 00:01:34.000]  讓我們看這段詩篇的時候
[00:01:34.000 --> 00:01:35.600]  知道究竟是誰
[00:01:35.600 --> 00:01:38.600]  辛苦了自己去愛的人
[00:01:38.600 --> 00:01:39.600]  又是誰呢?
[00:01:39.600 --> 00:01:40.800]  我們低頭祈禱
[00:01:40.800 --> 00:01:42.800]  慈悲人愛天父
[00:01:42.800 --> 00:01:44.200]  感謝祢讓我們有機會
[00:01:44.200 --> 00:01:46.000]  可以來到敬拜的當中
[00:01:46.000 --> 00:01:48.600]  深信這個機會是很大的恩典
[00:01:48.600 --> 00:01:50.000]  因為疫情期間才發現
[00:01:50.000 --> 00:01:52.400]  原來可以來到神的殿敬拜神
[00:01:52.400 --> 00:01:55.400]  其實是一個無比無比的恩典
[00:01:55.600 --> 00:01:58.000]  讓我們懷著謙卑的心
