
[00:00:00.000 --> 00:00:04.600]  很開心能來到第四節,跟大家分享上帝的說話
[00:00:04.600 --> 00:00:08.800]  剛才最後兩首詩歌,特別是領師姐妹分享到
[00:00:08.800 --> 00:00:13.200]  上帝的恩典在我們前面伴隨著我們
[00:00:13.200 --> 00:00:19.400]  很配合今天這段經文,是講亞國的經文
[00:00:19.400 --> 00:00:26.800]  首先想跟大家讀完這段經文,大家就感受到詩歌的力量
[00:00:26.800 --> 00:00:31.000]  大概有十頁的powerpoint,我們慢慢讀就可以了
[00:00:31.000 --> 00:00:34.400]  將經歷在我們心裏,我們一起來
[00:00:35.400 --> 00:00:39.200]  亞國聽見拉班兒子們的話說
[00:00:39.200 --> 00:00:43.600]  亞國把我們父親所有的都奪去了
[00:00:43.600 --> 00:00:49.200]  他從我們父親所擁有的獲得這一切的財富
[00:00:49.200 --> 00:00:55.000]  亞國見拉班的臉色,看那待他不如從前了
[00:00:55.000 --> 00:00:57.200]  耶和華對亞國說
[00:00:57.200 --> 00:01:02.200]  你要回你祖先之地,到你本族那裏去
[00:01:02.200 --> 00:01:04.200]  我必與你同在
[00:01:04.200 --> 00:01:11.200]  亞國就派人叫拉傑和利亞到田野他的羊群那裏去
[00:01:11.200 --> 00:01:12.600]  對他們說
[00:01:12.600 --> 00:01:17.600]  我看你們父親待我的臉色不如從前了
[00:01:17.600 --> 00:01:21.400]  但我父親的神向來與我同在
[00:01:21.400 --> 00:01:26.600]  你們也知道,我盡了全力服侍你們的父親
[00:01:26.600 --> 00:01:32.200]  可是你們的父親欺騙我,十次更改我的公知
[00:01:32.200 --> 00:01:35.000]  但神不容許他害我
[00:01:35.000 --> 00:01:39.200]  他若說有點的歸給你作公知
[00:01:39.200 --> 00:01:42.600]  羊群所生的都是有點的
[00:01:42.600 --> 00:01:46.600]  他若說有民的歸給你作公知
[00:01:46.600 --> 00:01:50.000]  羊群所生的都是有民的
[00:01:50.000 --> 00:01:55.400]  這樣神把你們父親的生畜拿來賜給我了
[00:01:55.400 --> 00:02:01.400]  亞國起來,叫他的孩子和妻子都騎上駱駝
[00:02:01.400 --> 00:02:06.800]  又趕著他一切的生畜和他所得的一切財物
[00:02:06.800 --> 00:02:10.400]  就是他在巴旦阿蘭所得的
[00:02:10.400 --> 00:02:16.400]  他擁有的生畜往迦南地他父親以撒那裏去了
[00:02:16.400 --> 00:02:19.400]  當時拉班去展陽墓
[00:02:19.400 --> 00:02:23.000]  拉傑偷了他父親家中的神像
[00:02:23.000 --> 00:02:28.600]  亞國瞞著阿蘭人拉班
[00:02:28.600 --> 00:02:31.400]  不通知他就逃走了
[00:02:31.400 --> 00:02:34.800]  亞國帶著他所有的逃走了
[00:02:34.800 --> 00:02:39.400]  他起程渡過大河面向著基烈山
[00:02:39.400 --> 00:02:42.800]  到第三天有人告訴拉班
[00:02:42.800 --> 00:02:44.600]  亞國逃跑了
[00:02:44.600 --> 00:02:48.200]  拉班帶著他的弟兄們去追他
[00:02:48.200 --> 00:02:52.000]  追了七天就在基烈山追上了
[00:02:52.000 --> 00:02:55.800]  夜間神來到阿蘭人拉班那裏
[00:02:55.800 --> 00:02:57.800]  在夢中對他說
[00:02:57.800 --> 00:03:02.000]  你要小心,不可對亞國說好說歹
[00:03:02.000 --> 00:03:05.600]  於是亞國發怒斥責拉班
[00:03:05.600 --> 00:03:07.600]  亞國對拉班說
[00:03:07.600 --> 00:03:11.000]  我有什麼過犯,有什麼罪惡
[00:03:11.000 --> 00:03:13.800]  你竟這樣火速地追我
[00:03:13.800 --> 00:03:16.800]  你手遍了我一切的物件
[00:03:16.800 --> 00:03:18.800]  你找到什麼呢
[00:03:18.800 --> 00:03:21.800]  可以放在你我弟兄面前
[00:03:21.800 --> 00:03:25.800]  叫他們在我們兩個之間評評你
[00:03:25.800 --> 00:03:28.800]  我在你那裏這二十年
[00:03:28.800 --> 00:03:32.800]  你的無面羊,無山羊沒有掉過胎
[00:03:32.800 --> 00:03:36.800]  你羊群中的公面羊我沒有吃過
[00:03:36.800 --> 00:03:40.800]  被野獸撕裂的我沒有帶來給你
[00:03:40.800 --> 00:03:43.400]  是我自己賠償的
[00:03:43.400 --> 00:03:47.800]  無論是白日偷的,或是黑夜被偷的
[00:03:47.800 --> 00:03:50.400]  你都從我手中索取
[00:03:50.400 --> 00:03:53.400]  我常常白日受盡炎熱
[00:03:53.400 --> 00:03:55.400]  黑夜受盡寒霜
[00:03:55.400 --> 00:03:57.400]  不得入眼入睡
[00:03:57.400 --> 00:04:00.400]  我這二十年在你家裏
[00:04:00.400 --> 00:04:04.400]  為你兩個女兒服侍了你十四年
[00:04:04.400 --> 00:04:07.400]  為你的羊群服侍了你六年
[00:04:07.400 --> 00:04:10.400]  你卻十次更改我的公知
[00:04:10.400 --> 00:04:14.400]  若不是我父親以殺所敬畏的神
