
[00:00:00.000 --> 00:00:05.000]  今日想同大家分享的經文是尼加書第四章
[00:00:05.000 --> 00:00:08.000]  這一卷是講到一個戰爭的日子
[00:00:08.000 --> 00:00:10.000]  亦都是一個絕望的日子
[00:00:10.000 --> 00:00:14.000]  經文有十三節
[00:00:14.000 --> 00:00:20.000]  我想請弟兄為我們讀出第一節
[00:00:20.000 --> 00:00:22.000]  去到第五節
[00:00:22.000 --> 00:00:24.000]  然後姐妹讀第六至八節
[00:00:24.000 --> 00:00:29.000]  然後我們就請我們讀九至十三節
[00:00:29.000 --> 00:00:31.000]  首先請弟兄
[00:00:31.000 --> 00:00:33.000]  到時再提大家
[00:00:33.000 --> 00:00:35.000]  首先請弟兄讀一至五節
[00:00:35.000 --> 00:00:37.000]  (廣東話)
[00:00:37.000 --> 00:00:39.000]  (廣東話)
[00:00:39.000 --> 00:00:41.000]  (廣東話)
[00:00:41.000 --> 00:01:10.000]  (廣東話)
[00:01:10.000 --> 00:01:12.000]  第三節
[00:01:12.000 --> 00:01:14.000]  (廣東話)
[00:01:14.000 --> 00:01:16.000]  (廣東話)
[00:01:16.000 --> 00:01:18.000]  (廣東話)
[00:01:18.000 --> 00:01:20.000]  (廣東話)
[00:01:20.000 --> 00:01:22.000]  (廣東話)
[00:01:23.000 --> 00:01:25.000]  (廣東話)
[00:01:25.000 --> 00:01:27.000]  (廣東話)
[00:01:27.000 --> 00:01:56.000]  (廣東話)
[00:01:56.000 --> 00:01:58.000]  請姐妹讀六至八節
[00:01:58.000 --> 00:02:27.960]  (朗讀)
[00:02:27.960 --> 00:02:34.720]  (朗讀)
[00:02:34.720 --> 00:02:37.000]  我請弟兄姊妹一齊讀最後幾節
[00:02:37.000 --> 00:02:38.000]  1 2 3
[00:02:38.000 --> 00:03:07.240]  (朗讀)
[00:03:07.240 --> 00:03:17.240]  (朗讀)
[00:03:17.240 --> 00:03:33.240]  (朗讀)
[00:03:33.240 --> 00:03:52.240]  (朗讀)
