
[00:00:00.000 --> 00:00:04.400]  各位親愛的姐妹 各位朋友 主佑平安
[00:00:04.400 --> 00:00:07.800]  很難得在這個晚上和大家見面
[00:00:07.800 --> 00:00:10.300]  我先介紹我自己 我叫Steven 勞德仁牧師
[00:00:10.300 --> 00:00:14.300]  比較少上來18樓 很開心
[00:00:14.300 --> 00:00:18.200]  今天是我們教會一年一度的猜拳主日
[00:00:18.200 --> 00:00:22.400]  需要知道教會存在在世上的目的和意義
[00:00:22.400 --> 00:00:25.400]  就是要萬民作主耶穌基督的門徒
[00:00:25.400 --> 00:00:29.600]  所以門徒訓練以至我們能夠踏進社區
[00:00:29.600 --> 00:00:33.600]  甚至走到世界各地 進入不同的族群
[00:00:33.600 --> 00:00:37.000]  和他們分享耶穌基督的救恩的好消息
[00:00:37.000 --> 00:00:39.800]  是我們必須銳意要做的事情
[00:00:39.800 --> 00:00:42.000]  什麼叫做銳意呢 大家有沒有想過
[00:00:42.000 --> 00:00:45.400]  銳意的意思就是我們不只是說
[00:00:45.400 --> 00:00:49.200]  有做了 不要問那麼多 總之有做了
[00:00:49.200 --> 00:00:55.000]  而是我們認真地去檢視我們做得怎樣
[00:00:55.000 --> 00:00:57.000]  保持檢視做得好不好
[00:00:57.000 --> 00:01:01.000]  然後正義求正 不斷認真
[00:01:01.000 --> 00:01:05.400]  在這個方向裏面做到最好再最好為止
[00:01:05.400 --> 00:01:09.000]  這個才叫做銳意做好的事情
[00:01:09.000 --> 00:01:11.800]  我們盼望藉著一年一度的猜拳年會
[00:01:11.800 --> 00:01:15.000]  由猜拳主日開始 即是今天
[00:01:15.000 --> 00:01:21.200]  明天也是 然後再配上幾個夜晚的猜拳晚會
[00:01:21.200 --> 00:01:23.400]  接下來星期一、三、五就有了
[00:01:23.400 --> 00:01:27.800]  進入一些特定的主題 邀請我們就著主題
[00:01:27.800 --> 00:01:32.600]  我們一直有關心、認識、支持 甚至猜險過的宣教士
[00:01:32.600 --> 00:01:38.400]  或者是這個範疇 猜拳的工作範疇裏面
[00:01:38.400 --> 00:01:41.800]  一些熟悉的人在當中和我們分享
[00:01:41.800 --> 00:01:47.000]  讓我們盡心了解那方面的情況
[00:01:47.000 --> 00:01:50.800]  為我們作出一些教導、提醒、勸勉等等
[00:01:50.800 --> 00:01:53.800]  如果環境許可 其實我們通常
[00:01:53.800 --> 00:01:58.600]  這個星期六日 中間有三天幾天的猜拳晚會
[00:01:58.600 --> 00:02:00.400]  之後再下個星期六日
[00:02:00.400 --> 00:02:04.000]  我們可能都可以在教會裏面去搞一些展覽
[00:02:04.000 --> 00:02:08.600]  去環繞著猜拳的主題 再盡心認識
[00:02:08.600 --> 00:02:13.400]  我們很盼望讓全教會整個的會眾
[00:02:13.400 --> 00:02:18.400]  就算你可能說 今天我剛剛三點多才決絕信耶穌
[00:02:18.400 --> 00:02:23.000]  你現在叫我去講這些猜拳的事 是真的
[00:02:23.000 --> 00:02:27.800]  因為我們很盼望 就算你真的是初信主
[00:02:27.800 --> 00:02:30.000]  你都要意識到你的人生
[00:02:30.000 --> 00:02:33.800]  既然已經決定接受耶穌基督做你救主生命的主
[00:02:33.800 --> 00:02:37.000]  其實你生命已經有一個目標
[00:02:37.000 --> 00:02:44.200]  就是要去參與在這個使萬民作主門徒的大使命的人生
[00:02:44.200 --> 00:02:46.600]  你在開端 但都要知道最終的結果
[00:02:46.600 --> 00:02:49.400]  你就是要走向這個方向的
[00:02:49.400 --> 00:02:54.000]  這個是教會當中每一個人都不能夠推諉
[00:02:54.000 --> 00:02:57.400]  一定要參與的大使命
[00:02:57.400 --> 00:03:00.600]  當然由於新型冠狀病毒疫情的限制
[00:03:00.600 --> 00:03:03.600]  我們下個星期就沒有實體展覽
[00:03:03.600 --> 00:03:05.600]  不過我們仍然好像我剛才所說
[00:03:05.600 --> 00:03:07.200]  現在打出來了
[00:03:07.200 --> 00:03:12.400]  我們在星期一、三、五都會繼續有一個猜拳晚會
[00:03:12.400 --> 00:03:15.000]  題目就是日本宣教不離地
[00:03:15.000 --> 00:03:18.200]  我們邀請了一對中日婚姻的宣教士夫婦
[00:03:18.200 --> 00:03:21.600]  太太叫做Francis 冠英雄姐妹
[00:03:21.600 --> 00:03:25.400]  她先生是一位日本人的牧師
[00:03:25.400 --> 00:03:27.800]  叫做阿健高揚
[00:03:27.800 --> 00:03:31.200]  不過這個高揚就不是那些高揚
[00:03:31.200 --> 00:03:32.800]  Taka牧師
[00:03:32.800 --> 00:03:36.000]  他們夫婦在日本牧會和宣教很多年了
[00:03:36.000 --> 00:03:38.000]  深入認識日本的文化
[00:03:38.000 --> 00:03:42.000]  加上我們恩福神學院Elton羅紹倫牧師
[00:03:42.000 --> 00:03:46.000]  他很年輕 最近也成為了香港猜拳
[00:03:46.000 --> 00:03:50.400]  突然忘記了他的機構叫什麼名字
[00:03:50.400 --> 00:03:52.800]  香港猜拳士工聯會的總幹事
[00:03:52.800 --> 00:03:54.000]  他也是日本通來的
[00:03:54.000 --> 00:03:56.000]  他在日本也宣教了很多年
[00:03:56.000 --> 00:03:58.800]  他們三位就會成為我們晚會的講者
[00:03:58.800 --> 00:04:01.800]  除此之外我們邀請了兩位日本裔的
[00:04:01.800 --> 00:04:03.800]  即是真正講日文的姐妹
[00:04:03.800 --> 00:04:08.800]  他們分別是演藝界和教育界的姐妹
[00:04:08.800 --> 00:04:10.600]  都是在香港的
[00:04:10.600 --> 00:04:14.200]  他們會分別分享他們信耶穌的生命見證
[00:04:14.200 --> 00:04:17.200]  三晚都在網上進行
[00:04:17.200 --> 00:04:20.200]  即是說無論你有沒有什麼通行證
[00:04:20.200 --> 00:04:25.000]  你都可以全程足本參與在網上聚會
[00:04:25.000 --> 00:04:27.000]  內容很豐富
[00:04:27.000 --> 00:04:31.000]  這三晚除了我剛才說到有宣教士分享
[00:04:31.000 --> 00:04:34.400]  有見證的日本裔姐妹分享
[00:04:34.400 --> 00:04:36.200]  也讓我賣一下關子
[00:04:36.200 --> 00:04:41.200]  保證你甚至會有彩蛋在那三晚中
[00:04:41.200 --> 00:04:44.200]  我們很想鼓勵大家
[00:04:44.200 --> 00:04:48.200]  積極認識投入猜拳的士工中
[00:04:48.200 --> 00:04:51.200]  如果問猜拳工作最大的障礙是什麼
[00:04:51.200 --> 00:04:53.200]  我不知道大家會怎麼想
[00:04:53.200 --> 00:04:54.200]  是不是不夠錢呢
[00:04:54.200 --> 00:04:56.200]  剛才我們一開始祈禱的時候
[00:04:56.200 --> 00:04:59.200]  日圓正在跌
[00:04:59.200 --> 00:05:02.200]  還是政局的動盪
[00:05:02.200 --> 00:05:06.200]  有些地方戰亂去不了
[00:05:06.200 --> 00:05:09.200]  疫情的限制封了關
[00:05:09.200 --> 00:05:11.200]  是什麼呢
[00:05:11.200 --> 00:05:15.200]  如果宣教工作其實是神親自會做的工作
[00:05:15.200 --> 00:05:19.200]  你以為真的會因為這些事情而難阻嗎
[00:05:19.200 --> 00:05:24.200]  難道神不會理順這些外在的問題嗎
[00:05:24.200 --> 00:05:27.200]  當耶穌基督頒佈大使命的時候
[00:05:27.200 --> 00:05:31.200]  其實是叫人去回應的
[00:05:31.200 --> 00:05:33.200]  你有沒有想過
[00:05:33.200 --> 00:05:35.200]  原來上帝一向都知道
[00:05:35.200 --> 00:05:39.200]  原來你和我怎樣行使我們的自由
[00:05:39.200 --> 00:05:43.200]  才是上帝頒佈大使命唯一容許的變數
[00:05:43.200 --> 00:05:46.200]  上帝竟然容許你和我作為人
[00:05:46.200 --> 00:05:50.200]  可以用我們的自由去回應這個使命
[00:05:50.200 --> 00:05:52.200]  不過當然上帝會審判我們
[00:05:52.200 --> 00:05:54.200]  怎樣用這個自由
[00:05:54.200 --> 00:05:57.200]  所以我們更加要小心去行使這個自由
[00:05:57.200 --> 00:06:01.200]  以致我們的宣教生命是不離地
[00:06:01.200 --> 00:06:07.200]  現在我們一起去透過哥林多前書第九章19-23節
[00:06:07.200 --> 00:06:10.200]  去看看士徒保羅怎樣現身說法
[00:06:10.200 --> 00:06:15.200]  去講他怎樣是一個不離地的宣教生命
[00:06:15.200 --> 00:06:17.200]  這個很特別
[00:06:17.200 --> 00:06:19.200]  我在預備這篇講道的時候
[00:06:19.200 --> 00:06:21.200]  我翻查了不同的譯本
[00:06:21.200 --> 00:06:26.200]  我發覺我很喜歡這個環球聖經譯本
[00:06:26.200 --> 00:06:31.200]  去帶出這段經文一個很重要的意思
[00:06:31.200 --> 00:06:33.200]  我們一起讀這個譯本
[00:06:33.200 --> 00:06:35.200]  首先一起讀第十九節
[00:06:35.200 --> 00:06:36.200]  我們一起讀
[00:06:36.200 --> 00:06:38.200]  準備 1 2 3
