
[00:00:00.000 --> 00:00:05.520]  好,謝謝敬拜隊和我們一起
[00:00:05.520 --> 00:00:07.520]  我們唱詩歌吧,敬拜的時間
[00:00:07.520 --> 00:00:09.760]  剛才有首詩歌不斷重複
[00:00:09.760 --> 00:00:13.760]  願意我們更深去經歷主
[00:00:13.760 --> 00:00:16.400]  更被上帝更新我們的目光
[00:00:16.400 --> 00:00:19.600]  我想說的是我們每個星期回來當中
[00:00:19.600 --> 00:00:20.640]  坐在這裡聽
[00:00:20.640 --> 00:00:24.160]  我想很想的是上帝藉著他的說話
[00:00:24.160 --> 00:00:25.920]  讓我們有一個更深的經歷
[00:00:25.920 --> 00:00:27.520]  更深經歷他的愛
[00:00:27.520 --> 00:00:29.520]  更加更新我們的目光
[00:00:29.520 --> 00:00:31.040]  不知道你們期不期待
[00:00:31.040 --> 00:00:32.560]  今天藉著上帝的話
[00:00:32.560 --> 00:00:35.280]  你會不會可以遇見上帝
[00:00:35.280 --> 00:00:36.560]  去被上帝更新
[00:00:36.560 --> 00:00:38.480]  我想你們帶著期待的心
[00:00:38.480 --> 00:00:41.360]  一起進入今天的講道
[00:00:41.360 --> 00:00:44.240]  今天的講道之先
[00:00:44.240 --> 00:00:45.120]  我想問大家
[00:00:45.120 --> 00:00:47.440]  看到這個字「Mission」
[00:00:47.440 --> 00:00:49.200]  你會想起什麼
[00:00:49.200 --> 00:00:51.280]  不知道你會想起什麼
[00:00:51.280 --> 00:00:53.680]  會不會是你玩遊戲機
[00:00:53.680 --> 00:00:54.880]  你玩完遊戲機之後
[00:00:54.880 --> 00:00:56.880]  你會想起「Mission Complete」
[00:00:56.880 --> 00:00:57.840]  這個字
[00:00:57.840 --> 00:00:59.280]  可能你玩完遊戲機每一次
[00:00:59.280 --> 00:01:02.640]  你都會有這個螢幕出現
[00:01:02.640 --> 00:01:04.240]  但原來這個字「Mission」
[00:01:04.240 --> 00:01:06.000]  除了是說我們玩遊戲機
[00:01:06.000 --> 00:01:08.400]  你會看到的單一任務之外
[00:01:08.400 --> 00:01:10.160]  原來還有另一個解釋
[00:01:10.160 --> 00:01:11.360]  可能不知道你們有沒有聽過
[00:01:11.360 --> 00:01:14.800]  其實「Mission」也可以解作「使命」的意思
[00:01:14.800 --> 00:01:16.160]  讓大家了解多一點
[00:01:16.160 --> 00:01:17.440]  「使命」是什麼
[00:01:17.440 --> 00:01:20.080]  例如每間公司、每間企業
[00:01:20.080 --> 00:01:21.920]  他們都有一些叫「企業使命」
[00:01:21.920 --> 00:01:23.360]  叫做「Mission Statement」
[00:01:23.360 --> 00:01:26.160]  不知道大家有沒有學一些
[00:01:26.160 --> 00:01:27.680]  經濟的時候有說過
