
[00:00:00.000 --> 00:00:07.000]  我今天要講的題目是「入獄的提醒」
[00:00:07.000 --> 00:00:10.000]  我不知道什麼時候才會去提醒別人
[00:00:10.000 --> 00:00:14.000]  還是提醒別人是一件很困難的事
[00:00:14.000 --> 00:00:18.000]  我最近無意中聽到一首歌
[00:00:18.000 --> 00:00:20.000]  那首歌已經推出了很久
[00:00:20.000 --> 00:00:23.000]  那首歌是講述一個男主角
[00:00:23.000 --> 00:00:29.000]  在他的感情路上一直處於被動和後備的位置
[00:00:29.000 --> 00:00:35.000]  他付出很多希望緩解片刻的溫暖
[00:00:35.000 --> 00:00:40.000]  其實他知道自己的後備是代替品
[00:00:40.000 --> 00:00:42.000]  他也感覺不太爽
[00:00:42.000 --> 00:00:44.000]  不過最後他也領悟到
[00:00:44.000 --> 00:00:49.000]  原來不是付出越多就越有回報
[00:00:49.000 --> 00:00:50.000]  我不知道
[00:00:50.000 --> 00:00:54.000]  如果你身邊有位弟兄或姊妹
[00:00:54.000 --> 00:00:57.000]  他也處於這個狀況
[00:00:57.000 --> 00:00:59.000]  當他跟你分享的時候
[00:00:59.000 --> 00:01:01.000]  你會怎樣回應他?
[00:01:01.000 --> 00:01:03.000]  如果他跟你說
[00:01:03.000 --> 00:01:07.000]  「原來他不夠愛我」
[00:01:07.000 --> 00:01:11.000]  「原來我坐後備座」
[00:01:11.000 --> 00:01:14.000]  我不知道你會怎樣勸他
[00:01:14.000 --> 00:01:18.000]  我知道對方不喜歡自己
[00:01:18.000 --> 00:01:20.000]  但又好像做了很多事
[00:01:20.000 --> 00:01:22.000]  他再繼續下去
[00:01:22.000 --> 00:01:25.000]  他就會浪費了很多心機和時間
[00:01:25.000 --> 00:01:28.000]  是否應該要提醒他呢?
[00:01:28.000 --> 00:01:30.000]  也應該要提醒他
[00:01:30.000 --> 00:01:32.000]  不要讓他坐下去
[00:01:32.000 --> 00:01:37.000]  不過有時候人也不想被提醒
[00:01:37.000 --> 00:01:41.000]  因為他覺得你提醒我
[00:01:41.000 --> 00:01:44.000]  就要面對很殘酷的現實
[00:01:44.000 --> 00:01:46.000]  原來不是這樣的
[00:01:46.000 --> 00:01:48.000]  原來不是我想像中的
[00:01:48.000 --> 00:01:53.000]  可能他也很想留在自己的FF裡面
[00:01:53.000 --> 00:01:57.000]  有時候感情裡面也會這樣發生
[00:01:57.000 --> 00:02:00.000]  不過在我們的屬靈生命裡
[00:02:00.000 --> 00:02:03.000]  有時候我們會不會也有這樣的狀況呢?
[00:02:03.000 --> 00:02:06.000]  有很多很真實的事情
[00:02:06.000 --> 00:02:08.000]  我們好像不太想被提醒
[00:02:08.000 --> 00:02:10.000]  不太想知道
[00:02:10.000 --> 00:02:14.000]  不太想面對最大的現實
[00:02:14.000 --> 00:02:17.000]  今天我看的經文是說到
[00:02:17.000 --> 00:02:22.000]  耶穌也提醒一群信祂的猶太人
[00:02:22.000 --> 00:02:26.000]  看看他們的屬靈生命狀況有什麼情況
[00:02:26.000 --> 00:02:30.000]  而耶穌這個提醒又有多入獄呢?
[00:02:30.000 --> 00:02:35.000]  和我這個人的屬靈生命有沒有什麼關連呢?
[00:02:35.000 --> 00:02:39.000]  我想邀請大家讀以下的經文
[00:02:39.000 --> 00:02:44.000]  在約翰福音第八章的三十一到三十八節
[00:02:44.000 --> 00:02:46.000]  我們一起讀,預備起
[00:02:46.000 --> 00:02:53.000]  耶穌對信祂的猶太人說:你們若繼續遵守我的道
[00:02:53.000 --> 00:02:56.000]  就真是我的門徒了
[00:02:56.000 --> 00:03:01.000]  你們若將真理會使你們自由
[00:03:01.000 --> 00:03:05.000]  他們回答他:我們是阿伯拉罕的後裔
[00:03:05.000 --> 00:03:08.000]  從來沒有作過誰的奴隸
[00:03:08.000 --> 00:03:12.000]  你怎麼說會使你們自由呢?
[00:03:12.000 --> 00:03:16.000]  耶穌回答他們:我實實在在地告訴你們
[00:03:16.000 --> 00:03:20.000]  所有犯罪的人就是罪的奴隸
[00:03:20.000 --> 00:03:24.000]  奴隸不能永遠住在家裡
[00:03:24.000 --> 00:03:27.000]  兒子才永遠住在家裡
[00:03:27.000 --> 00:03:30.000]  所以神的兒子若使你們自由
[00:03:30.000 --> 00:03:33.000]  你們就真正自由了
[00:03:33.000 --> 00:03:36.000]  我知道你們是阿伯拉罕的後裔
[00:03:36.000 --> 00:03:39.000]  你們卻想要殺我
[00:03:39.000 --> 00:03:42.000]  因為你們心裡容不下我的道
[00:03:42.000 --> 00:03:46.000]  我所說的是在我腹那裡看見的
[00:03:46.000 --> 00:03:51.000]  你們所做的是在你們的腹那裡聽到的
[00:03:51.000 --> 00:03:53.000]  我們要低頭禱告
[00:03:53.000 --> 00:03:56.000]  天皇上帝願你臨在
[00:03:56.000 --> 00:03:59.000]  願你開通我們的耳朵
[00:03:59.000 --> 00:04:02.000]  讓我能夠聽到你的說話
[00:04:02.000 --> 00:04:05.000]  可能經文我們都很熟悉
[00:04:05.000 --> 00:04:09.000]  我們都知道你已經釋放了我們自由
[00:04:09.000 --> 00:04:12.000]  但求主再次提醒我們
[00:04:12.000 --> 00:04:15.000]  有些什麼仍然綑綁著我們的生命
[00:04:15.000 --> 00:04:17.000]  願你親自和我們說話
