
[00:00:00.000 --> 00:00:02.000]  感恩
[00:00:02.000 --> 00:00:06.000]  這個月是一月
[00:00:06.000 --> 00:00:10.000]  2023年一月也過兩次新年
[00:00:10.000 --> 00:00:15.000]  一日之計在於神
[00:00:15.000 --> 00:00:19.000]  一年之計在於神
[00:00:19.000 --> 00:00:23.000]  我們也在2023年
[00:00:23.000 --> 00:00:27.000]  有回顧,我相信大家有很多回顧
[00:00:27.000 --> 00:00:31.000]  我記得在31號晚
[00:00:31.000 --> 00:00:35.000]  今年也跟以前不同
[00:00:35.000 --> 00:00:39.000]  熱鬧了很多,不知道你們那裡是否這樣
[00:00:39.000 --> 00:00:41.000]  大家的家庭是否不同
[00:00:41.000 --> 00:00:44.000]  今年是倒數,很興奮
[00:00:44.000 --> 00:00:48.000]  倒數完不斷在說Happy New Year
[00:00:48.000 --> 00:00:50.000]  過了十多分鐘
[00:00:50.000 --> 00:00:54.000]  感受到很熱鬧,很興奮的那種開心的氣氛
[00:00:54.000 --> 00:00:59.000]  11月休息,放假,1月回來
[00:00:59.000 --> 00:01:02.000]  剛剛也有跟頂尖的節目見面
[00:01:02.000 --> 00:01:06.000]  有星期四見老友,星期四見四目團友
[00:01:06.000 --> 00:01:08.000]  星期日一起有茶經
[00:01:08.000 --> 00:01:11.000]  我也會問大家新年有什麼心願
[00:01:11.000 --> 00:01:14.000]  歸納起來有兩個大點
[00:01:14.000 --> 00:01:19.000]  雖然好像很老生常談
[00:01:19.000 --> 00:01:21.000]  第一,身體健康
[00:01:21.000 --> 00:01:24.000]  第二,靈命成長
[00:01:24.000 --> 00:01:30.000]  今晚我們晚堂的訊息是重見之恩
[00:01:30.000 --> 00:01:32.000]  今晚是第二講
[00:01:32.000 --> 00:01:35.000]  講題是恢復敬拜的生命
[00:01:35.000 --> 00:01:39.000]  讓我們先低頭一起做個祈禱
[00:01:39.000 --> 00:01:42.000]  親愛的主,感謝祢
[00:01:42.000 --> 00:01:47.000]  讓我們能夠在不同的節日節期
