
[00:00:00.000 --> 00:00:03.280]  我不知道大家知不知道懼怕的力量很大
[00:00:03.280 --> 00:00:05.760]  同意嗎?我想大部份人都同意
[00:00:05.760 --> 00:00:08.560]  懼怕可以令我們不懂思想
[00:00:08.560 --> 00:00:10.560]  我們都經歷過
[00:00:10.560 --> 00:00:13.200]  你看到考試卷不懂的時候
[00:00:13.200 --> 00:00:16.240]  原本連懂的都變成不懂了
[00:00:16.240 --> 00:00:18.240]  我們每個人都經歷過
[00:00:18.240 --> 00:00:20.240]  Covid的時候
[00:00:20.240 --> 00:00:22.240]  我們每個人都很害怕
[00:00:22.240 --> 00:00:27.280]  有些人Covid到現在還不敢外出
[00:00:27.280 --> 00:00:28.800]  那些婆婆
[00:00:28.800 --> 00:00:31.600]  我不知道你可能未必有機會懂得
[00:00:31.600 --> 00:00:36.160]  有些比較長遠的影響
[00:00:36.160 --> 00:00:39.760]  懼怕可以改變我們的行為
[00:00:39.760 --> 00:00:43.120]  我不知道你家裡還有口罩
[00:00:43.120 --> 00:00:45.120]  剩下的可以舉手嗎?
[00:00:45.120 --> 00:00:48.080]  這麼多年買了
[00:00:48.080 --> 00:00:49.600]  不是你新買的那些
[00:00:49.600 --> 00:00:51.600]  是Covid剩下的那些口罩
[00:00:51.600 --> 00:00:53.840]  為什麼?因為我們懼怕的時候
[00:00:53.840 --> 00:00:55.200]  我們就去囤積
[00:00:55.200 --> 00:00:56.400]  對不對?
[00:00:56.400 --> 00:00:59.600]  第二種情況我們會懼怕
[00:00:59.600 --> 00:01:01.600]  就是我們做錯事的時候
[00:01:01.600 --> 00:01:03.600]  那你怕不怕?
[00:01:03.600 --> 00:01:04.880]  怕了
[00:01:04.880 --> 00:01:07.440]  所以我們預計會有些事情發生的時候
[00:01:07.440 --> 00:01:08.400]  我們又怕
[00:01:08.400 --> 00:01:09.680]  我們做錯事
[00:01:09.680 --> 00:01:11.680]  聖經裡面有沒有例子
[00:01:11.680 --> 00:01:14.400]  是懼怕令人犯罪的?
[00:01:14.400 --> 00:01:16.400]  有了
[00:01:16.400 --> 00:01:18.960]  阿伯拉罕的老婆認做什麼?
[00:01:18.960 --> 00:01:20.960]  妹妹,因為什麼?
[00:01:20.960 --> 00:01:23.440]  怕,這是預計的
[00:01:23.440 --> 00:01:27.680]  他以為法老好色之徒
[00:01:27.680 --> 00:01:29.680]  會搶他老婆殺了她
[00:01:29.680 --> 00:01:31.680]  其實不對的
[00:01:31.680 --> 00:01:34.720]  還有沒有?彼得
[00:01:34.720 --> 00:01:36.720]  彼得三次不認主
[00:01:36.720 --> 00:01:38.720]  那些是屎女
[00:01:38.720 --> 00:01:40.720]  不是什麼大人物
[00:01:40.720 --> 00:01:42.720]  希律怎樣?
[00:01:42.720 --> 00:01:44.720]  希律因為怕猶太人
[00:01:44.720 --> 00:01:46.720]  殺了耶穌
[00:01:46.720 --> 00:01:48.720]  其實聖經裡面很多例子
[00:01:48.720 --> 00:01:50.720]  不過聖經裡面最重要最強烈的例子
[00:01:50.720 --> 00:01:53.440]  就是以色列人因為懼怕
[00:01:53.440 --> 00:01:55.440]  不願意入迦南地
[00:01:55.440 --> 00:01:57.440]  這個才是
[00:01:57.440 --> 00:01:59.440]  以色列人在懼怕裡面
[00:01:59.440 --> 00:02:03.440]  承擔最沉重的代價
[00:02:03.440 --> 00:02:05.440]  因為懼怕不肯入迦南地
[00:02:05.440 --> 00:02:07.440]  結果怎樣?
[00:02:07.440 --> 00:02:09.440]  三十八年在抗耶
[00:02:09.440 --> 00:02:11.440]  不單止三十八年
[00:02:11.440 --> 00:02:13.440]  第一代全部怎樣?
[00:02:13.440 --> 00:02:15.440]  全部死在抗耶
[00:02:15.440 --> 00:02:17.440]  原來懼怕可以令到我們
[00:02:17.440 --> 00:02:19.440]  負上這麼沉重的代價
[00:02:19.440 --> 00:02:21.440]  今天想分四點來看
[00:02:21.440 --> 00:02:23.440]  新命紀一章二十六至三十三節
[00:02:23.440 --> 00:02:25.440]  第一點就是
[00:02:25.440 --> 00:02:27.440]  懼怕令到
[00:02:27.440 --> 00:02:29.440]  惡人說一些惡的話
[00:02:29.440 --> 00:02:31.440]  來違背命令
[00:02:31.440 --> 00:02:33.440]  有沒有這樣的經歷呢?
[00:02:33.440 --> 00:02:35.440]  惡人怕的時候
[00:02:35.440 --> 00:02:37.440]  他會說一些很惡的話
[00:02:37.440 --> 00:02:39.440]  第二就是怎樣呢?
[00:02:39.440 --> 00:02:41.440]  摩西教以色列人怎樣克服懼怕
[00:02:41.440 --> 00:02:43.440]  讓神走在我們面前
[00:02:43.440 --> 00:02:45.440]  作戰
[00:02:45.440 --> 00:02:47.440]  和背負我們
[00:02:47.440 --> 00:02:49.440]  這就是鎖匙
[00:02:49.440 --> 00:02:51.440]  第三點
[00:02:51.440 --> 00:02:53.440]  其實懼怕是什麼呢?
[00:02:53.440 --> 00:02:55.440]  懼怕就是不信
[00:02:55.440 --> 00:02:57.440]  信和懼怕
[00:02:57.440 --> 00:02:59.440]  其實是一個銀的兩邊
[00:02:59.440 --> 00:03:01.440]  最後是怎樣呢?
[00:03:01.440 --> 00:03:03.440]  讓神走在
[00:03:03.440 --> 00:03:05.440]  以色列人前面
[00:03:05.440 --> 00:03:07.440]  神會指引
[00:03:07.440 --> 00:03:09.440]  他們應該走的路
[00:03:09.440 --> 00:03:11.440]  經文一章二十六節
[00:03:11.440 --> 00:03:13.440]  上下文就說
[00:03:13.440 --> 00:03:15.440]  摩西重複在說新命紀
[00:03:15.440 --> 00:03:17.440]  摩西再說昔日
[00:03:17.440 --> 00:03:19.440]  文素記說的話
[00:03:19.440 --> 00:03:21.440]  你們不肯上去竟違背了耶和華
[00:03:21.440 --> 00:03:23.440]  你們神的命令
[00:03:23.440 --> 00:03:25.440]  違背這個字
[00:03:25.440 --> 00:03:27.440]  如果你看中文聖經
[00:03:27.440 --> 00:03:29.440]  其實違背這個字
[00:03:29.440 --> 00:03:31.440]  是很要命的
[00:03:31.440 --> 00:03:33.440]  因為背後有N這麼多的原文
[00:03:33.440 --> 00:03:35.440]  而違背
[00:03:35.440 --> 00:03:37.440]  有程度上的分別
[00:03:37.440 --> 00:03:39.440]  同意嗎?
[00:03:39.440 --> 00:03:41.440]  這個在違背這麼多個字裏
[00:03:41.440 --> 00:03:43.440]  是一個很
[00:03:43.440 --> 00:03:45.440]  很強的
[00:03:45.440 --> 00:03:47.440]  違背的字
[00:03:47.440 --> 00:03:49.440]  這裡說違背了你們神的命令
