
[00:00:00.000 --> 00:00:02.000]  鄧英之,各位早安
[00:00:02.000 --> 00:00:07.000]  大家剛剛過了中秋,開心嗎?
[00:00:07.000 --> 00:00:11.000]  開心吧,疫情後第一個中秋
[00:00:11.000 --> 00:00:14.000]  中秋節是傳統節日
[00:00:14.000 --> 00:00:18.000]  大家覺得是一個大節日
[00:00:18.000 --> 00:00:24.000]  中國歷史上都有一個很重要的傳統制度
[00:00:24.000 --> 00:00:29.000]  這個制度維持了一千三百多年
[00:00:29.000 --> 00:00:35.000]  不單影響當年的中國人
[00:00:35.000 --> 00:00:41.000]  也影響到現在的各地華人
[00:00:41.000 --> 00:00:43.000]  這個傳統是什麼呢?
[00:00:43.000 --> 00:00:46.000]  就是科舉制度
[00:00:46.000 --> 00:00:48.000]  大約六百多年前
[00:00:48.000 --> 00:00:51.000]  主要六百多年前
[00:00:51.000 --> 00:00:54.000]  在隋朝,即唐朝之前
[00:00:54.000 --> 00:00:57.000]  已經開始建立了一個科舉制度
[00:00:57.000 --> 00:01:00.000]  一直到清朝末,直到1905年
[00:01:00.000 --> 00:01:03.000]  制度取消
[00:01:03.000 --> 00:01:05.000]  很長很長的時間
[00:01:05.000 --> 00:01:11.000]  把這個傳統植入了中國人的心裡
[00:01:11.000 --> 00:01:12.000]  有一個什麼價值呢?
[00:01:12.000 --> 00:01:16.000]  就是讀書、考試可以出人頭地
[00:01:16.000 --> 00:01:22.000]  這種思想已經成為中國人理所當然
[00:01:22.000 --> 00:01:24.000]  有一套泰國電影
[00:01:24.000 --> 00:01:26.000]  有沒有看過泰國電影?
[00:01:26.000 --> 00:01:27.000]  沒有吧?
[00:01:27.000 --> 00:01:30.000]  但有一套很多香港人都看過的泰國電影
[00:01:30.000 --> 00:01:31.000]  幾年前的
[00:01:31.000 --> 00:01:33.000]  在17年的時候
[00:01:33.000 --> 00:01:34.000]  公映的
[00:01:34.000 --> 00:01:36.000]  叫做《出貓特工隊》
[00:01:36.000 --> 00:01:37.000]  有沒有聽過?
[00:01:37.000 --> 00:01:39.000]  是泰國電影
[00:01:39.000 --> 00:01:43.000]  說的是泰國的華人社會
[00:01:43.000 --> 00:01:46.000]  希望子女讀名校
[00:01:46.000 --> 00:01:50.000]  靠考試的成績出人頭地
[00:01:50.000 --> 00:01:53.000]  結果最聰明的學生就做了什麼呢?
[00:01:53.000 --> 00:01:56.000]  是不是就這樣進了名校算了?
[00:01:56.000 --> 00:01:59.000]  最聰明的學生就不是
[00:01:59.000 --> 00:02:02.000]  組織一隊特工隊
[00:02:02.000 --> 00:02:05.000]  靠出貓去賺錢
[00:02:05.000 --> 00:02:06.000]  怎樣賺錢呢?
[00:02:06.000 --> 00:02:08.000]  幫助有錢的學生
[00:02:08.000 --> 00:02:11.000]  考入美國的出名大學
[00:02:11.000 --> 00:02:14.000]  這套電影很精彩
[00:02:14.000 --> 00:02:18.000]  這套電影香港人為什麼會看呢?
[00:02:18.000 --> 00:02:21.000]  因為跟我們很有共鳴
[00:02:21.000 --> 00:02:23.000]  望子成龍
[00:02:23.000 --> 00:02:24.000]  望女成鳳
[00:02:24.000 --> 00:02:27.000]  心態是中國人的文化
[00:02:27.000 --> 00:02:30.000]  也植入了中國人的血液裡
[00:02:30.000 --> 00:02:35.000]  看看這個PowerPoint的圖
[00:02:35.000 --> 00:02:38.000]  大家有沒有會心微笑?
[00:02:38.000 --> 00:02:41.000]  家長是一條蟲
[00:02:41.000 --> 00:02:43.000]  子女也是一條蟲
[00:02:43.000 --> 00:02:44.000]  操得很fit
[00:02:44.000 --> 00:02:45.000]  希望操得fit到
[00:02:45.000 --> 00:02:48.000]  看著看著可以成為一條龍
[00:02:48.000 --> 00:02:53.000]  這很反映華人社會的心態
[00:02:53.000 --> 00:02:57.000]  這個心態影響全世界
[00:02:57.000 --> 00:03:00.000]  就算海外的華人
[00:03:00.000 --> 00:03:01.000]  中國華人
[00:03:01.000 --> 00:03:02.000]  香港華人
[00:03:02.000 --> 00:03:03.000]  都是有影響
[00:03:03.000 --> 00:03:06.000]  就算你沒有做過父母
[00:03:06.000 --> 00:03:09.000]  在座的都是其他人的父母
[00:03:09.000 --> 00:03:12.000]  其他人父母的兒女
[00:03:12.000 --> 00:03:14.000]  都做過兒女
[00:03:14.000 --> 00:03:17.000]  在很多父母的口中
[00:03:17.000 --> 00:03:20.000]  通常說希望子女健健康康成長
[00:03:20.000 --> 00:03:22.000]  心裡就心滿意足
[00:03:22.000 --> 00:03:26.000]  但心底裡總有一份
[00:03:26.000 --> 00:03:31.000]  健康成長以外的期望
[00:03:31.000 --> 00:03:33.000]  就算不能出人頭地
[00:03:33.000 --> 00:03:36.000]  也不要落後於人
[00:03:36.000 --> 00:03:38.000]  作為兒女
[00:03:38.000 --> 00:03:43.000]  有很多事務含著今所時而出世的天之驕子
[00:03:43.000 --> 00:03:44.000]  就算不是
[00:03:44.000 --> 00:03:48.000]  都希望有智商130
[00:03:48.000 --> 00:03:50.000]  就是知幽
[00:03:50.000 --> 00:03:54.000]  總是覺得希望可以出人頭地
[00:03:54.000 --> 00:03:58.000]  所以有很多嬰兒奶粉
[00:03:58.000 --> 00:04:01.000]  特別配方
[00:04:01.000 --> 00:04:04.000]  讓嬰兒聰明一點
[00:04:04.000 --> 00:04:08.000]  可以一出世就贏在起跑線
[00:04:08.000 --> 00:04:11.000]  今天跟大家說一個人物
[00:04:11.000 --> 00:04:13.000]  他不單贏在起跑線
[00:04:13.000 --> 00:04:15.000]  還贏得很盡
[00:04:15.000 --> 00:04:17.000]  他的名字叫摩西
[00:04:17.000 --> 00:04:20.000]  摩西出世前的背景
[00:04:20.000 --> 00:04:23.000]  其實記載在《初一劇記》第一章
[00:04:23.000 --> 00:04:25.000]  由於雅各
[00:04:25.000 --> 00:04:27.000]  又叫以色列
[00:04:27.000 --> 00:04:30.000]  他的第十一個兒子約瑟
[00:04:30.000 --> 00:04:33.000]  為了法老解了夢
[00:04:33.000 --> 00:04:35.000]  為了哀求法老王解了夢
[00:04:35.000 --> 00:04:37.000]  拯救了整個埃及
[00:04:37.000 --> 00:04:41.000]  就被法老王封為宰相
[00:04:41.000 --> 00:04:44.000]  以色列的家族70人
[00:04:44.000 --> 00:04:46.000]  由迦南地落到埃及
[00:04:46.000 --> 00:04:47.000]  避過了饑荒
[00:04:47.000 --> 00:04:49.000]  落地生根
[00:04:49.000 --> 00:04:51.000]  過了三百多年
