
[00:00:00.000 --> 00:00:03.160]  今天我想跟大家分享一個題目
[00:00:03.160 --> 00:00:07.280]  叫「聖徒傑出果子的要素」
[00:00:07.280 --> 00:00:11.640]  今天會看哥羅西書第一章1至12節
[00:00:11.640 --> 00:00:20.600]  我以前是做電池工程師
[00:00:20.600 --> 00:00:23.600]  公司也大
[00:00:23.600 --> 00:00:25.200]  有一個同事
[00:00:25.200 --> 00:00:28.320]  是全公司都很憎恨他的
[00:00:28.920 --> 00:00:30.920]  有同事說他是壞人
[00:00:30.920 --> 00:00:32.240]  為甚麼呢?
[00:00:32.240 --> 00:00:33.760]  其實他是很高級的
[00:00:33.760 --> 00:00:40.440]  他在研發部專門做自動化生產機器
[00:00:40.440 --> 00:00:43.920]  每次開會要做新機器的時候
[00:00:43.920 --> 00:00:47.360]  他就說這些機器很容易做
[00:00:47.360 --> 00:00:48.560]  可以包辦
[00:00:48.560 --> 00:00:53.520]  但一到進度項目不行的時候
[00:00:53.520 --> 00:00:55.520]  開會他就會說
[00:00:56.360 --> 00:00:59.360]  是你們物料研發部做得不好
[00:00:59.360 --> 00:01:00.080]  設計不好
[00:01:00.080 --> 00:01:02.240]  所以這部機器才能運作
[00:01:02.240 --> 00:01:07.920]  然後又會說是A部門B部門不配合
[00:01:07.920 --> 00:01:11.200]  不知道你們有沒有試過這樣的同事
[00:01:11.200 --> 00:01:15.880]  有一次公司改組
[00:01:15.880 --> 00:01:19.880]  部門要接納
[00:01:19.880 --> 00:01:21.080]  不要我們部門
[00:01:21.080 --> 00:01:26.080]  想我們分配到其他部門
[00:01:26.480 --> 00:01:27.240]  有一天
[00:01:27.240 --> 00:01:30.480]  這個同事就說
[00:01:30.480 --> 00:01:33.080]  進來我的房間跟你聊聊天
[00:01:33.080 --> 00:01:35.600]  我進到他的房間
[00:01:35.600 --> 00:01:42.040]  我一看見一個很醜陋的一個杯
[00:01:42.040 --> 00:01:45.600]  你猜他寫了甚麼
[00:01:45.600 --> 00:01:48.800]  也很難猜吧
[00:01:48.800 --> 00:01:53.520]  他寫著「耶和華是我的目者」
[00:01:55.280 --> 00:01:56.480]  然後我跟他說
[00:01:56.480 --> 00:01:58.200]  你相信了主嗎
[00:01:58.200 --> 00:02:00.400]  相信了十幾二十年
[00:02:00.400 --> 00:02:04.160]  之後我當然不去他的部門
[00:02:04.160 --> 00:02:08.600]  其實基督徒的生命
[00:02:08.600 --> 00:02:11.080]  怎樣才能活得表裡一致呢
[00:02:11.080 --> 00:02:14.120]  今天我想透過哥羅西書
[00:02:14.120 --> 00:02:16.320]  跟大家一起探討
[00:02:16.320 --> 00:02:20.200]  聖徒結出果子的要素
[00:02:20.200 --> 00:02:24.640]  希望我們能夠表裡一致見證基督
[00:02:24.880 --> 00:02:26.280]  我們一起祈禱
[00:02:26.280 --> 00:02:30.760]  主啊,求祢用祢的說話
[00:02:30.760 --> 00:02:32.800]  用祢的道幫助我們
[00:02:32.800 --> 00:02:34.760]  聽的和說的
[00:02:34.760 --> 00:02:38.760]  都成為表裡一致的基督徒
[00:02:38.760 --> 00:02:41.160]  去地上見證祢
[00:02:41.160 --> 00:02:44.200]  祈禱、交託、奉主名求
[00:02:44.200 --> 00:02:45.200]  阿們
[00:02:45.200 --> 00:02:50.680]  我們先來一下哥羅西書的背景
[00:02:50.680 --> 00:02:54.600]  寫哥羅西書的時候
[00:02:54.760 --> 00:02:56.400]  在羅馬坐牢
[00:02:56.400 --> 00:02:58.120]  羅馬
[00:02:58.120 --> 00:02:59.320]  看地圖就知道
[00:02:59.320 --> 00:03:01.040]  那個圈子就是意大利
[00:03:01.040 --> 00:03:03.520]  哥羅西在哪裡呢?
[00:03:03.520 --> 00:03:04.520]  亞細亞省
[00:03:04.520 --> 00:03:06.480]  即是今天的土耳其那邊
[00:03:06.480 --> 00:03:11.480]  在保羅坐牢的時候
[00:03:11.480 --> 00:03:13.360]  除了寫哥羅西書
[00:03:13.360 --> 00:03:15.480]  也寫了《耶福所》
[00:03:15.480 --> 00:03:16.480]  《菲律賓》
[00:03:16.480 --> 00:03:18.600]  和《菲利門書》
[00:03:18.600 --> 00:03:22.720]  頭三卷書是保羅寫給教會的
[00:03:23.040 --> 00:03:24.800]  而且是互相傳閱
[00:03:24.800 --> 00:03:30.560]  我們教會一直說這幾卷書叫做監獄書信
[00:03:30.560 --> 00:03:33.760]  而《菲利門書》是私人書信
[00:03:33.760 --> 00:03:35.800]  是給菲利門這個人的
[00:03:35.800 --> 00:03:40.400]  其實哥羅西
[00:03:40.400 --> 00:03:43.360]  如果我們透過哥羅西二章一節
[00:03:43.360 --> 00:03:44.720]  或者一章七節
[00:03:44.720 --> 00:03:45.520]  我們知道
[00:03:45.520 --> 00:03:48.800]  哥羅西教會不是保羅建立的
[00:03:48.800 --> 00:03:51.200]  是以巴弗建立的
[00:03:51.880 --> 00:03:53.640]  我們又要問一個問題
[00:03:53.640 --> 00:03:56.080]  為什麼保羅坐牢
[00:03:56.080 --> 00:04:00.120]  也要寫信去那麼遠的哥羅西呢?
[00:04:00.120 --> 00:04:05.000]  原來當時哥羅西有異端的問題
[00:04:05.000 --> 00:04:11.080]  弄到福音會被異端影響
[00:04:11.080 --> 00:04:14.120]  所以保羅要很心急寫封信去
[00:04:14.120 --> 00:04:17.000]  使福音能夠糾正
[00:04:17.000 --> 00:04:20.800]  我們今天再去深入看一看
[00:04:21.800 --> 00:04:22.520]  經文
[00:04:22.520 --> 00:04:26.200]  我們第一點是認識存在天上的盼望
[00:04:26.200 --> 00:04:29.800]  我們一起先讀第一至第二節
[00:04:29.800 --> 00:04:31.800]  我們一起讀出
[00:04:31.800 --> 00:04:52.800]  (國語)
[00:04:52.800 --> 00:04:54.400]  由於保羅正在坐牢
[00:04:54.400 --> 00:04:56.400]  你猜他對手會怎樣呢?
[00:04:56.400 --> 00:04:59.160]  可能上了木偶
[00:04:59.160 --> 00:05:00.400]  可能被人綁住
[00:05:00.840 --> 00:05:02.200]  他能寫到東西嗎?
[00:05:02.200 --> 00:05:04.600]  所以要提摩太
[00:05:04.600 --> 00:05:05.840]  成為他的代筆人
[00:05:05.840 --> 00:05:09.600]  他寫這封信給哥羅西的教會
[00:05:09.600 --> 00:05:12.440]  他在第三至八節
[00:05:12.440 --> 00:05:17.040]  是保羅為教會的感恩禱告
