
[00:00:00.000 --> 00:00:04.000]  好 謝謝勁擺隊帶我們唱詩的時間
[00:00:04.000 --> 00:00:05.800]  剛剛那首詩歌說到
[00:00:05.800 --> 00:00:08.080]  每當我們親近上帝的時候
[00:00:08.080 --> 00:00:09.600]  上帝就親近我們
[00:00:09.600 --> 00:00:12.680]  我不知道你今天回來的想法是什麼
[00:00:12.680 --> 00:00:13.360]  是不是只是
[00:00:13.360 --> 00:00:15.240]  我回來了崇拜了
[00:00:15.240 --> 00:00:16.520]  只是做了一件事
[00:00:16.520 --> 00:00:19.880]  但是今天主席很想跟我們分享一件事
[00:00:19.880 --> 00:00:21.520]  這個是一個關係
[00:00:21.520 --> 00:00:22.600]  你今天回來
[00:00:22.600 --> 00:00:24.000]  上帝就真的在這裡
[00:00:24.000 --> 00:00:25.160]  在聽我們
[00:00:25.160 --> 00:00:26.240]  你在想什麼
[00:00:26.240 --> 00:00:27.080]  你有什麼需要
[00:00:27.080 --> 00:00:28.160]  祂都在這裡知道
[00:00:28.160 --> 00:00:30.640]  祂也很想成為我們的幫助
[00:00:30.640 --> 00:00:32.320]  很想你帶著這個心
[00:00:32.320 --> 00:00:34.680]  我們進入今天的經文
[00:00:34.680 --> 00:00:37.160]  在讀經文之前
[00:00:37.160 --> 00:00:39.840]  我想問大家有沒有以下的經歷
[00:00:39.840 --> 00:00:41.800]  這個經歷是什麼呢?
[00:00:41.800 --> 00:00:43.240]  就是你有沒有試過
[00:00:43.240 --> 00:00:45.080]  我不知道大家在座有沒有人是
[00:00:45.080 --> 00:00:46.240]  經常運動
[00:00:46.240 --> 00:00:48.560]  或者有沒有人喜歡吃火鍋
[00:00:48.560 --> 00:00:50.840]  當你運動完之後
[00:00:50.840 --> 00:00:52.680]  你會出一身汗
[00:00:52.680 --> 00:00:54.720]  你吃火鍋
[00:00:54.720 --> 00:00:56.000]  總會口渴的
[00:00:56.000 --> 00:00:57.800]  或者吃完辣的東西的時候
[00:00:57.800 --> 00:00:58.680]  你會不會
[00:00:58.680 --> 00:00:59.800]  口渴到爆的時候
[00:00:59.800 --> 00:01:01.800]  你會不會想起一件事
[00:01:01.800 --> 00:01:03.320]  我經常都會想起的
[00:01:03.320 --> 00:01:05.320]  腦海會不會彈出這件事
[00:01:05.320 --> 00:01:07.200]  那一刻你會很想
[00:01:07.200 --> 00:01:07.920]  哇
[00:01:07.920 --> 00:01:10.040]  突然間好像可口可樂的廣告
[00:01:10.040 --> 00:01:11.320]  在你的腦海出現
[00:01:11.320 --> 00:01:12.000]  那一刻
[00:01:12.000 --> 00:01:12.640]  啪
[00:01:12.640 --> 00:01:13.960]  開罐的聲音
[00:01:13.960 --> 00:01:15.000]  多麼清澈
[00:01:15.000 --> 00:01:15.800]  還有那些
[00:01:15.800 --> 00:01:16.880]  噗嚕噗嚕噗嚕噗嚕噗嚕
[00:01:16.880 --> 00:01:18.720]  那些碳酸衝上來
[00:01:18.720 --> 00:01:20.840]  好像交響樂一樣
[00:01:20.840 --> 00:01:21.880]  你很想
[00:01:21.880 --> 00:01:23.440]  可能在吃火鍋的地方
[00:01:23.440 --> 00:01:25.200]  很想叫罐可口可樂
[00:01:25.200 --> 00:01:26.480]  不論是Coke Zero
[00:01:26.480 --> 00:01:27.480]  還是原味
