
[00:00:00.000 --> 00:00:04.200]  剛才Karson傳到說今天是年幾多?
[00:00:04.200 --> 00:00:06.200]  十一
[00:00:06.200 --> 00:00:08.200]  都是拜年時
[00:00:08.200 --> 00:00:10.200]  我又第一次見大家
[00:00:10.200 --> 00:00:12.200]  所以都跟大家拜個年先
[00:00:12.200 --> 00:00:15.200]  祝大家靈情更進步
[00:00:15.200 --> 00:00:18.200]  對主愛更深
[00:00:18.200 --> 00:00:20.200]  剛才唱詩歌有很多個更
[00:00:20.200 --> 00:00:23.200]  我這裏兩個祝福都是更
[00:00:23.200 --> 00:00:27.200]  今天的講題都是更上一層樓
[00:00:27.200 --> 00:00:31.200]  祝大家在各方面都更上一層樓
[00:00:31.200 --> 00:00:33.200]  我們一起祈禱吧
[00:00:33.200 --> 00:00:36.200]  慈愛的天父感謝你
[00:00:36.200 --> 00:00:41.200]  你將我們從黑暗帶進光明裏
[00:00:41.200 --> 00:00:45.200]  使我們不再受罪的捆綁
[00:00:45.200 --> 00:00:49.200]  多謝你留下寶貴的話語
[00:00:49.200 --> 00:00:52.200]  提醒教導督責我們
[00:00:52.200 --> 00:00:57.200]  以至我們可以知道怎樣過你喜悅的生活
[00:00:57.200 --> 00:01:00.200]  求你帶領我們以下的時間
[00:01:00.200 --> 00:01:03.200]  讓我們一起學習你的教導
[00:01:03.200 --> 00:01:06.200]  也求聖靈開我們的心
[00:01:06.200 --> 00:01:10.200]  給我們力量可以活到出來
[00:01:10.200 --> 00:01:13.200]  多謝你聽我們的禱告奉主耶穌命求
[00:01:13.200 --> 00:01:15.200]  阿門
[00:01:15.200 --> 00:01:20.200]  我們先一起讀今天的經文
[00:01:20.200 --> 00:01:24.200]  喼撒羅尼加前書四章一至十二節
[00:01:24.200 --> 00:01:26.200]  預備起
[00:01:26.200 --> 00:01:29.200]  弟兄們,我還有話說
[00:01:29.200 --> 00:01:34.200]  我們靠著主耶穌求你們,勸你們
[00:01:34.200 --> 00:01:37.200]  你們既然受了我們的教訓
[00:01:37.200 --> 00:01:41.200]  知道該怎樣可以討神喜悅
[00:01:41.200 --> 00:01:46.200]  就要照你們現在所行的更加勉勵
[00:01:46.200 --> 00:01:53.200]  你們願曉得我們憑主耶穌傳給你們什麼命令
[00:01:53.200 --> 00:01:57.200]  神的旨意就是要你們成為聖傑
[00:01:57.200 --> 00:01:59.200]  遠避淫行
[00:01:59.200 --> 00:02:04.200]  要你們各人曉得怎樣用聖傑尊貴
[00:02:04.200 --> 00:02:06.200]  守著自己的身體
[00:02:06.200 --> 00:02:09.200]  不放縱私欲的邪情
[00:02:09.200 --> 00:02:13.200]  在那不認識神的外邦人
[00:02:13.200 --> 00:02:17.200]  不要一個人在這世上月份
[00:02:17.200 --> 00:02:19.200]  欺負他的弟兄
[00:02:19.200 --> 00:02:23.200]  因為這類的事主必報應
[00:02:23.200 --> 00:02:26.200]  正如我預先對你們說過
[00:02:26.200 --> 00:02:29.200]  又切切祝福你們的
[00:02:29.200 --> 00:02:31.200]  神召我們
[00:02:31.200 --> 00:02:34.200]  本不是要我們尖嚴污穢
[00:02:34.200 --> 00:02:38.200]  乃是要我們成為聖傑
[00:02:38.200 --> 00:02:40.200]  所以那氣絕的
[00:02:40.200 --> 00:02:42.200]  不是氣絕人
[00:02:42.200 --> 00:02:47.200]  乃是氣絕那次聖靈給你們的神
[00:02:47.200 --> 00:02:49.200]  論道弟兄相愛
[00:02:49.200 --> 00:02:52.200]  不用人寫信給你們
[00:02:52.200 --> 00:02:56.200]  因為你們自己蒙了神的教訓
